Sample,Blup.protein,Blup.starch,Blup.betaglucans,Blup.fiber,Blup.weight,Blup.tiller.length,Blup.grain.num,Blup.Z11,site,longitude,latitude,x,y,March,Precipitation,December,Elevation,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_15,bio_16,bio_19,CECSOL_1km,CLYPPT_1km,CRFVOL_1km,PHIHOX_1km,PHIKCL_1km,SLTPPT_1km,SNDPPT_1km,pH,EC,Field_capacity,Organic_by_weight,NO3.mg.L,NO2.mg.L
HS0103,-1.134739051,6.854399187,-0.182693577,-0.217660464,-0.011095642,0.448352467,-0.464337549,119.6852265,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
HS0105,-0.020854136,9.982602355,-0.299625135,-0.392567252,-0.024982079,-0.099955462,-2.622315089,12.85791608,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
HS0106,-0.158898636,4.772749599,-0.431759276,-0.32437942,-0.032867367,9.503028053,-1.446868314,61.00424542,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
HS0107,0.609857479,0.191708303,-0.336654652,-0.108475761,-0.006634645,7.985606722,-0.07223693,150.8068998,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
HS0108,-0.779799087,7.170660872,-0.326706449,-0.295929896,-0.026630689,4.807966738,-2.144591023,31.09645411,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
HS0110,0.650880877,-3.944748673,-0.076802086,-0.138243069,-0.033032808,0.69032617,-2.739978584,18.55594358,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
HS0111,0.152420635,8.615647714,0.069986825,-0.109301981,0.032088302,2.072008093,-1.627343165,-12.34368477,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
HS0112,0.450732989,7.190902252,-0.075289657,-0.068061338,0.042931324,4.282699169,-1.081650346,26.78814864,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
HS0113,-0.404052918,8.410570716,-0.021337385,-0.400734901,0.008198751,2.140715284,-1.556622943,-29.67066349,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
HS0118,0.061392285,6.628047622,-0.566518548,-0.129112914,-0.054606124,11.78708059,-0.454182795,45.13617096,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514,7.247813362,7.410519683
