Genotype,ProteinCenterd,StarchCenterd,BetaglucansCenterd,FiberCenterd,flowering_timeCenterd,Tiller.LengthCenterd,Grain_weightCenterd,number_of_grainsCenterd,Number.Of.TillersCenterd,Spike.LengthCenterd
01_03,-1.972684605,8.136110458,-0.373970904,-0.311826826,10.4215317,-7.048442838,-0.028696186,-1.366630146,-0.712385018,-0.640252642
01_05,0.505053734,8.013417975,-0.560966498,-0.380011909,2.585257956,-4.807990443,-0.019731375,-7.072802431,-1.011872538,-0.59678055
01_06,-0.598960823,2.691205549,-0.725002935,-0.339754997,6.210561025,0.921992569,-0.158842324,-2.922858951,0.545479146,0.369991546
01_07,-0.645347981,3.364299856,-0.376136607,-0.314699686,11.12739516,0.086533283,-0.069886827,-1.450176562,-1.203586728,0.358034654
01_08,-1.228298024,6.130819275,-0.525116372,-0.43820366,4.456392771,3.667820783,0.014842856,-3.303754531,-0.902321571,-0.236888665
01_10,0.580965065,-1.864991073,-0.13411407,-0.073600308,2.666611643,-1.169404553,0.050188303,-11.12997262,-1.203586728,0.512274033
01_11,-0.443837902,10.0633619,0.170680882,-0.371674179,-0.343474799,-1.328169274,0.457291658,-5.981144931,-1.504851885,0.468205639
01_12,0.248335415,8.353786023,-0.002989468,-0.183380428,0.307354702,0.389889043,0.570315229,-0.008504808,-1.258362211,0.835442256
01_13,-0.330022802,6.667529332,0.188165627,-0.191211148,-4.248451805,0.528793222,0.479383618,-4.951379393,-1.856058476,0.145037416
01_18,-0.031846406,5.383301235,-0.911794555,-0.268147356,4.537746458,4.844276651,0.069356624,-1.244223454,0.084316227,0.615100286
02_01,-0.326520391,7.634371739,-0.272213385,-0.146555451,-6.851769809,4.020942613,0.379128608,5.758182207,-0.87493383,1.356918252
02_02,-0.017765154,3.933257467,-0.103468812,-0.319358274,-2.946792803,8.463543725,0.034374205,-2.4799421,0.028861641,0.864821185
02_03,-0.686064058,9.591488018,-0.57282351,-0.163925723,-5.468757119,5.356176204,0.202740328,8.641525715,-0.272403516,1.092507888
02_05,0.683790414,-0.372013041,-0.199676371,0.084121764,-1.889194864,16.09080395,0.001621935,-4.127566962,-0.788611274,2.120770415
02_06,0.116525741,4.230691253,-0.222692924,-0.195192213,4.13097802,11.4252055,0.161523473,-3.303754531,-0.025913842,1.628673349
02_08,0.106174196,3.936737029,-0.772300298,-0.168789399,1.039537891,8.395070208,-0.233065849,1.433166946,0.384902281,0.776684397
02_09,-1.216753272,2.451494635,-0.341263042,-0.210478053,-1.645133801,8.191848868,0.162318014,-0.420411023,-1.121423504,0.952957974
02_11,-0.011143316,5.630841634,-0.328708559,-0.407804345,-2.946792803,4.014964302,0.130074415,7.611760177,-1.340525436,1.276126196
02_13,-0.284094897,-1.117096468,-0.1263243,-0.08424014,0.058605522,9.158874156,-0.29250101,-5.1573325,-1.039260279,1.997716868
02_15,0.88254008,0.556263455,-0.37264925,-0.249387462,4.863161209,6.317785489,0.126563633,-0.214457916,-0.190240291,0.806063327
03_01,0.124806977,4.540116751,-0.30220465,-0.367505313,16.17132379,-0.964699028,0.015923688,2.783313333,-0.436729965,0.489382134
03_02,0.181180839,-1.876428179,-0.365333911,-0.032093511,15.96063158,3.740439195,-0.209962758,-0.626364131,-0.89692837,-0.143265905
03_05,1.138596398,2.063578744,-0.754265059,-0.16852652,23.6290328,3.738871019,-0.091087931,-1.244223454,1.014820337,-0.773054126
03_06,1.233477346,-0.535526208,-0.303656137,-0.09609741,16.7936109,-3.455232976,-0.263353268,-5.569238716,-0.588905653,0.200824405
03_07,-0.100414781,3.23090304,0.037428277,-0.036470233,18.04516536,-2.525995155,-0.055231605,2.462932484,-1.641790593,1.404374851
03_11,0.622621716,-2.387537599,-0.220711676,-0.056644125,21.3779598,3.453169585,-0.126963636,7.405807069,-0.601056414,2.302579279
03_12,0.551980739,1.832643637,-0.213625797,0.092459494,12.67311522,-1.987422015,-0.272042538,1.02126073,-0.272403516,1.043337418
03_18,-0.298720443,2.412087814,-0.703644676,-0.093613209,23.76872284,0.691799492,-0.132896986,-2.273988993,-0.51889319,0.427786021
03_19,0.214447406,4.480788188,-0.677648992,-0.12350917,26.41310255,4.343604371,-0.068859842,1.639120054,1.042208078,0.57017538
03_20,-0.137845618,2.161713701,-0.217403521,-0.290795971,23.52505854,3.119166073,-0.180167167,0.61173426,0.535652068,-0.100903667
05_01,-0.053239599,4.888220437,-0.000199583,-0.317478929,3.480148519,2.287793052,0.259748703,-4.745426285,0.384902281,-0.71159756
05_04,0.053395557,8.016367504,0.533081895,-0.178233514,4.306901053,8.448180678,0.694998386,5.5522291,-0.299791257,-0.267688626
05_05,-1.358143682,7.573307029,-0.113151033,-0.471109159,2.878633373,4.247443738,0.341258222,-1.038270346,-1.751341559,-0.420827806
05_06,-0.825053996,1.913561885,0.088941377,0.018771752,4.781807521,2.282389311,0.233948222,-4.951379393,-1.422688661,0.519618766
05_07,0.883833995,0.635717658,0.776697055,-0.220172528,8.035955026,13.25438585,0.518223082,-2.4799421,-0.60169856,-0.082649286
05_09,0.366316398,1.481367955,0.550479705,0.102495704,3.441850928,16.42366692,0.455239115,2.264570398,0.058750235,-0.09987463
05_10,0.019221216,4.97331245,0.268326863,-0.037470142,4.863161209,-0.416910889,0.475555095,1.02126073,0.576616472,-0.728985732
05_13,0.642384233,7.309474965,-0.407522815,0.150128798,4.944514897,12.8865356,0.463546569,-1.107258679,-1.066648021,-0.280957059
05_14,-0.138122269,4.393139639,-0.166895221,-0.181295995,6.490234961,6.093486704,0.411506186,-9.925888573,-1.121423504,-0.060615089
05_15,-0.723329621,2.815069596,0.112093294,-0.406933566,7.22241815,2.137920882,0.528601784,-3.303754531,-1.094035762,-0.986051364
06_01,-0.22300494,1.956413837,-0.38311132,-0.281348763,7.791893963,-0.199716793,0.059822122,-4.738459223,-1.203586728,0.938268509
06_02,-0.495595628,5.329151773,-0.30220465,0.002134079,3.154733769,-0.026665842,0.172746376,1.227084528,-1.203586728,0.732616003
06_04,0.750040302,4.385404002,-0.085988551,0.118167497,7.954601339,4.811205989,0.170760021,5.346275992,-0.108077067,1.063128959
06_05,-0.187119583,2.327724435,-0.098543034,0.168193881,5.025868584,-1.064848788,0.200356703,-0.626364131,-1.778729301,0.850131721
06_06,-0.05116929,4.7567146,-0.178054761,0.003523701,5.676698085,4.136578024,0.226874536,-0.832317239,0.481134509,0.666513412
06_09,1.229771059,-0.812205122,0.297655603,0.002621822,4.572575731,10.71604088,0.291804326,7.817713284,-0.737995122,1.587216562
06_11,-0.533636527,4.104759731,0.426508643,-0.157434292,3.965124654,7.07938574,0.479347903,11.60194323,0.111024866,1.610271244
06_16,0.52292006,2.310243396,0.129891568,-0.046333429,5.791210143,10.20379006,0.37920683,2.668885592,-0.053301584,1.054217507
