short_Tag,season,GI,BI,site,Block_no,Tiller.Length,Number.Of.Tillers,Spike.Length,Awn.Length,Flag.Length,Brittle.spike_lenhth,Plant.Biomass,No.Of.Spikelets,Z5_GDD,Z10_GDD,Z11_GDD,B.yellow_GDD,Bstart_GDD,britlemiddleGDD,ExpEndGdd,cm_1000gdd,sowing_to_z5,sowing_to_z10,flowering_time,flowering_to_yellowSpike,yellow_to_brittleStart,brittle_start_to_brittle_middle,Brittle_start_to_brittle_end,Grain_weight,number_of_grains,number_of_spikes,Grain_per_spike,spike_density,ProteinAsis.,StarchAsis.,BetaglucansAsis.,FiberAsis.,Location,Number,Feature,Polygon,Poligon_nu,longitude,latitude,x,y,March,Precipitation,December,Elevation,bio_01,bio_02,bio_03,bio_04,bio_05,bio_06,bio_07,bio_08,bio_09,bio_10,bio_11,bio_12,bio_13,bio_15,bio_16,bio_19,CECSOL_1km,CLYPPT_1km,CRFVOL_1km,PHIHOX_1km,PHIKCL_1km,SLTPPT_1km,SNDPPT_1km,pH,EC,Field_capacity,Organic_by_weight
HS0103,2019,1,1,1,1,72,12,12.5,23.5,7.5,4,15.9,NA,541.15,1450.2,1571.45,2047.05,2093.85,2270.95,3059.15,NA,41,109,118,26,2,9,42,1.3,54,3,18,NA,12.32,48.8,5.17,3.77,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0105,2019,2,2,1,1,68,5,12,15.5,4.5,0,13.7,NA,541.15,1450.2,1493.8,1982.9,2071.1,2213.75,2466.95,NA,41,109,112,29,4,7,20,1.22,53,3,17.66666667,NA,13.78,44.3,5.58,3.98,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0106,2019,3,3,1,1,76,6,12,18,5.3,3.5,13.3,NA,541.15,1450.2,1542.25,1982.9,2047.05,2138.3,3059.15,NA,41,109,116,25,3,4,44,0.87,45,3,15,NA,12.79,34.3,5.12,4.58,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0108,2019,4,4,1,1,77.5,9,11.5,17.5,5.6,2.5,16.2,NA,541.15,1450.2,1493.8,1982.9,2047.05,2138.3,3059.15,NA,41,109,112,29,3,4,44,1.14,50,3,16.66666667,NA,12.52,43.3,4.79,3.8,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0107,2019,5,5,1,1,72,11,14,21.5,7.1,0,31.5,NA,541.15,1493.8,1604.05,2093.85,2213.75,2270.95,2512.5,NA,41,112,120,26,6,3,15,1.03,54,3,18,NA,15.12,42.9,4.32,3.61,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0110,2019,6,6,1,1,68.5,7,12.3,20.3,4.9,4.5,20.5,NA,541.15,1432.75,1493.8,2047.05,2213.75,2328.75,3059.15,NA,41,108,112,32,8,6,36,0.85,44,3,14.66666667,NA,15.7,29.4,5.82,4.11,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0111,2019,7,7,1,1,75.5,6,12,21.5,7.3,3.5,26.9,NA,541.15,1450.2,1493.8,2047.05,2093.85,2270.95,3059.15,NA,41,109,112,32,2,9,42,1.36,51,3,17,NA,16.58,48.1,5.57,3.59,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0112,2019,8,8,1,1,74,11,13,20.7,7.9,3.5,41.5,NA,541.15,1416.05,1493.8,1982.9,2071.1,2232.05,3059.15,NA,41,107,112,29,4,8,43,1.22,51,3,17,NA,16.89,39.3,5.73,3.95,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0113,2019,9,9,1,1,67,10,11.2,22.9,6.5,2.5,49.1,NA,541.15,1450.2,1555.65,2047.05,2138.3,2232.05,3059.15,NA,41,109,117,27,4,5,40,1.57,53,3,17.66666667,NA,17.39,43.5,6.03,3.73,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
HS0118,2019,10,10,1,1,71,9,11.8,22,3.5,5,26.6,NA,541.15,1450.2,1542.25,1923.8,1982.9,2047.05,3059.15,NA,41,109,116,22,3,3,47,1.18,54,3,18,NA,13.89,39.9,4.08,4.46,Meizar,1,Soil,North,1,35.693,32.7666,265228,741429,20.21,474,9.86,271,18.77330971,11.88664818,42.27072525,614.0009766,31.84996605,3.72998071,28.11998558,10.98997402,25.68331146,25.79997826,10.98997402,462.3017578,114.3004532,108.7623978,301.2011719,301.2011719,29,34,13,76,59,37,30,7.93,338,5.982,5.514
