site_id,forTecnicalReps,Sampling Site,Feature,Polygon,PoligonNo,ï..organic.material....,pH,PH,Electrical.Conductivity..mS.cm.,Inorganic.P..mg.kg.,Inorganic.P...standard.deviation,mgAl.Kg,mgCa.Kg,mgCu.Kg,mgFe.Kg,mgK.Kg,mgMg.Kg,mgMn.Kg,mgNa.Kg,mgP.Kg,mgS.Kg,mgV.Kg,mgZn.Kg,Clay....,Silt....,Sand....,Sand..50.100..Î.m....,Sand..100.250..Î.m....,Sand..250.500..Î.m....,Sand..500.1000..Î.m....,Sand..1000.2000..Î.m....,Inorganic.Carbon..mg.Kg.,Total.Carbon.mg.Kg.,Organic.Carbon..mg.Kg.,Total.N..mg.Kg.,March..temp,Precipitation,December...temp,Elevation,MoistureContent,CECSOL_1km,CLYPPT_1km,CRFVOL_1km,PHIHOX_1km,PHIKCL_1km,SLTPPT_1km,SNDPPT_1km,Field_capacity
HS01,HS01,Meizar,Soil,North,1,5.514316013,7.93,moderately alkaline,338,18.6080803,3.961092987,8.286105548,678.6750879,0.107548274,0.926474038,16.91820716,36.24709164,0.124090412,43.92832702,3.764645223,21.52201554,0.595969876,0.0,14.84461195,68.70361406,16.39476193,10.6096656,4.489367138,0.270525273,0.60461441,0.420589504,886.0044474,1555.463356,648.9615229,234.1638614,20.21,474.15,9.86,271,0.089,29.0,34.0,13.0,76.0,59.0,37.0,30.0,5.982
HS02,HS02,Beit_Zeida,Hot,North,1,8.184679958,7.65,mildly alkaline,438,133.3929616,10.92395047,15.37587497,473.9262332,0.207091095,23.40458584,263.4611372,77.92539577,0.194725298,20.52614306,61.97519433,18.64128489,1.126830694,0.024875622,23.14154874,64.05798548,12.45905327,7.586998228,2.506695127,0.587137785,0.8284643,0.949757828,598.7851725,1483.936545,864.6539864,240.3490169,22.98,455.88,10.07,-184,0.099,31.0,34.0,7.0,73.0,66.0,40.0,27.0,7.565
HS03,HS03,Mount_Hermon,Cold,North,1,10.9263658,7.76,mildly alkaline,347,27.27140775,1.634142622,23.70291834,219.3708849,0.058032984,12.57726195,31.06833417,11.84116912,0.215620818,14.29836209,4.008601238,9.949261036,0.219714957,0.018610422,27.3458798,66.25185576,6.391193041,4.034104324,1.66208081,0.357267691,0.232664834,0.105075382,396.6132675,706.3820328,289.2713799,150.8686869,11.23,1183.87,3.89,1445,0.116,18.0,27.0,20.0,74.0,60.0,36.0,38.0,16.963
HS04,HS04,Hachola,Min Prec,North,1,5.340314136,8.02,moderately alkaline,395,24.26896394,4.234433323,7.701258809,686.8210713,0.070034077,5.64681238,15.38340446,30.10397427,0.078192312,17.27263553,3.045280654,19.78260482,0.824267048,0.0,17.18390911,73.92382954,8.797705996,5.079571456,1.379797117,1.041463955,0.931253601,0.365619868,704.1429963,1410.007367,685.366985,208.1740396,21.76,422.04,7.89,88,0.099,,,,,,,,
HS05,HS05,Misgav_River,CV,North,1,11.55462185,7.91,moderately alkaline,390,122.770071,7.537523289,11.10110325,835.3256052,0.140725241,8.847789588,153.7722163,35.26433177,0.161372624,16.67234547,23.73294816,23.59480513,0.753305433,0.055862129,27.10575311,65.70735574,7.131265109,3.524856627,1.603674016,0.963229848,0.732947136,0.306557482,880.4186348,1334.801785,433.885765,170.4020839,18.78,790.42,9.4,345,0.107,25.0,31.0,14.0,79.0,62.0,36.0,33.0,8.473
HS06,HS06,Zichron Yaakov,Soil,Coast,2,8.150470219,7.57,mildly alkaline,523,24.84259751,4.849608335,7.50058978,1050.771504,0.140561453,8.94599267,39.14899349,42.9500283,0.339154513,14.7475477,6.228997641,35.15623265,0.715603768,0.049627792,19.1759899,59.91886043,20.79471134,8.85768713,7.032809736,2.820113206,1.683455462,0.40064581,795.8163298,1326.736699,510.4229834,159.7318592,20.46,620.02,9.92,57,0.082,26.0,26.0,10.0,71.0,57.0,32.0,42.0,4.776
HS07,HS07,Mount_Tayasim,Cold,Coast,2,8.116883117,7.85,moderately alkaline,425,23.24885206,2.074278548,12.8795786,754.9685818,0.090677787,5.930148434,60.92208051,61.7320636,0.136037003,14.85101774,5.13701247,22.65115674,0.679798891,0.049403339,16.29128511,70.3272038,12.8677439,5.864299577,3.025049183,1.194385127,1.305777409,1.478232608,850.9255952,1402.621618,531.1986379,167.8331916,16.76,669.68,8.2,786,0.104,27.0,24.0,22.0,72.0,61.0,31.0,46.0,10.983
HS08,HS08,Rohama,Min Prec,Coast,2,2.222222222,7.88,moderately alkaline,335,17.97262785,1.527473495,14.17714501,586.9773522,0.103196734,10.38628398,112.2387785,47.50253872,0.136179561,10.47055295,4.616623263,22.70819514,1.20137541,0.061881188,21.35532455,70.9476975,7.695587945,5.168360464,1.381083702,0.865326873,0.243431499,0.037385406,815.2216523,1188.969692,353.2506546,149.7487924,21.47,357.13,10.4,179,0.082,22.0,30.0,7.0,80.0,63.0,34.0,37.0,1.989
HS09,HS09,Nahala,Hot,Coast,2,6.217070601,7.97,moderately alkaline,402,17.33425958,1.920145147,13.28708842,692.5034682,0.111367636,9.864340512,63.4378063,60.93814872,0.107354984,16.74363957,1.973415395,19.83010637,1.524912375,0.0,17.42529878,62.00665924,20.53788488,12.75274563,5.962548582,1.149993715,0.47630141,0.196295545,735.0237378,1172.981733,417.4606101,165.1044202,21.25,471.85,10.26,165,0.091,22.0,35.0,10.0,77.0,62.0,33.0,33.0,5.76
HS10,HS10,Zikim,CV,Coast,2,2.169625247,7.94,moderately alkaline,405,14.52349316,4.225375574,6.220169778,561.2014392,0.062004335,1.610655469,42.5981684,25.57782457,0.074360048,6.616525459,2.661547871,16.94292564,0.3925094,0.0,13.2621233,35.02122827,51.71664842,4.75863126,12.57846257,27.70496474,6.659692085,0.014897768,911.386889,1237.745719,305.8614446,153.7712481,20.38,446.97,10.76,49,0.066,15.0,24.0,9.0,80.0,61.0,28.0,49.0,0.88
