"readable_name","csv_column","source"
"pH","pH","Evgeny direct field/lab measurement"
"Electrical_Cond","Electrical.Conductivity..mS.cm.","Evgeny direct field/lab measurement"
"Clay_pct","Clay....","Evgeny direct field/lab measurement"
"Silt_pct","Silt....","Evgeny direct field/lab measurement"
"Sand_pct","Sand....","Evgeny direct field/lab measurement"
"March_Temp","March..temp","Evgeny direct field/lab measurement"
"Precipitation","Precipitation","Evgeny direct field/lab measurement"
"Organic_Carbon","Organic.Carbon..mg.Kg.","Evgeny direct field/lab measurement"
"Total_N","Total.N..mg.Kg.","Evgeny direct field/lab measurement"
"Elevation","Elevation","Evgeny direct field/lab measurement"
