"predictor","pH","Electrical_Cond","Clay_pct","Silt_pct","Sand_pct","March_Temp","Precipitation","Organic_Carbon","Total_N","Elevation"
"pH",1,-0.1807,-0.4856,-0.1759,0.3108,0.2,-0.4224,-0.6229,0.0159,-0.0735
"Electrical_Cond",-0.1807,1,-0.135,-0.0465,0.0904,0.0759,-0.3165,-0.012,0.4832,0.0299
"Clay_pct",-0.4856,-0.135,1,0.442,-0.7293,-0.2541,0.5752,0.3434,-0.17,0.1209
"Silt_pct",-0.1759,-0.0465,0.442,1,-0.9323,-0.1893,0.3656,0.3029,0.0871,0.13
"Sand_pct",0.3108,0.0904,-0.7293,-0.9323,1,0.2587,-0.4848,-0.3538,-0.0066,-0.1733
"March_Temp",0.2,0.0759,-0.2541,-0.1893,0.2587,1,-0.6678,0.0473,0.0501,-0.9514
"Precipitation",-0.4224,-0.3165,0.5752,0.3656,-0.4848,-0.6678,1,0.2758,-0.0417,0.4455
"Organic_Carbon",-0.6229,-0.012,0.3434,0.3029,-0.3538,0.0473,0.2758,1,0.0472,-0.1556
"Total_N",0.0159,0.4832,-0.17,0.0871,-0.0066,0.0501,-0.0417,0.0472,1,-0.025
"Elevation",-0.0735,0.0299,0.1209,0.13,-0.1733,-0.9514,0.4455,-0.1556,-0.025,1
