"region","Trait","n_accessions","mean_centered","sd_centered","median_centered","min_centered","max_centered"
"North","Protein",40,-0.0568,0.6895,-0.0145,-1.9727,1.2335
"Coast","Protein",50,-0.5543,0.8107,-0.5146,-2.4558,1.2298
"Desert","Protein",50,0.0211,1.0647,0.2602,-2.1974,2.9356
"HZ1 (North-Coast)","Protein",50,-0.165,0.8675,-0.1585,-1.8793,1.6286
"HZ2 (North-Desert)","Protein",50,0.4898,1.1064,0.5487,-2.0376,2.8077
"HZ3 (Coast-Desert)","Protein",50,-0.2172,0.9902,-0.3429,-2.2388,1.5863
"North","Starch",40,3.8334,3.2863,3.935,-2.3875,10.0634
"Coast","Starch",50,-0.1306,3.3632,0.1761,-8.8433,5.5933
"Desert","Starch",50,-5.2372,5.7987,-7.5953,-15.9781,6.8101
"HZ1 (North-Coast)","Starch",50,2.1357,3.9734,2.6964,-8.2658,8.9816
"HZ2 (North-Desert)","Starch",50,3.2486,4.0573,3.7512,-3.7989,12.941
"HZ3 (Coast-Desert)","Starch",50,-2.8663,7.3221,-1.9271,-15.8441,9.1428
"North","β-glucan",40,-0.2161,0.3719,-0.2217,-0.9118,0.7767
"Coast","β-glucan",50,0.2144,0.3084,0.2739,-0.3892,0.8542
"Desert","β-glucan",50,0.2528,0.4525,0.1777,-0.5602,1.7308
"HZ1 (North-Coast)","β-glucan",50,-0.2898,0.3665,-0.3249,-0.9801,0.4755
"HZ2 (North-Desert)","β-glucan",50,-0.2066,0.3036,-0.2127,-0.9395,0.7737
"HZ3 (Coast-Desert)","β-glucan",50,0.1494,0.3814,0.1832,-0.8038,0.947
"North","Fiber",40,-0.1862,0.1587,-0.1823,-0.4711,0.1501
"Coast","Fiber",50,-0.0256,0.1586,-0.066,-0.2813,0.3823
"Desert","Fiber",50,0.2178,0.3168,0.1863,-0.3731,1.1468
"HZ1 (North-Coast)","Fiber",50,-0.1283,0.2048,-0.1268,-0.5475,0.344
"HZ2 (North-Desert)","Fiber",50,-0.1237,0.2154,-0.1411,-0.5502,0.4221
"HZ3 (Coast-Desert)","Fiber",50,0.0801,0.3431,0.0907,-0.6024,0.722
