"region","site","location","short_Tag","Trait","value_centered","value_absolute"
"North","01","Meizar","01_03","Protein",-1.97268460525655,14.7327644585327
"North","01","Meizar","01_05","Protein",0.505053734444415,17.2105027982337
"North","01","Meizar","01_06","Protein",-0.598960823321298,16.106488240468
"North","01","Meizar","01_07","Protein",-0.645347980717563,16.0601010830717
"North","01","Meizar","01_08","Protein",-1.2282980238943,15.477151039895
"North","01","Meizar","01_10","Protein",0.580965065378919,17.2864141291682
"North","01","Meizar","01_11","Protein",-0.44383790223688,16.2616111615524
"North","01","Meizar","01_12","Protein",0.248335415284093,16.9537844790734
"North","01","Meizar","01_13","Protein",-0.330022802324971,16.3754262614643
"North","01","Meizar","01_18","Protein",-0.031846406165074,16.6736026576242
"North","02","Beit Zeida","02_01","Protein",-0.326520390792648,16.3789286729966
"North","02","Beit Zeida","02_02","Protein",-0.0177651541512372,16.687683909638
"North","02","Beit Zeida","02_03","Protein",-0.686064058218796,16.0193850055705
"North","02","Beit Zeida","02_05","Protein",0.683790413644746,17.389239477434
"North","02","Beit Zeida","02_06","Protein",0.116525740661456,16.8219748044507
"North","02","Beit Zeida","02_08","Protein",0.106174195534023,16.8116232593233
"North","02","Beit Zeida","02_09","Protein",-1.21675327175183,15.4886957920374
"North","02","Beit Zeida","02_11","Protein",-0.0111433159102099,16.6943057478791
"North","02","Beit Zeida","02_13","Protein",-0.284094897289886,16.4213541664994
"North","02","Beit Zeida","02_15","Protein",0.882540080091446,17.5879891438807
"North","03","Mount Hermon","03_01","Protein",0.124806976763402,16.8302560405527
"North","03","Mount Hermon","03_02","Protein",0.181180838875338,16.8866299026646
"North","03","Mount Hermon","03_05","Protein",1.13859639768478,17.8440454614741
"North","03","Mount Hermon","03_06","Protein",1.23347734552773,17.938926409317
"North","03","Mount Hermon","03_07","Protein",-0.100414781392756,16.6050342823965
"North","03","Mount Hermon","03_11","Protein",0.622621716448351,17.3280707802376
"North","03","Mount Hermon","03_12","Protein",0.551980739022108,17.2574298028114
"North","03","Mount Hermon","03_18","Protein",-0.298720443001692,16.4067286207876
"North","03","Mount Hermon","03_19","Protein",0.214447406333742,16.919896470123
"North","03","Mount Hermon","03_20","Protein",-0.137845618302279,16.567603445487
"North","05","Misgav River","05_01","Protein",-0.0532395994284347,16.6522094643608
"North","05","Misgav River","05_04","Protein",0.0533955567309793,16.7588446205203
"North","05","Misgav River","05_05","Protein",-1.35814368247328,15.347305381316
"North","05","Misgav River","05_06","Protein",-0.825053995561737,15.8803950682275
"North","05","Misgav River","05_07","Protein",0.883833994955644,17.5892830587449
"North","05","Misgav River","05_09","Protein",0.366316397517413,17.0717654613067
"North","05","Misgav River","05_10","Protein",0.0192212164635917,16.7246702802529
"North","05","Misgav River","05_13","Protein",0.642384233135017,17.3478332969243
"North","05","Misgav River","05_14","Protein",-0.138122269473379,16.5673267943159
"North","05","Misgav River","05_15","Protein",-0.723329620677553,15.9821194431117
"Coast","06","Zichron Yaakov","06_01","Protein",-0.223004939518324,16.4824441242709
"Coast","06","Zichron Yaakov","06_02","Protein",-0.495595627874042,16.2098534359152
"Coast","06","Zichron Yaakov","06_04","Protein",0.750040302460313,17.4554893662496
"Coast","06","Zichron Yaakov","06_05","Protein",-0.187119583076559,16.5183294807127
"Coast","06","Zichron Yaakov","06_06","Protein",-0.0511692904029477,16.6542797733863
"Coast","06","Zichron Yaakov","06_09","Protein",1.22977105850262,17.9352201222919
"Coast","06","Zichron Yaakov","06_11","Protein",-0.533636526984424,16.1718125368049
"Coast","06","Zichron Yaakov","06_16","Protein",0.522920059536729,17.228369123326
"Coast","06","Zichron Yaakov","06_18","Protein",-0.986892114395897,15.7185569493934
"Coast","06","Zichron Yaakov","06_20","Protein",0.962918392694307,17.6683674564836
"Coast","07","Mount Tayasim","07_03","Protein",-0.205313909467921,16.5001351543214
"Coast","07","Mount Tayasim","07_04","Protein",-0.242327823756198,16.4631212400331
"Coast","07","Mount Tayasim","07_05","Protein",-0.582662824119187,16.1227862396701
"Coast","07","Mount Tayasim","07_07","Protein",-0.174170466611108,16.5312785971782
"Coast","07","Mount Tayasim","07_08","Protein",-0.95638113750514,15.7490679262841
"Coast","07","Mount Tayasim","07_12","Protein",-1.12020319607958,15.5852458677097
