"","Protein","Starch","β-glucan","Fiber","Flowering time","Plant height","Grain weight","Grain number","Tillers","Spike length"
"Protein",0,0.04736,0.148,0.1469,0.2421,0.4052,0.0252,0.08644,0.7301,0.1719
"Starch",0.04736,0,5.425e-22,1.431e-60,1.319e-09,2.404e-15,1.336e-29,1.773e-05,0.1044,0.1026
"β-glucan",0.148,5.425e-22,0,7.695e-10,7.228e-11,9.495e-06,0.7886,0.01152,0.1846,0.0006138
"Fiber",0.1469,1.431e-60,7.695e-10,0,1.06e-07,2.733e-11,7.023e-18,3.921e-12,0.1027,0.5892
"Flowering time",0.2421,1.319e-09,7.228e-11,1.06e-07,0,1.13e-17,2.195e-11,0.3552,0.5282,6.583e-11
"Plant height",0.4052,2.404e-15,9.495e-06,2.733e-11,1.13e-17,0,1.069e-17,0.2647,0.2765,1.676e-15
"Grain weight",0.0252,1.336e-29,0.7886,7.023e-18,2.195e-11,1.069e-17,0,0.02693,0.06267,0.000287
"Grain number",0.08644,1.773e-05,0.01152,3.921e-12,0.3552,0.2647,0.02693,0,0.004878,8.678e-07
"Tillers",0.7301,0.1044,0.1846,0.1027,0.5282,0.2765,0.06267,0.004878,0,0.9986
"Spike length",0.1719,0.1026,0.0006138,0.5892,6.583e-11,1.676e-15,0.000287,8.678e-07,0.9986,0
