"nutri","morpho","r","p","n","sig"
"Protein","Flowering time",-0.0689035614242364,0.242118378280719,290,""
"Starch","Flowering time",0.346552470139349,1.31897720745832e-09,290,"***"
"β-glucan","Flowering time",-0.37051926595556,7.2283122344644e-11,290,"***"
"Fiber","Flowering time",-0.305975653823864,1.06006262453982e-07,290,"***"
"Protein","Plant height",0.0490638796415759,0.405171552616812,290,""
"Starch","Plant height",0.442656596272932,2.40445387604762e-15,290,"***"
"β-glucan","Plant height",-0.256778046186865,9.49523298290338e-06,290,"***"
"Fiber","Plant height",-0.378122942016759,2.73272784705346e-11,290,"***"
"Protein","Grain weight",-0.131440150494422,0.0251951264439224,290,"*"
"Starch","Grain weight",0.598771168586947,1.33555502689819e-29,290,"***"
"β-glucan","Grain weight",-0.0158126030446492,0.788597176883712,290,""
"Fiber","Grain weight",-0.476960412407805,7.02313185420255e-18,290,"***"
"Protein","Grain number",-0.100855231206872,0.0864444634161759,290,""
"Starch","Grain number",-0.249107917611506,1.77326656452152e-05,290,"***"
"β-glucan","Grain number",0.14818881076956,0.0115162582068682,290,"*"
"Fiber","Grain number",0.392735577892038,3.92107936991427e-12,290,"***"
"Protein","Tillers",0.0203476925630206,0.730058357586467,290,""
"Starch","Tillers",-0.0955653876474352,0.104352257447683,290,""
"β-glucan","Tillers",-0.0781209462080604,0.184629661771004,290,""
"Fiber","Tillers",0.0960272877805287,0.102680195253355,290,""
"Protein","Spike length",-0.0804470523629183,0.17185658092774,290,""
"Starch","Spike length",0.096057837213524,0.102570359198212,290,""
"β-glucan","Spike length",-0.199977194006429,0.000613791437534808,290,"***"
"Fiber","Spike length",-0.0318351341441037,0.589246513818481,290,""
