"short_Tag","Trait","y2019","y2021","y2020","n_obs","change_19_21","stability","range_all","slope1","slope2","crossover"
"01_05","Protein",-2.32000773395205,1.47580911435941,1.77545434591747,3,3.79581684831146,4.39510731142758,4.09546207986952,4.09546207986952,-0.299645231558059,4.09546207986952
"01_06","Protein",-1.07334106728538,-1.72285755230725,0.250454345917473,3,-0.64951648502187,3.29710731142758,1.97331189822473,1.32379541320286,-1.97331189822473,1.97331189822473
"01_07","Protein",0.983325599381284,-3.13419088564059,0.892954345917473,3,-4.11751648502187,4.11751648502187,4.11751648502187,-0.0903712534638114,-4.02714523155806,0
"01_08","Protein",-2.08334106728538,-0.821190885640586,-1.76704565408253,3,1.2621501816448,1.2621501816448,1.2621501816448,0.316295413202855,0.945854768441941,0
"01_10","Protein",-0.0433410672853825,1.18780911435941,0.702954345917473,3,1.2311501816448,1.2311501816448,1.2311501816448,0.746295413202855,0.484854768441941,0
"01_11","Protein",0.693325599381283,-0.644190885640586,-1.27204565408253,3,-1.33751648502187,2.59322602190575,1.96537125346381,-1.96537125346381,0.627854768441941,1.96537125346381
"01_12","Protein",2.32999226604795,-0.274190885640586,-0.454545654082528,3,-2.60418315168854,2.96489268857242,2.78453792013048,-2.78453792013048,0.180354768441942,2.78453792013048
"01_13","Protein",1.29332559938128,0.386309114359415,-2.28704565408253,3,-0.907016485021868,6.25372602190575,3.58037125346381,-3.58037125346381,2.67335476844194,3.58037125346381
"01_18","Protein",-1.51334106728538,-0.0481908856405862,1.13045434591747,3,1.4651501816448,3.82244064476092,2.64379541320286,2.64379541320286,-1.17864523155806,2.64379541320286
"02_01","Protein",1.17999226604795,0.0398091143594129,-2.06704565408253,3,-1.14018315168854,5.35389268857242,3.24703792013048,-3.24703792013048,2.10685476844194,3.24703792013048
"02_02","Protein",-0.343341067285382,-0.278690885640587,0.735454345917472,3,0.0646501816447952,2.09294064476091,1.07879541320285,1.07879541320285,-1.01414523155806,1.07879541320285
"02_03","Protein",-0.763341067285383,-0.590190885640586,-1.12454565408253,3,0.173150181644796,0.895559355239087,0.534354768441942,-0.361204586797145,0.534354768441942,0.534354768441942
"02_05","Protein",-0.0266744006187155,0.807809114359413,1.53795434591747,3,0.834483514978128,2.29477397809425,1.56462874653619,1.56462874653619,-0.73014523155806,1.56462874653619
"02_06","Protein",-0.840007733952049,0.901809114359414,-0.0245456540825271,3,1.74181684831146,1.74181684831146,1.74181684831146,0.815462079869522,0.926354768441941,0
"02_08","Protein",0.523325599381285,-0.374190885640586,0.510454345917472,3,-0.897516485021871,0.897516485021871,0.897516485021871,-0.0128712534638128,-0.884645231558058,0
"02_09","Protein",-0.840007733952049,-1.59619088564059,-1.73204565408253,3,-0.756183151688537,1.02789268857242,0.892037920130479,-0.892037920130479,0.135854768441942,0.892037920130479
"02_11","Protein",1.08999226604795,-0.348190885640587,-0.372045654082528,3,-1.43818315168854,1.48589268857242,1.46203792013048,-1.46203792013048,0.0238547684419415,1.46203792013048
"02_13","Protein",0.413325599381285,-1.28619088564059,-0.117045654082527,3,-1.69951648502187,1.69951648502187,1.69951648502187,-0.530371253463812,-1.16914523155806,0
"02_15","Protein",1.79332559938128,0.591809114359413,1.16295434591747,3,-1.20151648502187,1.20151648502187,1.20151648502187,-0.630371253463812,-0.57114523155806,0
"03_01","Protein",0.003325599381285,-0.332190885640586,0.915454345917473,3,-0.335516485021871,2.15977397809425,1.24764523155806,0.912128746536188,-1.24764523155806,1.24764523155806
"03_05","Protein",0.88999226604795,1.42130911435941,2.01045434591747,3,0.531316848311464,1.70960731142758,1.12046207986952,1.12046207986952,-0.589145231558059,1.12046207986952
"03_06","Protein",0.859992266047951,0.921309114359414,2.85295434591747,3,0.0613168483114631,3.92460731142758,1.99296207986952,1.99296207986952,-1.93164523155806,1.99296207986952
"03_07","Protein",-0.106674400618716,0.973809114359415,-0.119545654082527,3,1.08048351497813,1.10622602190575,1.09335476844194,-0.0128712534638116,1.09335476844194,1.09335476844194
"03_11","Protein",-0.0466744006187157,-0.558690885640586,2.68545434591747,3,-0.51201648502187,5.97627397809424,3.24414523155806,2.73212874653619,-3.24414523155806,3.24414523155806
"03_12","Protein",-2.55334106728538,1.37180911435941,2.25045434591747,3,3.9251501816448,5.68244064476091,4.80379541320286,4.80379541320286,-0.878645231558058,4.80379541320286
"03_18","Protein",-2.54667440061872,-0.842857552307253,1.73295434591747,3,1.70381684831146,6.85544064476091,4.27962874653619,4.27962874653619,-2.57581189822473,4.27962874653619
"03_19","Protein",-1.20334106728538,0.528809114359413,1.51295434591747,3,1.7321501816448,3.70044064476092,2.71629541320286,2.71629541320286,-0.98414523155806,2.71629541320286
"03_20","Protein",-1.81334106728538,-2.11619088564059,2.09045434591747,3,-0.302849818355205,8.11044064476091,4.20664523155806,3.90379541320285,-4.20664523155806,4.20664523155806
"05_01","Protein",0.109992266047951,-0.0641908856405866,-0.144545654082528,3,-0.174183151688537,0.33489268857242,0.254537920130479,-0.254537920130479,0.0803547684419414,0.254537920130479
"05_04","Protein",1.90332559938128,0.213809114359414,-1.20204565408253,3,-1.68951648502187,4.52122602190575,3.10537125346381,-3.10537125346381,1.41585476844194,3.10537125346381
"05_05","Protein",-0.120007733952049,-3.01619088564059,-2.04454565408253,3,-2.89618315168854,2.89618315168854,2.89618315168854,-1.92453792013048,-0.971645231558059,0
"05_06","Protein",-1.37000773395205,-1.41119088564059,-0.352045654082528,3,-0.0411831516885384,2.07710731142758,1.05914523155806,1.01796207986952,-1.05914523155806,1.05914523155806
"05_07","Protein",0.139992266047951,0.683809114359414,2.53295434591747,3,0.543816848311463,4.24210731142758,2.39296207986952,2.39296207986952,-1.84914523155806,2.39296207986952
"05_09","Protein",0.80999226604795,-0.839524218973919,1.13295434591747,3,-1.64951648502187,2.29544064476091,1.97247856489139,0.322962079869523,-1.97247856489139,1.97247856489139
"05_10","Protein",-0.0900077339520493,-0.306190885640586,0.570454345917472,3,-0.216183151688537,1.53710731142758,0.876645231558058,0.660462079869522,-0.876645231558058,0.876645231558058
"05_13","Protein",1.62999226604795,0.207809114359414,0.895454345917472,3,-1.42218315168854,1.42218315168854,1.42218315168854,-0.734537920130478,-0.687645231558059,0
"05_14","Protein",1.05665893271462,-1.88819088564059,1.11795434591747,3,-2.9448498183552,3.06744064476091,3.00614523155806,0.0612954132028551,-3.00614523155806,3.00614523155806
"05_15","Protein",-1.32000773395205,-1.26019088564059,-0.00454565408252794,3,0.0598168483114634,2.57110731142758,1.31546207986952,1.31546207986952,-1.25564523155806,1.31546207986952
"06_01","Protein",1.53332559938128,-2.85019088564059,1.65545434591747,3,-4.38351648502187,4.62777397809425,4.50564523155806,0.122128746536188,-4.50564523155806,4.50564523155806
"06_02","Protein",-1.22667440061872,-0.584190885640587,-0.0945456540825269,3,0.642483514978129,1.62177397809425,1.13212874653619,1.13212874653619,-0.48964523155806,1.13212874653619
"06_04","Protein",0.819992266047951,1.14580911435941,0.720454345917473,3,0.325816848311462,0.52489268857242,0.425354768441941,-0.0995379201304788,0.425354768441941,0.425354768441941
"06_05","Protein",-0.560007733952049,-0.454190885640587,0.360454345917472,3,0.105816848311462,1.73510731142758,0.920462079869521,0.920462079869521,-0.814645231558059,0.920462079869521
"06_06","Protein",0.463325599381285,-0.752190885640587,0.457954345917473,3,-1.21551648502187,1.21551648502187,1.21551648502187,-0.0053712534638124,-1.21014523155806,0
"06_09","Protein",2.29332559938128,0.978809114359414,1.70795434591747,3,-1.31451648502187,1.31451648502187,1.31451648502187,-0.585371253463812,-0.729145231558059,0
"06_11","Protein",-1.58667440061872,1.98380911435941,-0.662045654082527,3,3.57048351497813,3.57048351497813,3.57048351497813,0.924628746536188,2.64585476844194,0
"06_16","Protein",0.989992266047951,0.281309114359414,0.765454345917473,3,-0.708683151688538,0.708683151688538,0.708683151688538,-0.224537920130479,-0.484145231558059,0
"06_18","Protein",-1.55667440061872,-1.47619088564059,-1.09454565408253,3,0.0804835149781296,0.843773978094247,0.462128746536188,0.462128746536188,-0.381645231558059,0.462128746536188
"06_20","Protein",2.25999226604795,0.841309114359414,0.970454345917473,3,-1.41868315168854,1.41868315168854,1.41868315168854,-1.28953792013048,-0.129145231558059,0
"07_03","Protein",0.283325599381284,-0.856190885640586,-0.244545654082528,3,-1.13951648502187,1.13951648502187,1.13951648502187,-0.527871253463812,-0.611645231558059,0
"07_04","Protein",-0.0633410672853826,-0.118190885640586,-0.632045654082528,3,-0.0548498183552032,1.08255935523909,0.568704586797145,-0.568704586797145,0.513854768441942,0.568704586797145
"07_05","Protein",-0.33000773395205,-0.761190885640586,-0.964545654082527,3,-0.431183151688537,0.837892688572419,0.634537920130478,-0.634537920130478,0.203354768441941,0.634537920130478
"07_07","Protein",-1.12334106728538,0.978809114359414,-0.464545654082527,3,2.1021501816448,2.1021501816448,2.1021501816448,0.658795413202856,1.44335476844194,0
"07_08","Protein",-1.17000773395205,-2.54119088564059,-0.267045654082528,3,-1.37118315168854,3.17710731142758,2.27414523155806,0.902962079869522,-2.27414523155806,2.27414523155806
"07_12","Protein",-1.28000773395205,-1.20869088564059,-1.42704565408253,3,0.0713168483114628,0.365392688572421,0.218354768441942,-0.147037920130479,0.218354768441942,0.218354768441942
"07_14","Protein",-1.03667440061872,-0.818690885640586,1.57295434591747,3,0.21798351497813,5.00127397809425,2.60962874653619,2.60962874653619,-2.39164523155806,2.60962874653619
"07_15","Protein",-1.46667440061872,-0.382190885640586,0.807954345917473,3,1.08448351497813,3.46477397809425,2.27462874653619,2.27462874653619,-1.19014523155806,2.27462874653619
"07_17","Protein",-0.490007733952049,0.693809114359414,1.57795434591747,3,1.18381684831146,2.95210731142758,2.06796207986952,2.06796207986952,-0.884145231558059,2.06796207986952
"07_18","Protein",-1.33667440061872,-2.05285755230725,0.377954345917473,3,-0.716183151688537,4.14544064476091,2.43081189822473,1.71462874653619,-2.43081189822473,2.43081189822473
"08_01","Protein",-2.27667440061872,-2.02619088564059,-2.33954565408253,3,0.25048351497813,0.376226021905752,0.313354768441941,-0.0628712534638112,0.313354768441941,0.313354768441941
"08_03","Protein",1.87332559938129,-1.67019088564059,-0.637045654082528,3,-3.54351648502187,3.54351648502187,3.54351648502187,-2.51037125346381,-1.03314523155806,0
"08_05","Protein",0.449992266047951,-1.04369088564059,1.48795434591747,3,-1.49368315168854,3.56960731142758,2.53164523155806,1.03796207986952,-2.53164523155806,2.53164523155806
"08_08","Protein",0.359992266047951,1.93380911435941,0.737954345917474,3,1.57381684831146,1.57381684831146,1.57381684831146,0.377962079869523,1.19585476844194,0
