"predictor","display_label","retained_after_r08_filter","n_sites","mean","sd","median","min","max","range"
"Clay_pct","Clay (%)",TRUE,30,20.109,5.843,19.069,6.264,28.419,22.154
"Electrical_Cond","Electrical conductivity (mS/cm)",TRUE,30,662.433,1205.562,415,318,7004,6686
"Elevation","Elevation (m)",TRUE,30,289.633,428.662,175.5,-361,1445,1806
"Organic_Carbon","Organic carbon (mg/kg)",TRUE,30,526.659,179.534,533.679,203.711,923.501,719.79
"Precipitation","Precipitation (mm)",TRUE,30,459.812,258.256,470,53.46,1183.87,1130.41
"Silt_pct","Silt (%)",TRUE,30,63.083,11.06,65.236,32.642,79.193,46.551
"Total_N","Total N (mg/kg)",TRUE,30,124.348,64.248,126.103,45.657,286.063,240.405
"pH","pH",TRUE,30,7.819,0.289,7.875,7.01,8.26,1.25
"March_Temp","March temperature (°C)",FALSE,30,20.089,3.089,20.55,11.23,25.21,13.98
"Sand_pct","Sand (%)",FALSE,30,16.473,14.409,10.888,5.387,61.093,55.706
