"Trait","Predictor","step_when_eliminated","F_statistic","DenDF","p_value","retained_in_final"
"Protein","Silt_pct",1,0.0359935130242731,19.9999998372245,0.851441145891066,FALSE
"Protein","Clay_pct",2,0.207884554107979,20.9999997651895,0.653110463664486,FALSE
"Protein","Organic_Carbon",3,0.468415735576545,21.9999997307137,0.500863881695326,FALSE
"Protein","pH",4,0.328486033659219,22.9999998035839,0.572113498282537,FALSE
"Protein","Precipitation",5,0.359122458079819,23.9999997913077,0.55460947490814,FALSE
"Protein","Electrical_Cond",6,0.363268841620517,24.9999965850879,0.552125054630758,FALSE
"Protein","Total_N",7,1.24391138184065,25.9999995840181,0.274921542074871,FALSE
"Protein","Elevation",8,1.31908180721696,26.9999961257162,0.26083070985723,FALSE
"Starch","pH",1,0.00336598063887214,19.9999948125984,0.954310785193084,FALSE
"Starch","Total_N",2,0.0123982679334223,20.9999956543113,0.912398170831445,FALSE
"Starch","Electrical_Cond",3,0.240261544601395,21.9999993620384,0.628870049261238,FALSE
"Starch","Organic_Carbon",4,0.246670015477124,22.9999995225004,0.624143464575326,FALSE
"Starch","Clay_pct",5,0.495662364472567,23.9999992702293,0.488187635732962,FALSE
"Starch","Silt_pct",0,18.6667203495588,24.9999528945191,0.000216791886541444,TRUE
"Starch","Precipitation",0,24.6110101803497,24.9999528948611,4.12347884316016e-05,TRUE
"Starch","Elevation",0,12.3507668668261,24.999952890901,0.0017029951961402,TRUE
"beta-glucan","pH",1,0.0440259404048352,19.999997368418,0.835928026728026,FALSE
"beta-glucan","Elevation",2,0.0560641466097034,20.9999978929426,0.815122898358211,FALSE
"beta-glucan","Total_N",3,0.294109858163324,21.9999961178592,0.593050355250262,FALSE
"beta-glucan","Precipitation",4,0.197235253936129,22.9999988919934,0.661112229733739,FALSE
"beta-glucan","Clay_pct",5,2.59501884464766,23.9999972184881,0.120275342417374,FALSE
"beta-glucan","Electrical_Cond",0,8.88561655393876,24.9999960023107,0.00632180445957409,TRUE
"beta-glucan","Silt_pct",0,8.16163459543067,24.9999960041768,0.00849303509870811,TRUE
"beta-glucan","Organic_Carbon",0,7.54312054832735,24.9999960042925,0.0110041637501059,TRUE
"Fiber","Total_N",1,0.00150633088146052,19.9999998124915,0.969425500482647,FALSE
"Fiber","pH",2,0.120612089512395,20.9999985548847,0.73182801092877,FALSE
"Fiber","Organic_Carbon",3,0.0921038794546968,21.9999934761184,0.764370858782853,FALSE
"Fiber","Electrical_Cond",4,1.26114503467126,22.9999964612801,0.273020634940643,FALSE
"Fiber","Clay_pct",5,1.91832669632128,23.9999965643323,0.178781732062293,FALSE
"Fiber","Silt_pct",0,9.33046741571299,24.9999988957097,0.00529403758035507,TRUE
"Fiber","Precipitation",0,17.6836845002421,24.9999988967139,0.00029205855745689,TRUE
"Fiber","Elevation",0,6.80305469679963,24.9999988969105,0.0151369652400826,TRUE
