"predictor","pH","Electrical_Cond","Clay_pct","Silt_pct","Sand_pct","March_Temp","Precipitation","Organic_Carbon","Total_N","Elevation"
"pH",1,-0.176846,-0.479426,-0.20559,0.328534,0.189138,-0.422597,-0.659818,-0.017259,-0.062585
"Electrical_Cond",-0.176846,1,-0.139711,-0.039481,0.086687,0.080641,-0.318061,-0.005045,0.509653,0.026355
"Clay_pct",-0.479426,-0.139711,1,0.469732,-0.745906,-0.246842,0.575419,0.365965,-0.15207,0.113416
"Silt_pct",-0.20559,-0.039481,0.469732,1,-0.934453,-0.212952,0.377378,0.280743,0.04351,0.149579
"Sand_pct",0.328534,0.086687,-0.745906,-0.934453,1,0.271789,-0.490229,-0.34352,0.018867,-0.183906
"March_Temp",0.189138,0.080641,-0.246842,-0.212952,0.271789,1,-0.668729,0.030876,0.025898,-0.951022
"Precipitation",-0.422597,-0.318061,0.575419,0.377378,-0.490229,-0.668729,1,0.284463,-0.035974,0.445002
"Organic_Carbon",-0.659818,-0.005045,0.365965,0.280743,-0.34352,0.030876,0.284463,1,0.006345,-0.143378
"Total_N",-0.017259,0.509653,-0.15207,0.04351,0.018867,0.025898,-0.035974,0.006345,1,-0.003224
"Elevation",-0.062585,0.026355,0.113416,0.149579,-0.183906,-0.951022,0.445002,-0.143378,-0.003224,1
