"predictor_1","predictor_2","label_1","label_2","n_complete_sites","pearson_r","abs_r","abs_r_gt_0.8","direction"
"March_Temp","Elevation","March temperature (°C)","Elevation (m)",29,-0.951022,0.951022,TRUE,"negative"
"Silt_pct","Sand_pct","Silt (%)","Sand (%)",29,-0.934453,0.934453,TRUE,"negative"
"Clay_pct","Sand_pct","Clay (%)","Sand (%)",29,-0.745906,0.745906,FALSE,"negative"
"March_Temp","Precipitation","March temperature (°C)","Precipitation (mm)",29,-0.668729,0.668729,FALSE,"negative"
"pH","Organic_Carbon","pH","Organic carbon (mg/kg)",29,-0.659818,0.659818,FALSE,"negative"
"Clay_pct","Precipitation","Clay (%)","Precipitation (mm)",29,0.575419,0.575419,FALSE,"positive"
"Electrical_Cond","Total_N","Electrical conductivity (mS/cm)","Total N (mg/kg)",29,0.509653,0.509653,FALSE,"positive"
"Sand_pct","Precipitation","Sand (%)","Precipitation (mm)",29,-0.490229,0.490229,FALSE,"negative"
"pH","Clay_pct","pH","Clay (%)",29,-0.479426,0.479426,FALSE,"negative"
"Clay_pct","Silt_pct","Clay (%)","Silt (%)",29,0.469732,0.469732,FALSE,"positive"
"Precipitation","Elevation","Precipitation (mm)","Elevation (m)",29,0.445002,0.445002,FALSE,"positive"
"pH","Precipitation","pH","Precipitation (mm)",29,-0.422597,0.422597,FALSE,"negative"
"Silt_pct","Precipitation","Silt (%)","Precipitation (mm)",29,0.377378,0.377378,FALSE,"positive"
"Clay_pct","Organic_Carbon","Clay (%)","Organic carbon (mg/kg)",29,0.365965,0.365965,FALSE,"positive"
"Sand_pct","Organic_Carbon","Sand (%)","Organic carbon (mg/kg)",29,-0.34352,0.34352,FALSE,"negative"
"pH","Sand_pct","pH","Sand (%)",29,0.328534,0.328534,FALSE,"positive"
"Electrical_Cond","Precipitation","Electrical conductivity (mS/cm)","Precipitation (mm)",29,-0.318061,0.318061,FALSE,"negative"
"Precipitation","Organic_Carbon","Precipitation (mm)","Organic carbon (mg/kg)",29,0.284463,0.284463,FALSE,"positive"
"Silt_pct","Organic_Carbon","Silt (%)","Organic carbon (mg/kg)",29,0.280743,0.280743,FALSE,"positive"
"Sand_pct","March_Temp","Sand (%)","March temperature (°C)",29,0.271789,0.271789,FALSE,"positive"
"Clay_pct","March_Temp","Clay (%)","March temperature (°C)",29,-0.246842,0.246842,FALSE,"negative"
"Silt_pct","March_Temp","Silt (%)","March temperature (°C)",29,-0.212952,0.212952,FALSE,"negative"
"pH","Silt_pct","pH","Silt (%)",29,-0.20559,0.20559,FALSE,"negative"
"pH","March_Temp","pH","March temperature (°C)",29,0.189138,0.189138,FALSE,"positive"
"Sand_pct","Elevation","Sand (%)","Elevation (m)",29,-0.183906,0.183906,FALSE,"negative"
"pH","Electrical_Cond","pH","Electrical conductivity (mS/cm)",29,-0.176846,0.176846,FALSE,"negative"
"Clay_pct","Total_N","Clay (%)","Total N (mg/kg)",29,-0.15207,0.15207,FALSE,"negative"
"Silt_pct","Elevation","Silt (%)","Elevation (m)",29,0.149579,0.149579,FALSE,"positive"
"Organic_Carbon","Elevation","Organic carbon (mg/kg)","Elevation (m)",29,-0.143378,0.143378,FALSE,"negative"
"Electrical_Cond","Clay_pct","Electrical conductivity (mS/cm)","Clay (%)",29,-0.139711,0.139711,FALSE,"negative"
"Clay_pct","Elevation","Clay (%)","Elevation (m)",29,0.113416,0.113416,FALSE,"positive"
"Electrical_Cond","Sand_pct","Electrical conductivity (mS/cm)","Sand (%)",29,0.086687,0.086687,FALSE,"positive"
"Electrical_Cond","March_Temp","Electrical conductivity (mS/cm)","March temperature (°C)",29,0.080641,0.080641,FALSE,"positive"
"pH","Elevation","pH","Elevation (m)",29,-0.062585,0.062585,FALSE,"negative"
"Silt_pct","Total_N","Silt (%)","Total N (mg/kg)",29,0.04351,0.04351,FALSE,"positive"
"Electrical_Cond","Silt_pct","Electrical conductivity (mS/cm)","Silt (%)",29,-0.039481,0.039481,FALSE,"negative"
"Precipitation","Total_N","Precipitation (mm)","Total N (mg/kg)",29,-0.035974,0.035974,FALSE,"negative"
"March_Temp","Organic_Carbon","March temperature (°C)","Organic carbon (mg/kg)",29,0.030876,0.030876,FALSE,"positive"
"Electrical_Cond","Elevation","Electrical conductivity (mS/cm)","Elevation (m)",29,0.026355,0.026355,FALSE,"positive"
"March_Temp","Total_N","March temperature (°C)","Total N (mg/kg)",29,0.025898,0.025898,FALSE,"positive"
"Sand_pct","Total_N","Sand (%)","Total N (mg/kg)",29,0.018867,0.018867,FALSE,"positive"
"pH","Total_N","pH","Total N (mg/kg)",29,-0.017259,0.017259,FALSE,"negative"
"Organic_Carbon","Total_N","Organic carbon (mg/kg)","Total N (mg/kg)",29,0.006345,0.006345,FALSE,"positive"
"Electrical_Cond","Organic_Carbon","Electrical conductivity (mS/cm)","Organic carbon (mg/kg)",29,-0.005045,0.005045,FALSE,"negative"
"Total_N","Elevation","Total N (mg/kg)","Elevation (m)",29,-0.003224,0.003224,FALSE,"negative"
