"Trait","Predictor","PredLabel","n_sites","pearson_r","pearson_p","spearman_rho","spearman_p","direction_agreement","conclusion_differs","nonlinearity_flag","loo_r_min","loo_r_max","max_single_site_dr","fragile_one_site"
"Protein","Total_N","Total N (mg/kg)",29,-0.207945337704021,0.279052967228648,-0.178817733990148,0.353347559738115,TRUE,FALSE,FALSE,-0.286989125290367,-0.154713336416314,0.0790437875863461,FALSE
"Protein","March_Temp","March temperature (°C)",29,0.199626727136147,0.299161988952203,0.254679802955665,0.18244201834335,TRUE,FALSE,FALSE,0.156765633471483,0.325549800964059,0.125923073827912,FALSE
"Protein","Clay_pct","Clay (%)",29,0.120872457423171,0.532244981111299,0.289655172413793,0.127480152076832,TRUE,FALSE,TRUE,0.0544801225172253,0.305520794028449,0.184648336605278,FALSE
"Protein","Organic_Carbon","Organic carbon (mg/kg)",29,0.114177977893995,0.555354981165449,0.196551724137931,0.306820371040288,TRUE,FALSE,FALSE,0.0588579387590406,0.193667666045663,0.0794896881516687,FALSE
"Protein","Sand_pct","Sand (%)",29,-0.0940627568284541,0.627434867116717,-0.236453201970443,0.216855760798833,TRUE,FALSE,FALSE,-0.353126521347099,0.0163989811518828,0.259063764518645,FALSE
"Protein","Precipitation","Precipitation (mm)",29,-0.0362277110557901,0.851996556807962,-0.0344827586206896,0.859053129407633,TRUE,FALSE,FALSE,-0.136710188136341,0.0713737851227629,0.107601496178553,FALSE
"Protein","pH","pH",29,0.018468008894157,0.924246134772064,-0.11753111557944,0.543722006657167,FALSE,TRUE,FALSE,-0.0567329323932896,0.114232172550813,0.0957641636566563,FALSE
"Protein","Electrical_Cond","Electrical conductivity (mS/cm)",29,-0.0138741820654778,0.94305432180503,-0.106896551724138,0.581003474931375,TRUE,FALSE,FALSE,-0.0340798295958558,0.140978409441272,0.15485259150675,FALSE
"Starch","Sand_pct","Sand (%)",29,-0.701916483748523,2.20223717183846e-05,-0.579802955665024,0.000979041917216465,TRUE,FALSE,FALSE,-0.785162911323357,-0.631262002716034,0.0832464275748337,FALSE
"Starch","Precipitation","Precipitation (mm)",29,0.618711525411262,0.00034661760894067,0.482758620689655,0.00798995421204236,TRUE,FALSE,FALSE,0.574663873744136,0.693558445648676,0.0748469202374145,FALSE
"Starch","Clay_pct","Clay (%)",29,0.5934769219618,0.000689968587896437,0.541379310344827,0.00242243962447065,TRUE,FALSE,FALSE,0.522419335017616,0.655960364334259,0.071057586944184,FALSE
"Starch","Organic_Carbon","Organic carbon (mg/kg)",29,0.428200245138884,0.0204827786022502,0.485714285714286,0.00755971523196525,TRUE,FALSE,FALSE,0.376208624049066,0.499999278750182,0.0717990336112987,FALSE
"Starch","pH","pH",29,-0.373229870454717,0.0461282290746189,-0.32844649280376,0.081935154106486,TRUE,TRUE,FALSE,-0.433870700564626,-0.3005874530879,0.0726424173668171,FALSE
"Starch","Electrical_Cond","Electrical conductivity (mS/cm)",29,-0.263261780729232,0.16763902327181,-0.400492610837438,0.0313279018730814,TRUE,TRUE,FALSE,-0.499347341413261,-0.258393555578363,0.23608556068403,FALSE
"Starch","March_Temp","March temperature (°C)",29,-0.155431846259913,0.42075137922665,-0.131527093596059,0.496439267412173,TRUE,FALSE,FALSE,-0.243253832832345,-0.106129447854595,0.0878219865724321,FALSE
"Starch","Total_N","Total N (mg/kg)",29,-0.0509239956915204,0.793058272382062,-0.0497536945812808,0.797715472669585,TRUE,FALSE,FALSE,-0.191661606409891,0.0632165590277667,0.140737610718371,FALSE
"β-glucan","Sand_pct","Sand (%)",29,0.613895999485814,0.000397066105084646,0.648275862068965,0.000143006216329467,TRUE,FALSE,FALSE,0.567901638616499,0.653005567084301,0.0459943608693151,FALSE
