"site_id","n_genotypes","ProteinCenterd","StarchCenterd","BetaglucansCenterd","FiberCenterd","pH","Electrical_Cond","Clay_pct","Sand_pct","March_Temp","Precipitation","Organic_Carbon","Total_N"
"HS01",10,-0.3916644329,5.693884053,-0.32512449,-0.2872510497,7.93,338,14.84461195,16.39476193,20.21,474.15,648.9615229,234.1638614
"HS02",10,-0.0753310657,3.6476035721,-0.3312120451,-0.1861609296,7.65,438,23.14154874,12.45905327,22.98,455.88,864.6539864,240.3490169
"HS03",10,0.3530130579,1.5922339889,-0.3721066142,-0.1172795968,7.76,347,27.3458798,6.391193041,11.23,1183.87,289.2713799,150.8686869
"HS05",10,-0.1132737768,4.3999539118,0.1641851537,-0.1541297579,7.91,390,27.10575311,7.131265109,18.78,790.42,433.885765,170.4020839
"HS06",10,0.0988231732,2.2730387775,0.0829211951,0.0058362216,7.57,523,19.1759899,20.79471134,20.46,620.02,510.4229834,159.7318592
"HS07",10,-0.3759033106,-0.0816546644,0.0827257597,-0.0199774044,7.85,425,16.29128511,12.8677439,16.76,669.68,531.1986379,167.8331916
"HS08",10,-0.8859651162,-2.7446242168,0.2888667808,-0.0184948579,7.88,335,21.35532455,7.695587945,21.47,357.13,353.2506546,149.7487924
"HS09",10,-0.9576832617,0.1636324781,0.1989290287,-0.0157397836,7.97,402,17.42529878,20.53788488,21.25,471.85,417.4606101,165.1044202
"HS10",10,-0.650889153,-0.263323189,0.4186337481,-0.0798391539,7.94,405,13.2621233,51.71664842,20.38,446.97,305.8614446,153.7712481
"HS11",10,0.5330196994,3.4026007436,0.1071420314,-0.1578976414,8.26,328,17.92207107,7.993960024,22.54,247.64,311.5131709,127.2372678
"HS12",10,-1.1004153023,-10.1537502875,-0.00449963059999999,0.5839723676,8.23,601,14.98114193,25.65804428,17.27,72.85,348.4211997,148.3896537
"HS13",10,-0.168975357,-4.6326535711,0.3056968118,0.1940955427,8.1,663,12.08716096,31.49854078,25.21,58.49,203.7111036,124.9687447
"HS14",10,1.0216380617,-9.3266218906,0.2520217112,0.1511220149,7.84,1016,17.87350241,25.08728258,21.06,53.46,365.6340801,135.4132602
"HS15",10,-0.1798631598,-5.4757666795,0.6038716446,0.3175372591,7.54,7004,16.71812512,21.64737141,20.93,94.43,532.7203871,286.0626964
"HS16",10,-0.1139013382,-2.8701595134,0.0821196318,0.146754923,7.59,565,25.37574717,11.79787115,20.5,650.92,844.9376945,176.3565826
"HS17",10,-0.4912119592,3.3290974027,-0.207021094,-0.3186029637,7.01,332,28.41872737,5.803371929,13.67,896.59,768.045214,64.98326263
"HS18",10,-0.5493014118,4.7776426999,-0.3821237033,-0.1038798846,7.64,452,21.06633448,5.396359818,20.29,575.04,546.514043,76.55305493
"HS19",10,0.2503310794,2.3269419292,-0.2795839707,-0.1452186329,7.55,331,24.17853935,13.69917133,20.16,588.03,629.4440877,69.96485867
"HS20",10,0.0790941386,3.1147960427,-0.6624379614,-0.2203613613,7.84,381,27.65996465,6.790196014,21.04,637.58,543.8009219,75.37332723
"HS21",10,1.2728897783,1.7038316638,-0.3056083267,-0.1115975109,7.87,461,18.96155963,7.019498865,22.23,360.46,612.5213826,72.2878218
"HS22",10,-0.5320279545,6.0089966328,-0.3573133163,-0.1263901453,7.18,480,24.5100955,9.342427368,20.6,494.4,923.5007246,74.2820331
"HS23",10,0.2989224909,2.2850742835,0.0428116316,-0.2071657545,8.14,356,28.13218837,9.978193557,24,375.22,584.7584122,60.27173227
"HS24",10,1.0796557582,2.9953850942,-0.1655394542,-0.0420234721,7.95,318,25.44787631,5.38744358,18.37,468.15,582.6490766,62.70307043
"HS25",10,0.3294418623,3.2496170686,-0.2475118779,-0.1314480569,7.45,488,27.31169623,7.712943339,24.36,275,534.6371776,61.7257902
"HS26",10,-0.0815995327,2.266099142,-0.0661789024,-0.1072876341,7.73,484,17.60505254,7.367926916,19.73,652.7,629.659032,82.9320798
"HS27",10,-0.9543247084,-12.797095913,0.441948954,0.3994863213,8.14,440,12.09338261,47.64437301,21.57,110.49,314.1902089,45.6574981
"HS28",10,0.9207499532,-9.0613040013,0.2998477902,0.4593494352,8.01,370,6.264304659,61.09345346,22.34,236.17,569.0947402,52.57543957
"HS29",10,-0.5950935668,3.1086432601,0.0952070154,-0.2754295233,7.97,363,25.28253139,11.89880056,15.3,575,399.8468545,51.31544453
"HS30",10,-0.3758517172,2.152047686,-0.0235982627,-0.0754121901,8.04,442,14.23388701,6.572821415,16.22,479.73,513.8471235,81.24230217
