"Trait","Predictor","PredLabel","n_sites","pearson_r","pearson_p","sig_symbol"
"Protein","Total_N","Total N (mg/kg)",29,-0.207945337704021,0.279052967228648,""
"Protein","March_Temp","March temperature (°C)",29,0.199626727136147,0.299161988952203,""
"Protein","Clay_pct","Clay (%)",29,0.120872457423171,0.532244981111299,""
"Protein","Organic_Carbon","Organic carbon (mg/kg)",29,0.114177977893995,0.555354981165449,""
"Protein","Sand_pct","Sand (%)",29,-0.0940627568284541,0.627434867116717,""
"Protein","Precipitation","Precipitation (mm)",29,-0.0362277110557901,0.851996556807962,""
"Protein","pH","pH",29,0.018468008894157,0.924246134772064,""
"Protein","Electrical_Cond","Electrical conductivity (mS/cm)",29,-0.0138741820654778,0.94305432180503,""
"Starch","Sand_pct","Sand (%)",29,-0.701916483748523,2.20223717183846e-05,"***"
"Starch","Precipitation","Precipitation (mm)",29,0.618711525411262,0.00034661760894067,"***"
"Starch","Clay_pct","Clay (%)",29,0.5934769219618,0.000689968587896437,"***"
"Starch","Organic_Carbon","Organic carbon (mg/kg)",29,0.428200245138884,0.0204827786022502,"*"
"Starch","pH","pH",29,-0.373229870454717,0.0461282290746189,"*"
"Starch","Electrical_Cond","Electrical conductivity (mS/cm)",29,-0.263261780729232,0.16763902327181,""
"Starch","March_Temp","March temperature (°C)",29,-0.155431846259913,0.42075137922665,""
"Starch","Total_N","Total N (mg/kg)",29,-0.0509239956915204,0.793058272382062,""
"β-glucan","Sand_pct","Sand (%)",29,0.613895999485814,0.000397066105084646,"***"
"β-glucan","Clay_pct","Clay (%)",29,-0.555190516552825,0.00177100334911324,"**"
"β-glucan","Precipitation","Precipitation (mm)",29,-0.506704921337383,0.00503114329291365,"**"
"β-glucan","Organic_Carbon","Organic carbon (mg/kg)",29,-0.49380572800625,0.00648075256544273,"**"
"β-glucan","Electrical_Cond","Electrical conductivity (mS/cm)",29,0.41431943804139,0.0254475557888753,"*"
"β-glucan","pH","pH",29,0.362711795355282,0.053140568671291,""
"β-glucan","Total_N","Total N (mg/kg)",29,0.257270223910748,0.177880804283806,""
"β-glucan","March_Temp","March temperature (°C)",29,0.202684054591509,0.291668014049548,""
"Fiber","Sand_pct","Sand (%)",29,0.657559308506182,0.000106197472254626,"***"
"Fiber","Clay_pct","Clay (%)",29,-0.631191534398452,0.000241178798882761,"***"
"Fiber","Precipitation","Precipitation (mm)",29,-0.610364820208911,0.000438059176100413,"***"
"Fiber","Electrical_Cond","Electrical conductivity (mS/cm)",29,0.335294034619136,0.0753930963526919,""
"Fiber","pH","pH",29,0.32971522260027,0.0806913784650947,""
"Fiber","Organic_Carbon","Organic carbon (mg/kg)",29,-0.31460639391117,0.0964733388306012,""
"Fiber","March_Temp","March temperature (°C)",29,0.178915722872115,0.353079483746134,""
"Fiber","Total_N","Total N (mg/kg)",29,0.117692682559552,0.543164387782711,""
