"Trait","Predictor","PredLabel","n_sites","pearson_r","pearson_p","sig_symbol"
"Starch","Sand_pct","Sand (%)",29,-0.701916483748523,2.20223717183846e-05,"***"
"Fiber","Sand_pct","Sand (%)",29,0.657559308506182,0.000106197472254626,"***"
"Fiber","Clay_pct","Clay (%)",29,-0.631191534398452,0.000241178798882761,"***"
"Starch","Precipitation","Precipitation (mm)",29,0.618711525411262,0.00034661760894067,"***"
"β-glucan","Sand_pct","Sand (%)",29,0.613895999485814,0.000397066105084646,"***"
"Fiber","Precipitation","Precipitation (mm)",29,-0.610364820208911,0.000438059176100413,"***"
"Starch","Clay_pct","Clay (%)",29,0.5934769219618,0.000689968587896437,"***"
"β-glucan","Clay_pct","Clay (%)",29,-0.555190516552825,0.00177100334911324,"**"
"β-glucan","Precipitation","Precipitation (mm)",29,-0.506704921337383,0.00503114329291365,"**"
"β-glucan","Organic_Carbon","Organic carbon (mg/kg)",29,-0.49380572800625,0.00648075256544273,"**"
"Starch","Organic_Carbon","Organic carbon (mg/kg)",29,0.428200245138884,0.0204827786022502,"*"
"β-glucan","Electrical_Cond","Electrical conductivity (mS/cm)",29,0.41431943804139,0.0254475557888753,"*"
"Starch","pH","pH",29,-0.373229870454717,0.0461282290746189,"*"
