"nutri","morpho","r","p","n","sig","q_local","sig_local"
"Protein","Flowering time",-0.0689035614242364,0.242118378280719,290,"",0.276706718035107,""
"Starch","Flowering time",0.346552470139349,1.31897720745832e-09,290,"***",3.01480504561902e-09,"***"
"β-glucan","Flowering time",-0.37051926595556,7.2283122344644e-11,290,"***",1.92754992919051e-10,"***"
"Fiber","Flowering time",-0.305975653823864,1.06006262453982e-07,290,"***",2.12012524907963e-07,"***"
"Protein","Plant height",0.0490638796415759,0.405171552616812,290,"",0.432182989457932,""
"Starch","Plant height",0.442656596272932,2.40445387604762e-15,290,"***",1.28237540055873e-14,"***"
"β-glucan","Plant height",-0.256778046186865,9.49523298290338e-06,290,"***",1.68804141918282e-05,"***"
"Fiber","Plant height",-0.378122942016759,2.73272784705346e-11,290,"***",8.74472911057106e-11,"***"
"Protein","Grain weight",-0.131440150494422,0.0251951264439224,290,"*",0.0335935019252299,"*"
"Starch","Grain weight",0.598771168586947,1.33555502689819e-29,290,"***",2.1368880430371e-28,"***"
"β-glucan","Grain weight",-0.0158126030446492,0.788597176883712,290,"",0.788597176883712,""
"Fiber","Grain weight",-0.476960412407805,7.02313185420255e-18,290,"***",5.61850548336204e-17,"***"
"Protein","Grain number",-0.100855231206872,0.0864444634161759,290,"",0.106393185742986,""
"Starch","Grain number",-0.249107917611506,1.77326656452152e-05,290,"***",2.83722650323443e-05,"***"
"β-glucan","Grain number",0.14818881076956,0.0115162582068682,290,"*",0.016750921028172,"*"
"Fiber","Grain number",0.392735577892038,3.92107936991427e-12,290,"***",1.56843174796571e-11,"***"
