"trait","region","emmean","SE","df","lower_CL","upper_CL"
"Protein","North",-0.0568,0.2986,23,-0.6745,0.5609
"Protein","Coast",-0.5543,0.2671,23,-1.1068,-0.0019
"Protein","Desert",0.0211,0.2671,23,-0.5314,0.5736
"Protein","HZ1 (North-Coast)",-0.165,0.2671,23,-0.7175,0.3875
"Protein","HZ2 (North-Desert)",0.4898,0.2671,23,-0.0627,1.0422
"Protein","HZ3 (Coast-Desert)",-0.2172,0.2671,23,-0.7697,0.3352
"Starch","North",3.8334,2.1039,23,-0.5188,8.1857
"Starch","Coast",-0.1306,1.8818,23,-4.0234,3.7622
"Starch","Desert",-5.2372,1.8818,23,-9.13,-1.3445
"Starch","HZ1 (North-Coast)",2.1357,1.8818,23,-1.7571,6.0284
"Starch","HZ2 (North-Desert)",3.2486,1.8818,23,-0.6442,7.1413
"Starch","HZ3 (Coast-Desert)",-2.8663,1.8818,23,-6.7591,1.0264
"β-glucan","North",-0.2161,0.1077,23,-0.4389,0.0068
"β-glucan","Coast",0.2144,0.0964,23,0.0151,0.4138
"β-glucan","Desert",0.2528,0.0964,23,0.0535,0.4522
"β-glucan","HZ1 (North-Coast)",-0.2898,0.0964,23,-0.4892,-0.0905
"β-glucan","HZ2 (North-Desert)",-0.2066,0.0964,23,-0.406,-0.0073
"β-glucan","HZ3 (Coast-Desert)",0.1494,0.0964,23,-0.0499,0.3488
"Fiber","North",-0.1862,0.0976,23,-0.3882,0.0158
"Fiber","Coast",-0.0256,0.0873,23,-0.2063,0.155
"Fiber","Desert",0.2178,0.0873,23,0.0371,0.3984
"Fiber","HZ1 (North-Coast)",-0.1283,0.0873,23,-0.3089,0.0524
"Fiber","HZ2 (North-Desert)",-0.1237,0.0873,23,-0.3044,0.0569
"Fiber","HZ3 (Coast-Desert)",0.0801,0.0873,23,-0.1005,0.2608
