"trait","group1","group2","estimate","SE","df","t_ratio","p_raw","p_adj_BH","p_adj_signif","highlight"
"Protein","North","Desert",-0.0779,0.4006,23,-0.1944,0.847534915649579,0.847534915649579,"ns","North_vs_Desert"
"Protein","North","Coast",0.4975,0.4006,23,1.2419,0.226786464288376,0.340179696432563,"ns",""
"Protein","Coast","Desert",-0.5754,0.3777,23,-1.5235,0.14127108094508,0.340179696432563,"ns",""
"Starch","North","Desert",9.0707,2.8227,23,3.2135,0.0038523480933516,0.0115570442800548,"*","North_vs_Desert"
"Starch","North","Coast",3.964,2.8227,23,1.4043,0.17357735496006,0.17357735496006,"ns",""
"Starch","Coast","Desert",5.1067,2.6612,23,1.9189,0.0674907193322023,0.101236078998303,"ns",""
"β-glucan","North","Desert",-0.4689,0.1446,23,-3.2439,0.00358199992330554,0.0100925933938763,"*","North_vs_Desert"
"β-glucan","North","Coast",-0.4305,0.1446,23,-2.978,0.00672839559591757,0.0100925933938763,"*",""
"β-glucan","Coast","Desert",-0.0384,0.1363,23,-0.282,0.780472444515399,0.780472444515399,"ns",""
"Fiber","North","Desert",-0.404,0.131,23,-3.0841,0.00524089176869945,0.0157226753060984,"*","North_vs_Desert"
"Fiber","North","Coast",-0.1606,0.131,23,-1.2258,0.232671291157602,0.232671291157602,"ns",""
"Fiber","Coast","Desert",-0.2434,0.1235,23,-1.971,0.0608692676555864,0.0913039014833796,"ns",""
