"region","Trait","n_accessions","mean_absolute_pct","sd_absolute_pct","median_absolute_pct","min_absolute_pct","max_absolute_pct"
"North","Protein",40,16.6486,0.6895,16.691,14.7328,17.9389
"Coast","Protein",50,16.1511,0.8107,16.1908,14.2496,17.9352
"Desert","Protein",50,16.7265,1.0647,16.9657,14.5081,19.6411
"HZ1 (North-Coast)","Protein",50,16.5405,0.8675,16.547,14.8262,18.334
"HZ2 (North-Desert)","Protein",50,17.1952,1.1064,17.2542,14.6678,19.5132
"HZ3 (Coast-Desert)","Protein",50,16.4882,0.9902,16.3625,14.4667,18.2917
"North","Starch",40,39.3773,3.2863,39.4789,33.1563,45.6072
"Coast","Starch",50,35.4133,3.3632,35.7199,26.7006,41.1372
"Desert","Starch",50,30.3066,5.7987,27.9486,19.5658,42.3539
"HZ1 (North-Coast)","Starch",50,37.6795,3.9734,38.2403,27.2781,44.5255
"HZ2 (North-Desert)","Starch",50,38.7925,4.0573,39.2951,31.745,48.4849
"HZ3 (Coast-Desert)","Starch",50,32.6776,7.3221,33.6168,19.6998,44.6867
"North","β-glucan",40,5.9205,0.3719,5.9148,5.2247,6.9132
"Coast","β-glucan",50,6.3509,0.3084,6.4104,5.7473,6.9907
"Desert","β-glucan",50,6.3894,0.4525,6.3142,5.5763,7.8674
"HZ1 (North-Coast)","β-glucan",50,5.8467,0.3665,5.8116,5.1564,6.612
"HZ2 (North-Desert)","β-glucan",50,5.9299,0.3036,5.9238,5.1971,6.9102
"HZ3 (Coast-Desert)","β-glucan",50,6.286,0.3814,6.3197,5.3327,7.0835
"North","Fiber",40,3.8928,0.1587,3.8966,3.6079,4.2291
"Coast","Fiber",50,4.0533,0.1586,4.0129,3.7976,4.4612
"Desert","Fiber",50,4.2967,0.3168,4.2652,3.7059,5.2258
"HZ1 (North-Coast)","Fiber",50,3.9507,0.2048,3.9522,3.5315,4.4229
"HZ2 (North-Desert)","Fiber",50,3.9552,0.2154,3.9378,3.5287,4.501
"HZ3 (Coast-Desert)","Fiber",50,4.1591,0.3431,4.1697,3.4766,4.801
