"Trait1","Trait2","Class1","Class2","EdgeType","r","p","n","sig"
"Protein","Starch","Nutritional","Nutritional","nutri-nutri",-0.116553616536537,0.0473643259591656,290,"*"
"Protein","β-glucan","Nutritional","Nutritional","nutri-nutri",-0.0851694166566737,0.147967301401983,290,""
"Starch","β-glucan","Nutritional","Nutritional","nutri-nutri",-0.52552637206466,5.42513669681234e-22,290,"***"
"Protein","Fiber","Nutritional","Nutritional","nutri-nutri",0.0853959955600763,0.146888015346709,290,""
"Starch","Fiber","Nutritional","Nutritional","nutri-nutri",-0.779970111661957,1.43094164353306e-60,290,"***"
"β-glucan","Fiber","Nutritional","Nutritional","nutri-nutri",0.351153878258015,7.69489612248202e-10,290,"***"
"Protein","Flowering time","Nutritional","Agromorphological","nutri-morpho",-0.0689035614242364,0.242118378280719,290,""
"Starch","Flowering time","Nutritional","Agromorphological","nutri-morpho",0.346552470139349,1.31897720745832e-09,290,"***"
"β-glucan","Flowering time","Nutritional","Agromorphological","nutri-morpho",-0.37051926595556,7.2283122344644e-11,290,"***"
"Fiber","Flowering time","Nutritional","Agromorphological","nutri-morpho",-0.305975653823864,1.06006262453982e-07,290,"***"
"Protein","Plant height","Nutritional","Agromorphological","nutri-morpho",0.0490638796415759,0.405171552616812,290,""
"Starch","Plant height","Nutritional","Agromorphological","nutri-morpho",0.442656596272932,2.40445387604762e-15,290,"***"
"β-glucan","Plant height","Nutritional","Agromorphological","nutri-morpho",-0.256778046186865,9.49523298290338e-06,290,"***"
"Fiber","Plant height","Nutritional","Agromorphological","nutri-morpho",-0.378122942016759,2.73272784705346e-11,290,"***"
"Flowering time","Plant height","Agromorphological","Agromorphological","morpho-morpho",0.47430452407112,1.1300069827251e-17,290,"***"
"Protein","Grain weight","Nutritional","Agromorphological","nutri-morpho",-0.131440150494422,0.0251951264439224,290,"*"
"Starch","Grain weight","Nutritional","Agromorphological","nutri-morpho",0.598771168586947,1.33555502689819e-29,290,"***"
"β-glucan","Grain weight","Nutritional","Agromorphological","nutri-morpho",-0.0158126030446492,0.788597176883712,290,""
"Fiber","Grain weight","Nutritional","Agromorphological","nutri-morpho",-0.476960412407805,7.02313185420255e-18,290,"***"
"Flowering time","Grain weight","Agromorphological","Agromorphological","morpho-morpho",0.379810042635228,2.19466536912436e-11,290,"***"
"Plant height","Grain weight","Agromorphological","Agromorphological","morpho-morpho",0.474613448298207,1.06941924625011e-17,290,"***"
"Protein","Grain number","Nutritional","Agromorphological","nutri-morpho",-0.100855231206872,0.0864444634161759,290,""
"Starch","Grain number","Nutritional","Agromorphological","nutri-morpho",-0.249107917611506,1.77326656452152e-05,290,"***"
"β-glucan","Grain number","Nutritional","Agromorphological","nutri-morpho",0.14818881076956,0.0115162582068682,290,"*"
"Fiber","Grain number","Nutritional","Agromorphological","nutri-morpho",0.392735577892038,3.92107936991427e-12,290,"***"
"Flowering time","Grain number","Agromorphological","Agromorphological","morpho-morpho",-0.0544843795785481,0.355218134829547,290,""
"Plant height","Grain number","Agromorphological","Agromorphological","morpho-morpho",0.0657137193910434,0.264663102271806,290,""
"Grain weight","Grain number","Agromorphological","Agromorphological","morpho-morpho",-0.129935288366383,0.0269287189720246,290,"*"
"Protein","Tillers","Nutritional","Agromorphological","nutri-morpho",0.0203476925630206,0.730058357586467,290,""
"Starch","Tillers","Nutritional","Agromorphological","nutri-morpho",-0.0955653876474352,0.104352257447683,290,""
"β-glucan","Tillers","Nutritional","Agromorphological","nutri-morpho",-0.0781209462080604,0.184629661771004,290,""
"Fiber","Tillers","Nutritional","Agromorphological","nutri-morpho",0.0960272877805287,0.102680195253355,290,""
"Flowering time","Tillers","Agromorphological","Agromorphological","morpho-morpho",0.0371906078057759,0.528160715485813,290,""
"Plant height","Tillers","Agromorphological","Agromorphological","morpho-morpho",0.0641085491338789,0.276536018219955,290,""
"Grain weight","Tillers","Agromorphological","Agromorphological","morpho-morpho",-0.109457531506199,0.0626677969118143,290,""
"Grain number","Tillers","Agromorphological","Agromorphological","morpho-morpho",0.164878956694983,0.00487845912021599,290,"**"
"Protein","Spike length","Nutritional","Agromorphological","nutri-morpho",-0.0804470523629183,0.17185658092774,290,""
"Starch","Spike length","Nutritional","Agromorphological","nutri-morpho",0.096057837213524,0.102570359198212,290,""
"β-glucan","Spike length","Nutritional","Agromorphological","nutri-morpho",-0.199977194006429,0.000613791437534808,290,"***"
"Fiber","Spike length","Nutritional","Agromorphological","nutri-morpho",-0.0318351341441037,0.589246513818481,290,""
"Flowering time","Spike length","Agromorphological","Agromorphological","morpho-morpho",0.371259012205215,6.58294234369608e-11,290,"***"
"Plant height","Spike length","Agromorphological","Agromorphological","morpho-morpho",0.444895471301941,1.67552303214716e-15,290,"***"
"Grain weight","Spike length","Agromorphological","Agromorphological","morpho-morpho",0.211469141432135,0.000287026006452906,290,"***"
"Grain number","Spike length","Agromorphological","Agromorphological","morpho-morpho",0.284132902557939,8.67767964321089e-07,290,"***"
"Tillers","Spike length","Agromorphological","Agromorphological","morpho-morpho",0.000101125396128,0.998631895288512,290,""
