"","Protein","Starch","β-glucan","Fiber","Flowering time","Plant height","Grain weight","Grain number","Tillers","Spike length"
"Protein",1,-0.1166,-0.0852,0.0854,-0.0689,0.0491,-0.1314,-0.1009,0.0203,-0.0804
"Starch",-0.1166,1,-0.5255,-0.78,0.3466,0.4427,0.5988,-0.2491,-0.0956,0.0961
"β-glucan",-0.0852,-0.5255,1,0.3512,-0.3705,-0.2568,-0.0158,0.1482,-0.0781,-0.2
"Fiber",0.0854,-0.78,0.3512,1,-0.306,-0.3781,-0.477,0.3927,0.096,-0.0318
"Flowering time",-0.0689,0.3466,-0.3705,-0.306,1,0.4743,0.3798,-0.0545,0.0372,0.3713
"Plant height",0.0491,0.4427,-0.2568,-0.3781,0.4743,1,0.4746,0.0657,0.0641,0.4449
"Grain weight",-0.1314,0.5988,-0.0158,-0.477,0.3798,0.4746,1,-0.1299,-0.1095,0.2115
"Grain number",-0.1009,-0.2491,0.1482,0.3927,-0.0545,0.0657,-0.1299,1,0.1649,0.2841
"Tillers",0.0203,-0.0956,-0.0781,0.096,0.0372,0.0641,-0.1095,0.1649,1,1e-04
"Spike length",-0.0804,0.0961,-0.2,-0.0318,0.3713,0.4449,0.2115,0.2841,1e-04,1
