"Trait","TraitLabel","Component","Variance","Percentage","TotalVar"
"ProteinCenterd","Protein","Genetics",1.06717708517383,24.2,4.40913511457957
"ProteinCenterd","Protein","Season & Block",0.243549289444676,5.52,4.40913511457957
"ProteinCenterd","Protein","G x E",0.43295560813804,9.82,4.40913511457957
"ProteinCenterd","Protein","Residual",2.66545313182303,60.45,4.40913511457957
"StarchCenterd","Starch","Genetics",36.0878888347837,47.42,76.0968290264698
"StarchCenterd","Starch","Season & Block",4.04433111008581,5.31,76.0968290264698
"StarchCenterd","Starch","G x E",4.48710830250016,5.9,76.0968290264698
"StarchCenterd","Starch","Residual",31.4775007791002,41.37,76.0968290264698
"BetaglucansCenterd","β-glucan","Genetics",0.189443648484152,23.43,0.808495043648733
"BetaglucansCenterd","β-glucan","Season & Block",0.0607352630266913,7.51,0.808495043648733
"BetaglucansCenterd","β-glucan","G x E",0.122760889606158,15.18,0.808495043648733
"BetaglucansCenterd","β-glucan","Residual",0.435555242531731,53.87,0.808495043648733
"FiberCenterd","Fiber","Genetics",0.0925532725649437,24.83,0.372797017067534
"FiberCenterd","Fiber","Season & Block",0.0448863697415436,12.04,0.372797017067534
"FiberCenterd","Fiber","G x E",0.0166549710699973,4.47,0.372797017067534
"FiberCenterd","Fiber","Residual",0.218702403691049,58.67,0.372797017067534
"flowering_timeCenterd","Flowering time","Genetics",78.0823155384601,74.74,104.476751243657
"flowering_timeCenterd","Flowering time","Season & Block",1.15051141664948,1.1,104.476751243657
"flowering_timeCenterd","Flowering time","G x E",5.72333616840698,5.48,104.476751243657
"flowering_timeCenterd","Flowering time","Residual",19.5205881201408,18.68,104.476751243657
"Number.Of.TillersCenterd","Tillers","Genetics",2.01707410746327e-08,0,76.2566050207897
"Number.Of.TillersCenterd","Tillers","Season & Block",4.38385469032206,5.75,76.2566050207897
"Number.Of.TillersCenterd","Tillers","G x E",4.94115186347946,6.48,76.2566050207897
"Number.Of.TillersCenterd","Tillers","Residual",66.9315984468174,87.77,76.2566050207897
"Grain_weightCenterd","Grain weight","Genetics",0.0806553661688163,22.31,0.361592819506418
"Grain_weightCenterd","Grain weight","Season & Block",0.0306305954159835,8.47,0.361592819506418
"Grain_weightCenterd","Grain weight","G x E",0.0540075875594538,14.94,0.361592819506418
"Grain_weightCenterd","Grain weight","Residual",0.196299270362165,54.29,0.361592819506418
"Spike.LengthCenterd","Spike length","Genetics",0.947544995693981,34.38,2.75620423892311
"Spike.LengthCenterd","Spike length","Season & Block",0.0632912730611367,2.3,2.75620423892311
"Spike.LengthCenterd","Spike length","G x E",0.318943272922834,11.57,2.75620423892311
"Spike.LengthCenterd","Spike length","Residual",1.42642469724516,51.75,2.75620423892311
