Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
7	:	1779887235.892	   251.864	0	55128	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/starch_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc3.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__starch__BLUP__pc3
16	:	1779887235.915	   252.064	0	54924	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_fiber_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc3.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__fiber__BLUE__pc3
19	:	1779887235.922	   254.008	0	54980	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/betaglucan_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc3.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__betaglucan__BLUP__pc3
1	:	1779887235.881	   254.474	0	55087	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/protein_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc3.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__protein__BLUP__pc3
13	:	1779887235.907	   255.029	0	54887	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/fiber_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc3.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__fiber__BLUP__pc3
10	:	1779887235.899	   263.269	0	55124	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_starch_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc3.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__starch__BLUE__pc3
4	:	1779887235.886	   265.856	0	55084	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_protein_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc3.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__protein__BLUE__pc3
8	:	1779887235.895	   269.260	0	55033	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/starch_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__starch__BLUP__pc5
2	:	1779887235.882	   269.684	0	54996	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/protein_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__protein__BLUP__pc5
11	:	1779887235.903	   273.049	0	55030	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_starch_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__starch__BLUE__pc5
14	:	1779887235.910	   273.865	0	54800	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/fiber_corrected_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__fiber__BLUP__pc5
5	:	1779887235.888	   278.658	0	54991	0	0	/mnt/data/shahar/gwas_barley/tools/emmax-intel64 -v -d 10 -t /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes -p /mnt/data/shahar/gwas_barley/data/inputs/BLUE_protein_V3.pheno -k /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf -c /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov -o /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/results/emmax_ps/morexV3__protein__BLUE__pc5
