trait	pheno_type	n_PCs	lambda_GC
betaglucan	BLUE	3	0.973456681655965
fiber	BLUE	3	0.968560333905935
protein	BLUE	3	0.977826269788794
starch	BLUE	3	0.984725461221676
betaglucan	BLUE	5	0.977061699666833
fiber	BLUE	5	0.971234456072604
protein	BLUE	5	0.973244042723424
starch	BLUE	5	0.986877684232762
betaglucan	BLUE	10	0.976313757823914
fiber	BLUE	10	0.97448789143213
protein	BLUE	10	0.982021236476727
starch	BLUE	10	0.981139335625367
betaglucan	BLUP	3	0.973455801100543
fiber	BLUP	3	0.969582669043607
protein	BLUP	3	0.977490428445847
starch	BLUP	3	0.984639245027141
betaglucan	BLUP	5	0.977415615133823
fiber	BLUP	5	0.972522279556672
protein	BLUP	5	0.972377462498203
starch	BLUP	5	0.986991425982257
betaglucan	BLUP	10	0.976623302442786
fiber	BLUP	10	0.97546326156831
protein	BLUP	10	0.981322018272858
starch	BLUP	10	0.981406252473793
