PC	eigenval	pct_variance	cum_pct
1	35.1464	6.0476	6.0476
2	25.0843	4.3162	10.3638
3	23.1628	3.9856	14.3493
4	18.8869	3.2498	17.5992
5	18.3847	3.1634	20.7626
6	17.5418	3.0184	23.781
7	15.8844	2.7332	26.5142
8	14.5094	2.4966	29.0108
9	12.8623	2.2132	31.224
10	12.2593	2.1094	33.3334
11	10.0148	1.7232	35.0566
12	9.60826	1.6533	36.7099
13	9.18161	1.5799	38.2898
14	7.81508	1.3447	39.6345
15	7.36424	1.2671	40.9016
16	7.20931	1.2405	42.1421
17	6.63142	1.1411	43.2832
18	6.34487	1.0917	44.3749
19	6.25783	1.0768	45.4517
20	5.83746	1.0044	46.4561
