Bin	Sum_R2	SumSq_R2	N_Pairs
0	2.46567e+06	1.75032e+06	9692747
1000	1.63999e+06	1.1541e+06	6448739
2000	1.41238e+06	987615	5636242
3000	1.26078e+06	877834	5088144
4000	1.14971e+06	799021	4677507
5000	1.05746e+06	731447	4359023
05292	2165885
6000	974471	671707	4049762
7000	915165	630769	3806256
8000	865291	594827	3625114
9000	841600	578971	3531936
10000	821522	565002	3446678
11000	804333	552495	3392647
12000	790705	542662	3337576
13000	781922	537317	3294081
14000	775109	532379	3282509
15000	760562	521287	3235895
16000	753924	516036	3218252
17000	747628	511298	3191249
18000	737422	503216	3162405
19000	729920	498478	3122676
20000	726627	495679	3124852
21000	725703	495226	3124036
22000	717946	490190	3086256
23000	715570	487009	3098172
25000	705019	478349	3076967
26000	703994	477428	3076610
27000	699649	474046	3059193
28000	699376	473552	3053437
29000	696429	471753	3034723
30000	688049	465416	3016649
31000	683481	461299	3000560
33000	684143	460925	3022602
34000	680520	458047	3004514
35000	676020	454436	3002419
36000	677929	455989	3007654
37000	671913	451268	2987613
38000	672393	451834	2984295
39000	665370	446778	2955741
40000	662097	444085	2957435
41000	656317	439646	2944290
42000	658637	442021	2945784
43000	658703	442964	2933790
44000	658819	443125	2936267
45000	657646	442703	2927055
46000	658743	443452	2920413
47000	652426	438085	2916208
48000	650703	436734	2914098
50000	649590	435186	2919261
52000	644392	429885	2924938
53000	635433	423505	2896730
54000	632922	421041	2896387
55000	633045	421128	2893107
56000	629123	419009	2868892
57000	627996	417829	2871718
58000	620640	412682	2840620
59000	619525	411318	2850731
60000	622709	413845	2850828
62000	616068	409366	2822596
63000	616481	408714	2834392
64000	620143	411252	2863049
65000	620120	410524	2873549
66000	624315	413785	2895995
67000	614025	406587	2858045
68000	608745	402215	2840419
69000	606778	400895	2837579
70000	606154	401024	2830415
71000	610369	404776	2851098
72000	609235	403428	2844642
73000	606631	401192	2834774
74000	607269	402314	2829234
75000	603929	399314	2824267
76000	600500	397548	2810267
77000	598555	395753	2805599
78000	601660	397781	2823959
79000	603234	398628	2838276
80000	600425	396276	2836208
81000	599900	396057	2837730
82000	597154	394279	2812583
83000	591660	388935	2815215
84000	588061	386230	2801279
85000	581747	382027	2776937
86000	582989	382866	2788900
88000	577908	379438	2777878
89000	576979	378100	2783584
90000	570732	373658	2753592
91000	570953	373352	2751813
92000	570251	372493	2760466
94000	563137	367661	2737533
95000	561369	365712	2744399
96000	556606	361258	2730122
97000	555395	361005	2713727
98000	550691	357417	2705170
99000	552236	358340	2720970
100000	552065	357938	2726758
101000	550936	357069	2721388
102000	547235	353578	2725959
103000	549794	356102	2728894
105000	544787	350666	2734533
106000	540164	347804	2707933
107000	539323	346716	2707590
108000	537370	345116	2712843
109000	537198	344811	2718428
110000	535684	343332	2715723
111000	531726	340289	2709218
112000	525171	335084	2685498
113000	525637	335254	2683421
114000	525711	334621	2690821
115000	527196	336376	2691381
117000	523843	334490	2670867
118000	522256	332574	2673418
119000	521849	332326	2674510
121000	518768	329383	2675577
122000	516233	327862	2665140
123000	515113	326950	2666775
125000	514588	326252	2675442
126000	514380	326106	2673456
127000	513138	324713	2681545
128000	509632	321485	2678830
129000	511978	323248	2687972
131000	516804	326509	2701016
132000	515281	325828	2687153
133000	514033	325558	2682725
134000	509531	321288	2688155
135000	506321	319132	2677892
136000	506124	318008	2684338
137000	507665	318487	2702098
138000	503698	315397	2684806
139000	504020	315203	2699766
140000	501463	313785	2688988
141000	496742	310159	2668257
142000	492823	307151	2665989
143000	488598	304786	2635733
144000	488498	303779	2647177
146000	487222	303034	2647847
147000	487261	303026	2655277
148000	483847	301395	2621538
149000	480982	299075	2610050
150000	480480	298357	2622612
151000	480343	298694	2614741
152000	475908	296295	2589087
154000	481318	298900	2613937
155000	480651	297678	2629520
156000	479505	297460	2612418
157000	483672	300639	2627088
158000	481319	298297	2631458
159000	478625	296815	2620088
160000	476307	294990	2615561
161000	477007	295863	2611297
162000	475743	294709	2610712
163000	475030	293793	2610096
164000	470668	290382	2605065
165000	465234	286099	2580167
166000	465197	286444	2579652
167000	468309	288319	2592891
168000	472035	291341	2607561
169000	471222	290378	2617214
170000	472135	290685	2619255
171000	473728	291512	2634581
172000	471626	289816	2628261
173000	469111	287571	2630171
174000	467841	286980	2621838
175000	463977	284336	2607246
177000	463009	283185	2611695
178000	463714	283873	2617857
179000	462016	282885	2603921
180000	461624	281972	2611154
181000	460070	280818	2601525
182000	461172	282578	2594842
183000	462096	282648	2609294
184000	461037	281679	2618783
185000	461133	281889	2609980
186000	457336	279132	2600590
187000	452747	275211	2589489
188000	450865	274530	2567971
189000	450294	274219	2568976
190000	446825	271506	2564932
191000	443480	268762	2560397
192000	440753	266088	2558264
193000	438976	264490	2561943
194000	438134	264413	2547477
195000	438354	264627	2562841
196000	440464	266486	2558437
197000	439298	266004	2553602
198000	439497	266475	2544153
199000	441383	268463	2551034
200000	441312	267694	2573807
201000	442942	268344	2587699
202000	441953	266846	2581005
203000	444071	268249	2588871
204000	448768	271859	2610244
205000	448593	271189	2621759
206000	447250	270558	2613517
207000	445325	268538	2606112
208000	442722	266378	2596533
