Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
0	0	0.266725468310943	0.349992642598904	4.48735194710115e-05	60832766	16225648	11779494.1	0.122494849873364
1000	1	0.276679061281171	0.353200319036324	5.61661392591628e-05	39545132	10941310	7960505	0.124750465367361
2000	2	0.273778223280723	0.351476492065743	5.96260575635117e-05	34747245	9513039	6896989	0.12353572447484
3000	3	0.27147190571982	0.350333772136098	6.24495531349865e-05	31470623	8543390	6181798	0.122733751899108
4000	4	0.269521603328699	0.349214759929038	6.49518833859936e-05	28906911	7791037	5625078	0.121950948552296
5000	5	0.267363911763705	0.348050019642466	6.7125543229308e-05	26884855	7188040	5178622	0.121138816173121
6000	6	0.266279762864095	0.347492993672481	6.92771452798323e-05	25160087	6699622	4822089	0.120751380651463
7000	7	0.265537815110134	0.347329111562491	7.1256997349308e-05	23758955	6308901	4541473	0.120637511738789
8000	8	0.263835557130463	0.346457867092908	7.27391366604497e-05	22686347	5985465	4302290	0.120033053670567
9000	9	0.263988901704686	0.346579302815661	7.39847217470723e-05	21944271	5793044	4165184	0.120117213140189
10000	10	0.263451321586669	0.346308733593289	7.45693347531589e-05	21567825	5682072	4083573	0.119929738962987
11000	11	0.262603781234291	0.345810987837241	7.49869982546755e-05	21266971	5584787	4009802	0.119585239308968
12000	12	0.262400556577631	0.345766321853527	7.54889949378605e-05	20979643	5505070	3952741	0.119554349328117
13000	13	0.262542588942248	0.345863509948899	7.59186599522102e-05	20754507	5448942	3913266	0.119621567514172
14000	14	0.261617730961307	0.34535128414189	7.61128422877935e-05	20587626	5386088	3864531	0.119267509458452
15000	15	0.261381617225874	0.345112995895287	7.64202447031952e-05	20394158	5330658	3822341	0.119102979935821
16000	16	0.260984414385853	0.345036358196878	7.66267721121451e-05	20275364	5291554	3794797	0.119050088477765
17000	17	0.260736401955382	0.344833335092193	7.6956528801214e-05	20078328	5235151	3752509	0.118910028990804
18000	18	0.260682402277169	0.344806809648361	7.72187088615453e-05	19939148	5197785	3725571	0.118891735979881
19000	19	0.260545785274211	0.344568621837993	7.74353527950075e-05	19800351	5158898	3694976	0.118727535155334
20000	20	0.260157329925775	0.344507528662652	7.7657655020461e-05	19680172	5119941	3667740	0.118685437305248
21000	21	0.260039200187211	0.344460371139285	7.78028148344908e-05	19601437	5097142	3651225	0.118652947285414
22000	22	0.260191777737572	0.344553105802794	7.8048727323806e-05	19488602	5070774	3632999	0.118716842718351
23000	23	0.259526668391718	0.343997639074	7.80454712486396e-05	19427437	5041938	3607451	0.118334375688486
25000	25	0.258428859322349	0.343360420212901	7.79858693252743e-05	19385126	5009676	3580081	0.11789637816878
26000	26	0.257952022568622	0.343184232344467	7.79936065472635e-05	19361395	4994311	3568589	0.117775417329861
27000	27	0.258027619204795	0.343221849905171	7.82510494022847e-05	19238425	4964045	3547171	0.117801238252328
28000	28	0.25764555104255	0.343013065745895	7.83549131622021e-05	19164119	4937550	3526949	0.117657963272398
29000	29	0.256991573609036	0.342597659958837	7.83912879050652e-05	19099992	4908537	3503279	0.117373156609271
30000	30	0.256275885390286	0.342143562387239	7.83774589079145e-05	19056116	4883623	3482306	0.117062217283031
31000	31	0.256089983420206	0.342099177845174	7.86023056528621e-05	18942334	4850942	3459134	0.117031847482344
33000	33	0.255138666586868	0.341546785215918	7.84645395183686e-05	18947571	4834258	3443720	0.116654206491328
34000	34	0.254961205140717	0.341345825971174	7.85016287502077e-05	18907402	4820654	3432113	0.116516972907943
35000	35	0.254463477569855	0.341132839613279	7.8460672818594e-05	18903534	4810259	3423870	0.116371614262619
36000	36	0.253997011096399	0.340885636665208	7.84502333463693e-05	18881171	4795761	3412158	0.116203017284644
37000	37	0.253812469527189	0.340787972157252	7.84865968817768e-05	18852872	4785094	3404022	0.116136441967052
38000	38	0.253746268209507	0.34078110965274	7.84773304836934e-05	18856565	4784783	3403967	0.116131764696153
39000	39	0.253558818197872	0.34062561514747	7.85239640102505e-05	18816991	4771214	3393040	0.116025809694592
40000	40	0.25281514139786	0.340373750558559	7.85074029705557e-05	18797102	4752192	3379151	0.1158542900693
41000	41	0.252735643913269	0.340407886318062	7.86169555992292e-05	18748511	4738417	3370098	0.115877529067531
42000	42	0.252709148485263	0.340464931231538	7.86896046512367e-05	18720181	4730761	3365482	0.115916369398496
43000	43	0.251972980978471	0.340136655492142	7.86988074485059e-05	18679729	4706787	3347096	0.11569294440938
44000	44	0.251588868951848	0.339905375016061	7.87919623582062e-05	18610251	4682132	3328120	0.115535663964809
45000	45	0.251327797222922	0.339679292376431	7.87820325408032e-05	18590188	4672231	3319235	0.115382021669353
46000	46	0.251714499034067	0.339923141200623	7.90432755330148e-05	18494032	4655216	3308729	0.115547741923699
47000	47	0.251151433998611	0.33963994544935	7.90603658436674e-05	18455248	4635062	3293013	0.115355292544838
48000	48	0.250493394020329	0.339242052909445	7.89318190173399e-05	18472052	4627127	3284924	0.115085170462215
50000	50	0.249781694749966	0.338915296973449	7.89566531762335e-05	18424889	4602200	3265894	0.114863578522601
52000	52	0.248810579550683	0.338152207832859	7.88696934166793e-05	18382482	4573756	3239979	0.114346915662237
53000	53	0.248281844902923	0.33799671614127	7.89995664498612e-05	18305245	4544860	3219630	0.114241780122282
54000	54	0.247459026784656	0.33746489360591	7.89707283157262e-05	18261015	4518853	3197842	0.113882554416448
55000	55	0.246892615715708	0.337185680175967	7.88628317146772e-05	18280729	4513377	3192732	0.11369418291573
56000	56	0.246715296371892	0.337170794758724	7.88501763871222e-05	18284983	4511185	3191691	0.11368414483823
57000	57	0.245984241148631	0.33680157883791	7.88987075432838e-05	18222521	4482453	3169690	0.113435303507709
58000	58	0.245654015668161	0.336547832230065	7.89678960389514e-05	18163204	4461864	3153320	0.113264443378756
59000	59	0.245023094873523	0.336085756094989	7.89227068102816e-05	18134111	4443276	3137019	0.11295363544994
60000	60	0.244197299788719	0.335568751014794	7.88661787257662e-05	18104287	4421018	3118259	0.112606386657629
62000	62	0.24352300981613	0.335001506672395	7.90311681943499e-05	17967875	4375591	3082020	0.112226009472775
63000	63	0.243383719470563	0.33482005904737	7.89977496850508e-05	17963605	4372049	3077886	0.112104471940484
64000	64	0.242763605519671	0.334572111823342	7.88691220493837e-05	17995564	4368668	3074950	0.111938498009931
65000	65	0.241891341126512	0.333966663311604	7.86802135778711e-05	18016697	4358083	3063652	0.111533732203486
66000	66	0.241518932193947	0.333896974398663	7.86903419474976e-05	18004543	4348438	3057506	0.111487189512581
67000	67	0.24115277607521	0.333657316394468	7.86710282327349e-05	17987535	4337744	3048561	0.111327204783558
68000	68	0.240527076802628	0.333271234430908	7.86157119545013e-05	17971195	4322559	3035748	0.111069715699101
69000	69	0.239936710122344	0.33288425066818	7.86585222043511e-05	17909973	4297260	3015709	0.110811924342915
70000	70	0.239969876500476	0.332809146181273	7.87131053273092e-05	17877073	4289959	3009560	0.110761927781908
71000	71	0.238721674873268	0.332058376131471	7.8501662444252e-05	17892506	4271329	2992536	0.110262765159069
72000	72	0.23801210769103	0.331572470763042	7.84554358366867e-05	17861209	4251184	2975500	0.109940303367908
73000	73	0.23829381699053	0.331561002982408	7.85239379975752e-05	17828826	4248499	2972362	0.1099326986987
74000	74	0.238122914480674	0.331542866417363	7.8539301097754e-05	17819902	4243327	2969209	0.109920672272242
75000	75	0.237551934097825	0.331285831154342	7.86447445165045e-05	17744604	4215265	2948820	0.109750301923623
76000	76	0.237103112202748	0.33099224047826	7.85444082316797e-05	17758451	4210584	2943885	0.109555863256818
77000	77	0.236546851660112	0.330547740923271	7.84858924010176e-05	17737205	4195680	2930474	0.109261809029478
78000	78	0.236514960626101	0.330601465463504	7.85294606587599e-05	17723289	4191823	2928537	0.109297328966617
79000	79	0.236356878338859	0.330563643793721	7.85299748745252e-05	17719002	4188008	2926061	0.109272322598182
80000	80	0.235978853239545	0.330325994458897	7.8476396845258e-05	17717702	4181003	2919900	0.109115262615259
81000	81	0.236018699822143	0.330431605159725	7.84581488138608e-05	17737281	4186330	2924698	0.109185045688433
82000	82	0.235962776996599	0.330395842595895	7.85438657530722e-05	17694757	4175304	2916801	0.109161412804651
83000	83	0.235635322380187	0.330109917198397	7.85613198621017e-05	17656296	4160447	2904400	0.108972557432732
84000	84	0.235469941705668	0.330028425729437	7.87592361491846e-05	17558997	4134616	2886082	0.108918761789451
85000	85	0.234670551697311	0.329490216833978	7.87424032437796e-05	17509257	4108907	2865111	0.108563802989302
86000	86	0.234496179577452	0.32949265595013	7.88097332186745e-05	17479611	4098902	2858858	0.108565410325071
88000	88	0.233272300294051	0.328637067267048	7.8796141958557e-05	17394950	4057760	2825258	0.108002321981886
89000	89	0.232427181859239	0.328068784352336	7.8580145240739e-05	17430272	4051269	2817630	0.107629127266419
90000	90	0.232511280200898	0.328117144959698	7.87017764855083e-05	17381561	4041409	2810987	0.107660860816504
91000	91	0.232291133343814	0.327903354807373	7.87575853586091e-05	17334325	4026610	2799143	0.10752061009393
92000	92	0.232021754798383	0.327725053180367	7.86464618071002e-05	17364445	4028929	2799805	0.107403710482075
94000	94	0.231394220153696	0.327220022594889	7.86188615557971e-05	17323125	4008471	2782375	0.107072943187
95000	95	0.230793797946046	0.326794475094304	7.85204756600637e-05	17321423	3997677	2772474	0.106794628952162
96000	96	0.230280062199568	0.326349509017865	7.84581789158422e-05	17301728	3984243	2760195	0.106504002036202
97000	97	0.229883319652561	0.326159991693137	7.85456307654792e-05	17243178	3963919	2745574	0.106380340181267
98000	98	0.229660449386308	0.32605085033786	7.86973197916216e-05	17165276	3942185	2730190	0.106309157006042
99000	99	0.229521812280159	0.326001999700094	7.87286263743036e-05	17146488	3935493	2725564	0.10627730380846
100000	100	0.228643563358812	0.325354256760564	7.8587666057377e-05	17139739	3918891	2710363	0.105855392392219
101000	101	0.228255027771882	0.32513933299442	7.85471229381638e-05	17134777	3911099	2704141	0.105715585860056
102000	102	0.227703680843639	0.324827217160609	7.84419001621533e-05	17147808	3904619	2698408	0.105512721008306
103000	103	0.227717248424692	0.324803405645851	7.84112305987668e-05	17158709	3907334	2699964	0.105497252319143
105000	105	0.226551199662321	0.323894420555462	7.82818900398438e-05	17119234	3878383	2674590	0.104907595666958
106000	106	0.225721236190943	0.32341363062276	7.81341678746677e-05	17133049	3867293	2664985	0.104596376472595
107000	107	0.225317835988327	0.323123691116446	7.80816845996615e-05	17125342	3858645	2657460	0.104408919760716
108000	108	0.224913940101526	0.322866826549887	7.81411295836972e-05	17072121	3839758	2643264	0.104242987686395
109000	109	0.224613851034749	0.322704942484009	7.81385949041697e-05	17056112	3831039	2636702	0.104138479903608
110000	110	0.22426468621916	0.322294347502509	7.81346126212672e-05	17014471	3815745	2623092	0.103873646432068
111000	111	0.223627621866061	0.321879847807137	7.80628186331435e-05	17001965	3802109	2611773	0.103606636424346
112000	112	0.222984935682324	0.321347125082455	7.79228223791895e-05	17006678	3792233	2601788	0.103263974798759
113000	113	0.222798841532497	0.321227983521198	7.80272825492169e-05	16948598	3776128	2590199	0.103187417397095
114000	114	0.222796952328382	0.321223517182846	7.79741061078942e-05	16971251	3781143	2593598	0.103184547991318
115000	115	0.221954733927643	0.320770423775281	7.77656827984031e-05	17014244	3776392	2588846	0.102893664768974
117000	117	0.221890718809485	0.320730526885784	7.78930966979078e-05	16954409	3762026	2578826	0.102868070876433
118000	118	0.221434729049182	0.320503976762928	7.77499134953284e-05	16992881	3762814	2578774	0.102722799120851
119000	119	0.220585652550754	0.31977850483184	7.7514222204623e-05	17019067	3754162	2568455	0.102258292152487
121000	121	0.219863607295327	0.319178442202414	7.74675566567187e-05	16975688	3732336	2550001	0.10187487796676
122000	122	0.219494307483136	0.318939862186364	7.74807988829491e-05	16944526	3719227	2539991	0.101722635691457
123000	123	0.219322489428711	0.318821490612688	7.7559928725429e-05	16897419	3705984	2530380	0.101647142876497
124000	124	0.164676225819547	0.269317845363701	0.000208546753076821	1667721	274634	166189	0.0725321018313463
125000	125	0.219014785723493	0.318614047034504	7.74754479115263e-05	16912260	3704035	2528085	0.101514910967705
126000	126	0.218829186982121	0.318496581314522	7.75604310045791e-05	16862778	3690068	2518056	0.101440072309038
127000	127	0.218352447633499	0.318203723583025	7.75380680282065e-05	16841492	3677381	2508227	0.101253609702102
128000	128	0.218002617169927	0.317836221028684	7.75180575126264e-05	16811289	3664905	2497233	0.101019863397795
129000	129	0.217618471232254	0.317509473424481	7.73957604093149e-05	16829803	3662476	2493673	0.100812265714291
131000	131	0.216196734378721	0.316414471722494	7.71491747820822e-05	16820934	3636631	2470308	0.100118117915425
132000	132	0.215810822267358	0.316083936799452	7.7232658372911e-05	16749540	3614732	2453529	0.0999090551026398
133000	133	0.215662823672972	0.316041608727955	7.73679154440638e-05	16686557	3598670	2442791	0.0998822984473541
134000	134	0.215523053410206	0.316042916687943	7.74026549174747e-05	16671720	3593140	2439628	0.0998831251886219
