timestamp,level,trait,gene_file,MGmin,epsilon,stage,event,message
2026-06-01 22:50:55,INFO,,,,,run,run_start,Run started.
2026-06-01 22:50:55,INFO,,,,,run,run_config,"Run ID: candidate_genes_1000bp_V1 | window_bp=1000 | MGmin=2,3 | eps=0.05,0.2,0.4,0.5,0.6,0.8,0.85"
2026-06-01 22:50:55,INFO,,,,,discovery,targets_loaded,Targets: 108 genes from /mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/01_scripts/../00_config/gene_windows.tsv
2026-06-01 22:50:55,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,,,gene,gene_start,Processing gene 1/108
2026-06-01 22:50:55,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,,mgmin,mgmin_start,Starting MGmin analysis.
2026-06-01 22:50:55,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,,crosshap,crosshap_start,Running CrossHap.
2026-06-01 22:50:57,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,,cache,cache_written,Saved cache: /mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Cache/betaglucan/HORVU.MOREX.r3.1HG0077680/MGmin_2/HapObject.rds
2026-06-01 22:51:14,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,0.4,kw_validation,valid_kw_test_found,Valid KW test. p=0.3969 groups=2 sizes=70|162
2026-06-01 22:51:15,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,0.5,kw_validation,valid_kw_test_found,Valid KW test. p=0.3969 groups=2 sizes=70|162
2026-06-01 22:51:15,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,0.6,kw_validation,valid_kw_test_found,Valid KW test. p=0.3969 groups=2 sizes=70|162
2026-06-01 22:51:15,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,0.8,kw_validation,valid_kw_test_found,Valid KW test. p=0.3969 groups=2 sizes=70|162
2026-06-01 22:51:15,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,0.85,kw_validation,valid_kw_test_found,Valid KW test. p=0.3969 groups=2 sizes=70|162
2026-06-01 22:51:15,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,3,,mgmin,mgmin_start,Starting MGmin analysis.
2026-06-01 22:51:15,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,3,,crosshap,crosshap_start,Running CrossHap.
2026-06-01 22:51:16,ERROR,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,3,,crosshap,failure_encountered,CrossHap failed: object 'Varfile' not found
2026-06-01 22:51:16,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,0.4,collapse,duplicate_collapsed,Collapsed duplicates. Signature=0.396929823863477__2__70|162
2026-06-01 22:51:16,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,,,within_gene_correction,holm_correction_complete,Within-gene Holm done. before=5 unique=1
2026-06-01 22:51:16,INFO,betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,2,0.4,within_gene_summary,best_test_selected,Representative: MGmin=2 eps=0.4 raw_p=0.3969 holm_p=0.3969
2026-06-01 22:51:16,INFO,betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,,,gene,gene_start,Processing gene 2/108
2026-06-01 22:51:16,INFO,betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,2,,mgmin,mgmin_start,Starting MGmin analysis.
2026-06-01 22:51:16,INFO,betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,2,,crosshap,crosshap_start,Running CrossHap.
2026-06-01 22:51:18,INFO,betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,2,,cache,cache_written,Saved cache: /mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Cache/betaglucan/HORVU.MOREX.r3.1HG0077700/MGmin_2/HapObject.rds
2026-06-01 22:51:36,INFO,betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,2,0.2,kw_validation,valid_kw_test_found,Valid KW test. p=0.8470 groups=2 sizes=30|221
2026-06-01 22:51:37,INFO,betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,2,0.4,kw_validation,valid_kw_test_found,Valid KW test. p=0.5532 groups=2 sizes=26|192
2026-06-01 22:51:37,INFO,betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,2,0.5,kw_validation,valid_kw_test_found,Valid KW test. p=0.2344 groups=3 sizes=11|26|173
2026-06-01 22:51:37,INFO,betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,2,0.6,kw_validation,valid_kw_test_found,Valid KW test. p=0.2682 groups=3 sizes=11|25|170
