trait,gene_file,gene_name,MGmin,epsilon,stage,status,message
betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,HORVU.MOREX.r3.1HG0077680,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,HORVU.MOREX.r3.1HG0077680,2,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077680.vcf.gz,HORVU.MOREX.r3.1HG0077680,3,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,HORVU.MOREX.r3.1HG0077700,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,HORVU.MOREX.r3.1HG0077700,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,HORVU.MOREX.r3.1HG0077700,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077700.vcf.gz,HORVU.MOREX.r3.1HG0077700,3,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077710.vcf.gz,HORVU.MOREX.r3.1HG0077710,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077710.vcf.gz,HORVU.MOREX.r3.1HG0077710,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077710.vcf.gz,HORVU.MOREX.r3.1HG0077710,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077710.vcf.gz,HORVU.MOREX.r3.1HG0077710,3,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077720.vcf.gz,HORVU.MOREX.r3.1HG0077720,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077730.vcf.gz,HORVU.MOREX.r3.1HG0077730,,,gene_stats,no_valid_tests_for_gene,Zero valid omnibus tests across MGmin/epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077730.vcf.gz,HORVU.MOREX.r3.1HG0077730,2,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.1HG0077730.vcf.gz,HORVU.MOREX.r3.1HG0077730,3,,crosshap,crosshap_failed,Too few common variants after raw/imputed intersection: 2
betaglucan,HORVU.MOREX.r3.1HG0077770.vcf.gz,HORVU.MOREX.r3.1HG0077770,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077770.vcf.gz,HORVU.MOREX.r3.1HG0077770,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077770.vcf.gz,HORVU.MOREX.r3.1HG0077770,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077790.vcf.gz,HORVU.MOREX.r3.1HG0077790,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077790.vcf.gz,HORVU.MOREX.r3.1HG0077790,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077830.vcf.gz,HORVU.MOREX.r3.1HG0077830,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077830.vcf.gz,HORVU.MOREX.r3.1HG0077830,3,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.1HG0077840.vcf.gz,HORVU.MOREX.r3.1HG0077840,,,gene_stats,no_valid_tests_for_gene,Zero valid omnibus tests across MGmin/epsilon.
betaglucan,HORVU.MOREX.r3.1HG0077840.vcf.gz,HORVU.MOREX.r3.1HG0077840,2,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.1HG0077840.vcf.gz,HORVU.MOREX.r3.1HG0077840,3,,crosshap,crosshap_failed,object 'Varfile' not found
betaglucan,HORVU.MOREX.r3.1HG0079180.vcf.gz,HORVU.MOREX.r3.1HG0079180,2,,crosshap,crosshap_failed,"Assigned data `base::sapply(...)` must be compatible with existing data.
✖ Existing data has 1 row.
✖ Assigned data has 13 rows.
ℹ Row updates require a list value. Do you need `list()` or `as.list()`?
Caused by error in `vectbl_recycle_rhs_rows()`:
! Can't recycle input of size 13 to size 1."
betaglucan,HORVU.MOREX.r3.1HG0079180.vcf.gz,HORVU.MOREX.r3.1HG0079180,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon.
betaglucan,HORVU.MOREX.r3.1HG0079200.vcf.gz,HORVU.MOREX.r3.1HG0079200,,,gene_stats,no_valid_tests_for_gene,Zero valid omnibus tests across MGmin/epsilon.
