serial_no,gene_symbol,trait,gene_id,hap,n,mean,sd,median,q25,q75,min,max,is_reference,wilcox_vs_ref_p_raw,wilcox_vs_ref_p_holm,signif_stars,representative_accession,n_snps,n_alt_in_rep,n_ref_in_rep,n_missing_in_rep
1,Pho,starch,HORVU.MOREX.r3.3HG0301750,A,93,2.33277505939084,4.16294373315799,2.77137491983661,-0.660390437903653,5.29047358578099,-8.84325828333526,12.9410190421469,TRUE,,,,HS0107,7,2,5,0
1,Pho,starch,HORVU.MOREX.r3.3HG0301750,B,89,-0.41535025386581,5.9941724120627,0.803803854039591,-3.43646270254387,3.92126575385301,-15.8440732339724,10.3674687465159,FALSE,0.00394868432291672,0.00394868432291672,**,HS0118,7,0,7,0
1,Pho,starch,HORVU.MOREX.r3.3HG0301750,C,14,-9.61582710673032,1.41682948185029,-9.41406731042227,-10.4939018997082,-8.33981252229719,-12.2795683078603,-7.94837957077581,FALSE,3.88160683784069e-09,7.76321367568138e-09,****,HS1203,7,2,5,0
2,PHT,starch,HORVU.MOREX.r3.3HG0301710,A,128,1.61922859152945,4.18187815383673,2.08498872398475,-1.46826951731984,4.90971035228441,-8.84325828333526,12.9410190421469,TRUE,,,,HS0106,16,8,8,0
2,PHT,starch,HORVU.MOREX.r3.3HG0301710,B,31,2.61056983684886,3.27551655621709,3.31393594414799,0.499899915800105,5.06976731371747,-3.96134882656852,8.98157115984383,FALSE,0.20738345598859,0.20738345598859,ns,HS0916,16,3,13,0
2,PHT,starch,HORVU.MOREX.r3.3HG0301710,C,25,-3.06120947986455,6.2205265508427,-2.0016528926232,-9.08640035946517,1.46919878061351,-10.9394313115337,8.29190092356662,FALSE,0.000644167098168704,0.00128833419633741,**,HS1215,16,1,15,0
2,PHT,starch,HORVU.MOREX.r3.3HG0301710,D,21,-8.47967658673297,5.31931028448293,-9.5774216287138,-11.5732160955919,-7.81788170609716,-15.3977998485373,3.3642998561196,FALSE,2.13283079956574e-09,6.39849239869722e-09,****,HS1303,16,4,12,0
3,PME,betaglucan,HORVU.MOREX.r3.3HG0299440,A,216,-0.0282833550230815,0.428919625357332,-0.0682419687645807,-0.331672812225281,0.250820539742404,-0.980146741565793,1.73084420680589,TRUE,,,,HS0106,16,4,12,0
3,PME,betaglucan,HORVU.MOREX.r3.3HG0299440,B,26,0.186996787491753,0.365603239108964,0.177680528082993,0.033936924245946,0.422403678362925,-0.560220811790979,0.94696642516487,FALSE,0.00785068192457291,0.00785068192457291,**,HS0703,16,7,9,0
4,BAHD,fiber,HORVU.MOREX.r3.7HG0642350,A,56,0.0622449776461223,0.348005314657492,-0.0410530306556654,-0.19609682509817,0.409268849169678,-0.602351393285655,0.727988832169102,TRUE,,,,HS0103,14,7,7,0
4,BAHD,fiber,HORVU.MOREX.r3.7HG0642350,B,43,-0.120504746273366,0.283623646846298,-0.147903021035018,-0.304995775943525,0.00163337385250441,-0.550240576707873,1.14681479634895,FALSE,0.0100786473526163,0.0403145894104651,*,HS0106,14,5,9,0
4,BAHD,fiber,HORVU.MOREX.r3.7HG0642350,C,34,0.0581560454687292,0.251977487686455,0.0874366586134753,-0.0992924312869342,0.235263529748485,-0.406055777053785,0.636870113786786,FALSE,0.818978035962475,0.818978035962475,ns,HS0514,14,8,6,0
4,BAHD,fiber,HORVU.MOREX.r3.7HG0642350,D,28,-0.101504363317345,0.216053999646237,-0.0611957708472144,-0.279883542861814,0.0337760494934943,-0.493337474850003,0.32624630400004,FALSE,0.0800026226747577,0.240007868024273,ns,HS0305,14,1,13,0
4,BAHD,fiber,HORVU.MOREX.r3.7HG0642350,E,25,-0.115173968189699,0.188866585044348,-0.0903854253003716,-0.161396659096462,-0.0506705897811154,-0.471109158522249,0.382267693159624,FALSE,0.118959502513599,0.240007868024273,ns,HS0505,14,6,8,0
