PC	eigenval	pct_variance	cum_pct
1	35.146400	6.0476	6.0476
2	25.084300	4.3162	10.3638
3	23.162800	3.9856	14.3493
4	18.886900	3.2498	17.5992
5	18.384700	3.1634	20.7626
6	17.541800	3.0184	23.7810
7	15.884400	2.7332	26.5142
8	14.509400	2.4966	29.0108
9	12.862300	2.2132	31.2240
10	12.259300	2.1094	33.3334
11	10.014800	1.7232	35.0566
12	9.608260	1.6533	36.7099
13	9.181610	1.5799	38.2898
14	7.815080	1.3447	39.6345
15	7.364240	1.2671	40.9016
16	7.209310	1.2405	42.1421
17	6.631420	1.1411	43.2832
18	6.344870	1.0917	44.3749
19	6.257830	1.0768	45.4517
20	5.837460	1.0044	46.4561
