
Reading TFAM file /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_gwas_genotypes.tfam ....


Reading kinship file /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/morexV3_kinship.aIBS.kinf...

  290 rows and 290 columns were observed with 0 missing values.


Reading the phenotype file /mnt/data/shahar/gwas_barley/data/inputs/betaglucan_corrected_V3.pheno...

  290 rows and 1 columns were observed with 0 missing values


Reading covariate file /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_GWAS_V2_pipeline/intermediates/covariates/pca_pc5.cov...

  290 rows and 5 columns were observed with 0 missing values. Make sure that the intercept is included in the covariates

File reading - elapsed CPU time is 0.019723

eRvals[0] = 0.020490, eRvals[n-q-1] = 215.300288, eRvals[n-q] = 0.000000
eigen_R - elapsed CPU time is 0.100908
etas[0] = 0.176585, lambdas[0] = 0.020490
etas[1] = -0.222949, lambdas[1] = 0.022262
etas[2] = -0.047925, lambdas[2] = 0.022444
etas[3] = 0.141524, lambdas[3] = 0.022642
etas[4] = 0.130614, lambdas[4] = 0.022711
etas[5] = 0.133185, lambdas[5] = 0.023019
etas[6] = 0.105543, lambdas[6] = 0.023331
etas[7] = 0.007404, lambdas[7] = 0.023393
etas[8] = -0.283164, lambdas[8] = 0.023531
etas[9] = 0.214803, lambdas[9] = 0.023896
etas[10] = 0.245685, lambdas[10] = 0.024604
etas[11] = 0.111349, lambdas[11] = 0.026184
etas[12] = 0.256600, lambdas[12] = 0.026307
etas[13] = -0.016366, lambdas[13] = 0.026628
etas[14] = -0.214063, lambdas[14] = 0.028170
etas[15] = 0.306812, lambdas[15] = 0.028318
etas[16] = -0.031850, lambdas[16] = 0.028396
etas[17] = 0.057376, lambdas[17] = 0.028719
etas[18] = -0.042346, lambdas[18] = 0.029029
etas[19] = -0.098629, lambdas[19] = 0.029293
etas[20] = -0.343464, lambdas[20] = 0.029622
etas[21] = 0.110323, lambdas[21] = 0.029702
etas[22] = 0.102191, lambdas[22] = 0.029925
etas[23] = 0.122408, lambdas[23] = 0.029981
