trait	pheno_type	n_PCs	lambda_GC	n_valid_pvals
betaglucan	BLUE	3	0.973456681655965	7110996
fiber	BLUE	3	0.968560333905935	7110996
protein	BLUE	3	0.977826269788794	7110996
starch	BLUE	3	0.984725461221676	7110996
betaglucan	BLUE	5	0.977061699666833	7110996
fiber	BLUE	5	0.971234456072604	7110996
protein	BLUE	5	0.973244042723424	7110996
starch	BLUE	5	0.986877684232762	7110996
betaglucan	BLUE	10	0.976313757823914	7110996
fiber	BLUE	10	0.97448789143213	7110996
protein	BLUE	10	0.982021236476727	7110996
starch	BLUE	10	0.981139335625367	7110996
betaglucan	BLUP	3	0.973455801100543	7110996
fiber	BLUP	3	0.969582669043607	7110996
protein	BLUP	3	0.977490428445847	7110996
starch	BLUP	3	0.984639245027141	7110996
betaglucan	BLUP	5	0.977415615133823	7110996
fiber	BLUP	5	0.972522279556672	7110996
protein	BLUP	5	0.972377462498203	7110996
starch	BLUP	5	0.986991425982257	7110996
betaglucan	BLUP	10	0.976623302442786	7110996
fiber	BLUP	10	0.97546326156831	7110996
protein	BLUP	10	0.981322018272858	7110996
starch	BLUP	10	0.981406252473793	7110996
