[2026-03-22 09:47:39] [INFO] [stage=run] Run started.
[2026-03-22 09:47:39] [INFO] [stage=run] Run ID: All_Genes_All_Traits_V2
[2026-03-22 09:47:39] [INFO] [stage=run] Event log path: /mnt/data/shahar/gwas_barley/morexV3_analysis/USED_Haplotype_Analysis/Haplotype_Analysis_All_Genes/Runs/All_Genes_All_Traits_V2/Logs/event_log_All_Genes_All_Traits_V2_20260322_094739.csv
[2026-03-22 09:47:39] [INFO] [stage=run] Traits: betaglucan, fiber, starch
[2026-03-22 09:47:39] [INFO] [stage=run] MGmin values: 2, 3
[2026-03-22 09:47:39] [INFO] [stage=run] Epsilon vector: 0.05, 0.2, 0.4, 0.5, 0.6, 0.8, 0.85
[2026-03-22 09:47:39] [INFO] [stage=discovery] Auto-generated targets file: targets.yaml
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0011900.vcf.gz] Discovered target 1/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0011910.vcf.gz] Discovered target 2/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0011960.vcf.gz] Discovered target 3/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0011970.vcf.gz] Discovered target 4/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0012020.vcf.gz] Discovered target 5/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0012030.vcf.gz] Discovered target 6/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0012040.vcf.gz] Discovered target 7/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0012100.vcf.gz] Discovered target 8/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0012110.vcf.gz] Discovered target 9/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0077680.vcf.gz] Discovered target 10/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0077700.vcf.gz] Discovered target 11/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0077710.vcf.gz] Discovered target 12/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0077720.vcf.gz] Discovered target 13/158
[2026-03-22 09:47:39] [INFO] [stage=discovery] [trait=betaglucan] [gene=HORVU.MOREX.r3.1HG0077730.vcf.gz] Discovered target 14/158
