trait,gene_file,gene_name,MGmin,epsilon,stage,status,message
betaglucan,HORVU.MOREX.r3.1HG0011900.vcf.gz,HORVU.MOREX.r3.1HG0011900,2,,crosshap,crosshap_failed,"CrossHap failed: Assigned data `base::sapply(...)` must be compatible with existing data.
✖ Existing data has 1 row.
✖ Assigned data has 9 rows.
ℹ Row updates require a list value. Do you need `list()` or `as.list()`?
Caused by error in `vectbl_recycle_rhs_rows()`:
! Can't recycle input of size 9 to size 1."
betaglucan,HORVU.MOREX.r3.1HG0011900.vcf.gz,HORVU.MOREX.r3.1HG0011900,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0011910.vcf.gz,HORVU.MOREX.r3.1HG0011910,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0011910.vcf.gz,HORVU.MOREX.r3.1HG0011910,2,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0011910.vcf.gz,HORVU.MOREX.r3.1HG0011910,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0011910.vcf.gz,HORVU.MOREX.r3.1HG0011910,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0011910.vcf.gz,HORVU.MOREX.r3.1HG0011910,3,0.4,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0011960.vcf.gz,HORVU.MOREX.r3.1HG0011960,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0011960.vcf.gz,HORVU.MOREX.r3.1HG0011960,3,0.2,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0011970.vcf.gz,HORVU.MOREX.r3.1HG0011970,2,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0011970.vcf.gz,HORVU.MOREX.r3.1HG0011970,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0012020.vcf.gz,HORVU.MOREX.r3.1HG0012020,3,0.05,epsilon_validation,no_valid_haplotype_grouping,No HapObject entry for this epsilon; excluded from stats.
betaglucan,HORVU.MOREX.r3.1HG0012030.vcf.gz,HORVU.MOREX.r3.1HG0012030,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
betaglucan,HORVU.MOREX.r3.1HG0012030.vcf.gz,HORVU.MOREX.r3.1HG0012030,2,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
betaglucan,HORVU.MOREX.r3.1HG0012030.vcf.gz,HORVU.MOREX.r3.1HG0012030,3,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
betaglucan,HORVU.MOREX.r3.1HG0012040.vcf.gz,HORVU.MOREX.r3.1HG0012040,,,gene_stats,no_valid_tests_for_gene,Gene produced zero valid omnibus tests across all MGmin and epsilon values.
betaglucan,HORVU.MOREX.r3.1HG0012040.vcf.gz,HORVU.MOREX.r3.1HG0012040,2,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
betaglucan,HORVU.MOREX.r3.1HG0012040.vcf.gz,HORVU.MOREX.r3.1HG0012040,3,,crosshap,crosshap_failed,"CrossHap failed: ℹ In argument: `POS = as.numeric(.data$POS)`.
Caused by error in `.data$POS`:
! Column `POS` not found in `.data`."
