timestamp,level,trait,gene_file,stage,event,message
2026-03-25 10:26:35,INFO,,,run,run_start,Run started.
2026-03-25 10:26:35,INFO,,,run,run_config,Run ID: 8_Genes_Analysis_Upgraded_Heatmaps_V2
2026-03-25 10:26:35,INFO,,,run,run_config,Targets: 8
2026-03-25 10:26:35,INFO,betaglucan,HORVU.MOREX.r3.2HG0112910.vcf.gz,gene,gene_start,Processing target 1/8
2026-03-25 10:26:36,INFO,betaglucan,HORVU.MOREX.r3.2HG0112910.vcf.gz,cache,cache_write,Created and cached HapObject.
2026-03-25 10:26:40,INFO,betaglucan,HORVU.MOREX.r3.2HG0112910.vcf.gz,gene,gene_done,Target completed.
2026-03-25 10:26:40,INFO,betaglucan,HORVU.MOREX.r3.3HG0299450.vcf.gz,gene,gene_start,Processing target 2/8
2026-03-25 10:26:41,INFO,betaglucan,HORVU.MOREX.r3.3HG0299450.vcf.gz,cache,cache_write,Created and cached HapObject.
2026-03-25 10:26:45,INFO,betaglucan,HORVU.MOREX.r3.3HG0299450.vcf.gz,gene,gene_done,Target completed.
2026-03-25 10:26:45,INFO,betaglucan,HORVU.MOREX.r3.3HG0322580.vcf.gz,gene,gene_start,Processing target 3/8
2026-03-25 10:26:45,INFO,betaglucan,HORVU.MOREX.r3.3HG0322580.vcf.gz,cache,cache_write,Created and cached HapObject.
2026-03-25 10:26:48,INFO,betaglucan,HORVU.MOREX.r3.3HG0322580.vcf.gz,gene,gene_done,Target completed.
2026-03-25 10:26:48,INFO,fiber,HORVU.MOREX.r3.7HG0729010.vcf.gz,gene,gene_start,Processing target 4/8
2026-03-25 10:26:49,INFO,fiber,HORVU.MOREX.r3.7HG0729010.vcf.gz,cache,cache_write,Created and cached HapObject.
2026-03-25 10:26:53,INFO,fiber,HORVU.MOREX.r3.7HG0729010.vcf.gz,gene,gene_done,Target completed.
2026-03-25 10:26:53,INFO,fiber,HORVU.MOREX.r3.7HG0642350.vcf.gz,gene,gene_start,Processing target 5/8
2026-03-25 10:26:53,INFO,fiber,HORVU.MOREX.r3.7HG0642350.vcf.gz,cache,cache_write,Created and cached HapObject.
2026-03-25 10:26:56,INFO,fiber,HORVU.MOREX.r3.7HG0642350.vcf.gz,gene,gene_done,Target completed.
2026-03-25 10:26:56,INFO,starch,HORVU.MOREX.r3.3HG0301750.vcf.gz,gene,gene_start,Processing target 6/8
2026-03-25 10:26:57,INFO,starch,HORVU.MOREX.r3.3HG0301750.vcf.gz,cache,cache_write,Created and cached HapObject.
2026-03-25 10:27:00,INFO,starch,HORVU.MOREX.r3.3HG0301750.vcf.gz,gene,gene_done,Target completed.
2026-03-25 10:27:00,INFO,starch,HORVU.MOREX.r3.3HG0301770.vcf.gz,gene,gene_start,Processing target 7/8
2026-03-25 10:27:01,INFO,starch,HORVU.MOREX.r3.3HG0301770.vcf.gz,cache,cache_write,Created and cached HapObject.
2026-03-25 10:27:04,INFO,starch,HORVU.MOREX.r3.3HG0301770.vcf.gz,gene,gene_done,Target completed.
2026-03-25 10:27:04,INFO,starch,HORVU.MOREX.r3.3HG0301710.vcf.gz,gene,gene_start,Processing target 8/8
2026-03-25 10:27:05,INFO,starch,HORVU.MOREX.r3.3HG0301710.vcf.gz,cache,cache_write,Created and cached HapObject.
2026-03-25 10:27:08,INFO,starch,HORVU.MOREX.r3.3HG0301710.vcf.gz,gene,gene_done,Target completed.
2026-03-25 10:27:08,INFO,,,run,run_done,Run finished.
