Bin	Sum_R2	SumSq_R2	N_Pairs
0	1.63195e+06	1.15607e+06	6453273
1000	1.04214e+06	726665	4204609
2000	887029	612750	3656452
3000	774860	531468	3266294
4000	699687	477218	2994406
5000	628757	427169	2718442
6000	577267	389818	2542256
7000	537941	362775	2381755
8000	506833	340673	2265998
9000	492250	331484	2188412
9845
10000	482518	323869	2169817
11000	472173	316228	2139353
12000	462632	309938	2097674
13000	456989	305694	2078277
14000	451367	301397	2067445
15000	446585	297864	2046134
16000	442814	295527	2026945
17000	436680	291453	2006506
18000	435500	290989	2003699
19000	440658	293969	2036300
20000	432635	288440	1998382
21000	432461	288716	1991875
22000	427803	285429	1976889
23000	422332	281163	1953816
25000	407839	270239	1913883
26000	403070	266775	1893632
27000	399443	263471	1890344
28000	397844	263157	1880684
29000	396178	261823	1877620
30000	394455	260050	1881103
31000	390989	257999	1862306
33000	386984	254715	1852981
34000	387267	254626	1858528
35000	388578	255944	1851577
36000	388447	256247	1852263
37000	390872	258115	1855012
38000	387592	255434	1853301
39000	390814	257669	1861307
40000	389108	256527	1859547
41000	386638	254798	1858312
42000	379703	249726	1842101
43000	373997	245534	1828566
44000	370167	241861	1821694
45000	366038	238737	1802816
46000	363062	237072	1786721
47000	357465	232880	1774953
48000	359006	233191	1800345
50000	352893	229057	1770222
52000	349778	226407	1768035
53000	346767	224737	1759714
54000	347440	225129	1764024
55000	346048	224194	1753475
56000	346354	224037	1755509
57000	345683	223812	1765794
58000	346556	225113	1756353
59000	344778	223533	1752538
60000	344212	223383	1752524
62000	341128	220853	1744957
63000	338344	218594	1738454
64000	336556	217601	1732678
65000	332929	213585	1735411
66000	328294	209947	1728584
67000	328583	209667	1736458
68000	328916	210156	1747562
69000	327168	208642	1746917
70000	328089	208612	1754270
71000	326750	207810	1754209
72000	326034	207341	1749533
73000	327193	208029	1747919
74000	327817	208392	1753533
75000	322686	205015	1737576
76000	321201	203424	1737978
77000	323217	204901	1733750
78000	320617	203851	1717889
79000	320847	203873	1720901
80000	321816	203607	1740178
81000	325128	206427	1742880
82000	323715	204730	1746932
83000	321394	204014	1724101
84000	320155	203410	1722603
85000	319681	202594	1736130
86000	321072	203516	1743482
88000	312166	196821	1727008
89000	311853	195915	1742535
90000	309731	194551	1730645
91000	307467	192975	1720379
92000	308532	193409	1732391
94000	309465	194133	1733175
95000	304692	189987	1721688
96000	299720	186503	1701706
97000	299693	185976	1706797
98000	295461	182969	1689384
99000	293337	181979	1676058
100000	292359	181141	1668214
101000	293715	181925	1675721
102000	293872	181505	1683986
103000	294766	181869	1701752
105000	289767	177881	1693023
106000	289850	177929	1695469
107000	284069	173533	1685605
108000	280379	171060	1672152
109000	278653	169960	1655822
110000	274716	166375	1647047
111000	276685	167615	1666193
112000	278686	169148	1669558
113000	279611	169843	1674070
114000	279808	170245	1676228
115000	279791	170260	1684172
117000	274542	166070	1670918
118000	273011	164959	1674715
119000	272517	164354	1672655
121000	273772	165397	1665726
122000	274410	165781	1666166
123000	272891	165081	1659546
124000	274634	166189	1667721
125000	276837	167963	1682466
126000	274295	166372	1673443
127000	275075	167010	1670684
128000	270492	163805	1655372
129000	269422	163335	1648959
131000	265805	159218	1655490
132000	264738	158570	1654912
133000	262967	157735	1646737
134000	263814	158604	1645947
135000	264576	159387	1644097
