Chromosome	Bin	Distance_kb	Avg_R2	SD_R2	SE_R2	N_Pairs	Sum_R2	SumSq_R2	Var_R2
1H	0	0	0.252887178335707	0.339400690042303	0.000133604997112614	6453273	1631950	1156070	0.115192828401192
1H	1000	1	0.247856578340578	0.333755804444448	0.000162766872807182	4204609	1042140	726665	0.111392937000361
1H	2000	2	0.242592819487306	0.329741124306959	0.000172442049592272	3656452	887029	612750	0.108729209059218
1H	3000	3	0.237229104299858	0.326244080919112	0.000180515710228365	3266294	774860	531468	0.106435200334756
1H	4000	4	0.233664706789928	0.323682936054063	0.0001870529072968	2994406	699687	477218	0.104770643092579
1H	5000	5	0.231293145117681	0.321933090703552	0.000195256537342257	2718442	628757	427169	0.103640914889941
1H	6000	6	0.227068792442618	0.319022297299612	0.000200083556126174	2542256	577267	389818	0.101775226174322
1H	7000	7	0.225859082903153	0.318279483423815	0.000206233922370646	2381755	537941	362775	0.10130182956853
1H	8000	8	0.223668776406687	0.316723129717203	0.000210402075299526	2265998	506833	340673	0.10031354089786
1H	9000	9	0.224934792900057	0.317610973985623	0.000214699461837391	2188412	492250	331484	0.100876730796096
1H	10000	10	0.222377278821209	0.315926131250786	0.000214473676014998	2169817	482518	323869	0.0998093204070886
1H	11000	11	0.220708316953771	0.314805689405381	0.000215229277312048	2139353	472173	316228	0.0991026220819973
1H	12000	12	0.22054523248131	0.314822137839187	0.000217368328644381	2097674	462632	309938	0.0991129784736363
1H	13000	13	0.21988839793733	0.314227952355993	0.000217968180890825	2078277	456989	305694	0.0987392060418403
1H	14000	14	0.218321164529165	0.313238285762388	0.000217850146397517	2067445	451367	301397	0.0981182236673596
1H	15000	15	0.218257944005622	0.312949697900724	0.00021877994089342	2046134	446585	297864	0.0979375134161542
1H	16000	16	0.218463747166302	0.313165788652743	0.000219964871766556	2026945	442814	295527	0.0980728111824944
1H	17000	17	0.217632042964237	0.312874228164815	0.000220876524417313	2006506	436680	291453	0.0978902826497289
1H	18000	18	0.217348014846541	0.31302674826849	0.000221138932633001	2003699	435500	290989	0.0979857451315448
1H	19000	19	0.216401316112557	0.312305553191858	0.0002188561857297	2036300	440658	293969	0.0975347585544727
1H	20000	20	0.216492642547821	0.312198180917721	0.000220846801407011	1998382	432635	288440	0.0974677041683339
1H	21000	21	0.217112519610919	0.312744305131788	0.000221594190212191	1991875	432461	288716	0.0978090003923651
1H	22000	22	0.216402134869484	0.312334808849341	0.000222141267428377	1976889	427803	285429	0.0975530328189544
1H	23000	23	0.216157509202504	0.311737830458602	0.000223021985412072	1953816	422332	281163	0.0971804749390362
1H	25000	25	0.213095053354881	0.309499320915678	0.000223718556276297	1913883	407839	270239	0.0957898296472661
1H	26000	26	0.212855507300257	0.309148181961474	0.000224656456680807	1893632	403070	266775	0.0955725984100847
1H	27000	27	0.211307042527709	0.3077768853268	0.000223854370926121	1890344	399443	263471	0.0947266111414664
1H	28000	28	0.211542183588524	0.308506276914958	0.000224960407369296	1880684	397844	263157	0.095176122895929
