HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	Gene3D	G3DSA:3.90.180.10	-	12	325	1.6E-108	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	SMART	SM00829	PKS_ER_names_mod	10	325	4.1E-50	T	02-06-2026	IPR020843	Enoylreductase domain	GO:0016491(InterPro)	Reactome:R-BTA-5652227|Reactome:R-BTA-5661270|Reactome:R-BTA-71384|Reactome:R-CEL-77346|Reactome:R-DDI-199220|Reactome:R-DDI-75105|Reactome:R-DDI-77346|Reactome:R-DME-77346|Reactome:R-DRE-6798695|Reactome:R-DRE-77346|Reactome:R-GGA-5652227|Reactome:R-GGA-5661270|Reactome:R-HSA-163765|Reactome:R-HSA-199220|Reactome:R-HSA-2142691|Reactome:R-HSA-2142700|Reactome:R-HSA-2161541|Reactome:R-HSA-2426168|Reactome:R-HSA-5365859|Reactome:R-HSA-5652227|Reactome:R-HSA-5661270|Reactome:R-HSA-6798695|Reactome:R-HSA-6803205|Reactome:R-HSA-71384|Reactome:R-HSA-75105|Reactome:R-HSA-77346|Reactome:R-HSA-9029558|Reactome:R-MMU-199220|Reactome:R-MMU-2161541|Reactome:R-MMU-5365859|Reactome:R-MMU-5652227|Reactome:R-MMU-5661270|Reactome:R-MMU-6798695|Reactome:R-MMU-71384|Reactome:R-MMU-75105|Reactome:R-MMU-77346|Reactome:R-MTU-9635470|Reactome:R-RNO-199220|Reactome:R-RNO-2161541|Reactome:R-RNO-5365859|Reactome:R-RNO-5652227|Reactome:R-RNO-5661270|Reactome:R-RNO-6798695|Reactome:R-RNO-71384|Reactome:R-RNO-75105|Reactome:R-RNO-77346|Reactome:R-SCE-5652227|Reactome:R-SCE-5661270|Reactome:R-SPO-2161541|Reactome:R-SPO-5365859|Reactome:R-SPO-5652227|Reactome:R-SPO-5661270|Reactome:R-SPO-71384|Reactome:R-SPO-77346|Reactome:R-XTR-77346
HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	Pfam	PF08240	Alcohol dehydrogenase GroES-like domain	27	112	4.7E-11	T	02-06-2026	IPR013154	Alcohol dehydrogenase-like, N-terminal	-	Reactome:R-BTA-5652227|Reactome:R-BTA-5661270|Reactome:R-BTA-71384|Reactome:R-CEL-2161541|Reactome:R-CEL-5365859|Reactome:R-CEL-71384|Reactome:R-CEL-77346|Reactome:R-DDI-199220|Reactome:R-DDI-2161541|Reactome:R-DDI-5365859|Reactome:R-DDI-71384|Reactome:R-DDI-75105|Reactome:R-DDI-77346|Reactome:R-DME-2161541|Reactome:R-DME-5365859|Reactome:R-DME-71384|Reactome:R-DME-77346|Reactome:R-DRE-6798695|Reactome:R-DRE-77346|Reactome:R-GGA-5652227|Reactome:R-GGA-5661270|Reactome:R-HSA-2161541|Reactome:R-HSA-5365859|Reactome:R-HSA-5652227|Reactome:R-HSA-5661270|Reactome:R-HSA-6798695|Reactome:R-HSA-6803205|Reactome:R-HSA-71384|Reactome:R-HSA-77346|Reactome:R-MMU-2161541|Reactome:R-MMU-5365859|Reactome:R-MMU-5652227|Reactome:R-MMU-5661270|Reactome:R-MMU-6798695|Reactome:R-MMU-71384|Reactome:R-MMU-77346|Reactome:R-MTU-9635470|Reactome:R-RNO-2161541|Reactome:R-RNO-5365859|Reactome:R-RNO-5652227|Reactome:R-RNO-5661270|Reactome:R-RNO-6798695|Reactome:R-RNO-71384|Reactome:R-RNO-77346|Reactome:R-SCE-2161541|Reactome:R-SCE-5365859|Reactome:R-SCE-5652227|Reactome:R-SCE-5661270|Reactome:R-SCE-71384|Reactome:R-SPO-2161541|Reactome:R-SPO-5365859|Reactome:R-SPO-5652227|Reactome:R-SPO-5661270|Reactome:R-SPO-71384|Reactome:R-XTR-77346
HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	NCBIfam	TIGR02824	putative NAD(P)H quinone oxidoreductase, PIG3 family	1	325	0.0	T	02-06-2026	IPR014189	Quinone oxidoreductase PIG3	-	Reactome:R-HSA-6803205
HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	SUPERFAMILY	SSF50129	GroES-like	1	142	2.43E-35	T	02-06-2026	IPR011032	GroES-like superfamily	-	Reactome:R-BTA-5652227|Reactome:R-BTA-5661270|Reactome:R-BTA-71384|Reactome:R-BTA-9013408|Reactome:R-CEL-2161541|Reactome:R-CEL-5365859|Reactome:R-CEL-71384|Reactome:R-CEL-77346|Reactome:R-DDI-199220|Reactome:R-DDI-2161541|Reactome:R-DDI-5365859|Reactome:R-DDI-71384|Reactome:R-DDI-75105|Reactome:R-DDI-77346|Reactome:R-DME-2161541|Reactome:R-DME-5365859|Reactome:R-DME-71384|Reactome:R-DME-77346|Reactome:R-DRE-6798695|Reactome:R-DRE-77346|Reactome:R-GGA-5652227|Reactome:R-GGA-5661270|Reactome:R-HSA-163765|Reactome:R-HSA-199220|Reactome:R-HSA-2142691|Reactome:R-HSA-2142700|Reactome:R-HSA-2161541|Reactome:R-HSA-2162123|Reactome:R-HSA-2426168|Reactome:R-HSA-5365859|Reactome:R-HSA-5652227|Reactome:R-HSA-5661270|Reactome:R-HSA-6798695|Reactome:R-HSA-6803205|Reactome:R-HSA-71384|Reactome:R-HSA-75105|Reactome:R-HSA-77346|Reactome:R-HSA-9013408|Reactome:R-HSA-9029558|Reactome:R-HSA-9841251|Reactome:R-MMU-199220|Reactome:R-MMU-2161541|Reactome:R-MMU-5365859|Reactome:R-MMU-5652227|Reactome:R-MMU-5661270|Reactome:R-MMU-6798695|Reactome:R-MMU-71384|Reactome:R-MMU-75105|Reactome:R-MMU-77346|Reactome:R-MMU-9013408|Reactome:R-MTU-9635470|Reactome:R-RNO-199220|Reactome:R-RNO-2161541|Reactome:R-RNO-5365859|Reactome:R-RNO-5652227|Reactome:R-RNO-5661270|Reactome:R-RNO-6798695|Reactome:R-RNO-71384|Reactome:R-RNO-75105|Reactome:R-RNO-77346|Reactome:R-RNO-9013408|Reactome:R-SCE-2161541|Reactome:R-SCE-5365859|Reactome:R-SCE-5652227|Reactome:R-SCE-5661270|Reactome:R-SCE-71384|Reactome:R-SCE-77346|Reactome:R-SPO-2161541|Reactome:R-SPO-5365859|Reactome:R-SPO-5652227|Reactome:R-SPO-5661270|Reactome:R-SPO-71384|Reactome:R-SPO-77346|Reactome:R-XTR-77346
HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	CDD	cd05276	p53_inducible_oxidoreductase	1	325	0.0	T	02-06-2026	IPR014189	Quinone oxidoreductase PIG3	-	Reactome:R-HSA-6803205
HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	Gene3D	G3DSA:3.40.50.720	-	122	264	1.6E-108	T	02-06-2026	-	-	-	-
HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	114	288	5.87E-51	T	02-06-2026	IPR036291	NAD(P)-binding domain superfamily	-	Reactome:R-BTA-1296052|Reactome:R-BTA-156581|Reactome:R-BTA-1614635|Reactome:R-BTA-1660661|Reactome:R-BTA-173599|Reactome:R-BTA-1855183|Reactome:R-BTA-189483|Reactome:R-BTA-191273|Reactome:R-BTA-193048|Reactome:R-BTA-193144|Reactome:R-BTA-193993|Reactome:R-BTA-194002|Reactome:R-BTA-196757|Reactome:R-BTA-2162123|Reactome:R-BTA-2453902|Reactome:R-BTA-425381|Reactome:R-BTA-4641265|Reactome:R-BTA-5365859|Reactome:R-BTA-5652227|Reactome:R-BTA-5661270|Reactome:R-BTA-5689880|Reactome:R-BTA-611105|Reactome:R-BTA-6798695|Reactome:R-BTA-6799198|Reactome:R-BTA-6807062|Reactome:R-BTA-70171|Reactome:R-BTA-70263|Reactome:R-BTA-70268|Reactome:R-BTA-70635|Reactome:R-BTA-70895|Reactome:R-BTA-71064|Reactome:R-BTA-71384|Reactome:R-BTA-71403|Reactome:R-BTA-75105|Reactome:R-BTA-77108|Reactome:R-BTA-77111|Reactome:R-BTA-8964208|Reactome:R-BTA-8964539|Reactome:R-BTA-9640463|Reactome:R-BTA-9707564|Reactome:R-BTA-9764725|Reactome:R-BTA-9837999|Reactome:R-BTA-9856872|Reactome:R-BTA-9861718|Reactome:R-CEL-114608|Reactome:R-CEL-1300642|Reactome:R-CEL-1483166|Reactome:R-CEL-156581|Reactome:R-CEL-1614635|Reactome:R-CEL-173599|Reactome:R-CEL-191273|Reactome:R-CEL-193048|Reactome:R-CEL-2161541|Reactome:R-CEL-2187335|Reactome:R-CEL-3769402|Reactome:R-CEL-4641265|Reactome:R-CEL-5365859|Reactome:R-CEL-5628897|Reactome:R-CEL-5661270|Reactome:R-CEL-6787639|Reactome:R-CEL-6798695|Reactome:R-CEL-6807062|Reactome:R-CEL-70171|Reactome:R-CEL-70263|Reactome:R-CEL-70268|Reactome:R-CEL-70370|Reactome:R-CEL-70895|Reactome:R-CEL-71336|Reactome:R-CEL-71384|Reactome:R-CEL-71403|Reactome:R-CEL-75105|Reactome:R-CEL-75876|Reactome:R-CEL-77288|Reactome:R-CEL-77310|Reactome:R-CEL-77346|Reactome:R-CEL-77348|Reactome:R-CEL-77350|Reactome:R-CEL-77352|Reactome:R-CEL-8964539|Reactome:R-CEL-9033241|Reactome:R-CEL-9764725|Reactome:R-CEL-9837999|Reactome:R-CEL-9856872|Reactome:R-CFA-193048|Reactome:R-CFA-193993|Reactome:R-CFA-194002|Reactome:R-CFA-75105|Reactome:R-DDI-1474151|Reactome:R-DDI-156581|Reactome:R-DDI-1614635|Reactome:R-DDI-1855183|Reactome:R-DDI-199220|Reactome:R-DDI-203615|Reactome:R-DDI-2151201|Reactome:R-DDI-2161541|Reactome:R-DDI-5365859|Reactome:R-DDI-5628897|Reactome:R-DDI-6787639|Reactome:R-DDI-6798695|Reactome:R-DDI-6799198|Reactome:R-DDI-70171|Reactome:R-DDI-70263|Reactome:R-DDI-70370|Reactome:R-DDI-70635|Reactome:R-DDI-70895|Reactome:R-DDI-71064|Reactome:R-DDI-71336|Reactome:R-DDI-71384|Reactome:R-DDI-71403|Reactome:R-DDI-75105|Reactome:R-DDI-77346|Reactome:R-DDI-8964208|Reactome:R-DDI-8964539|Reactome:R-DDI-9837999|Reactome:R-DDI-9856872|Reactome:R-DME-1251985|Reactome:R-DME-1300642|Reactome:R-DME-1483166|Reactome:R-DME-156581|Reactome:R-DME-1614635|Reactome:R-DME-173599|Reactome:R-DME-1855183|Reactome:R-DME-193368|Reactome:R-DME-196757|Reactome:R-DME-2046106|Reactome:R-DME-2142700|Reactome:R-DME-2151201|Reactome:R-DME-2161541|Reactome:R-DME-3769402|Reactome:R-DME-389887|Reactome:R-DME-3899300|Reactome:R-DME-390247|Reactome:R-DME-425381|Reactome:R-DME-4641265|Reactome:R-DME-5365859|Reactome:R-DME-5578775|Reactome:R-DME-5628897|Reactome:R-DME-6787639|Reactome:R-DME-70171|Reactome:R-DME-70263|Reactome:R-DME-70268|Reactome:R-DME-70370|Reactome:R-DME-70895|Reactome:R-DME-71336|Reactome:R-DME-71384|Reactome:R-DME-71403|Reactome:R-DME-75896|Reactome:R-DME-77346|Reactome:R-DME-8866904|Reactome:R-DME-8866907|Reactome:R-DME-8964539|Reactome:R-DME-9018676|Reactome:R-DME-9018896|Reactome:R-DME-9033241|Reactome:R-DME-9640463|Reactome:R-DME-9764725|Reactome:R-DME-9837999|Reactome:R-DME-9861718|Reactome:R-DRE-1251985|Reactome:R-DRE-1483166|Reactome:R-DRE-156581|Reactome:R-DRE-173599|Reactome:R-DRE-193048|Reactome:R-DRE-194002|Reactome:R-DRE-1971475|Reactome:R-DRE-2453902|Reactome:R-DRE-390247|Reactome:R-DRE-446199|Reactome:R-DRE-5365859|Reactome:R-DRE-5689880|Reactome:R-DRE-6798695|Reactome:R-DRE-70171|Reactome:R-DRE-70263|Reactome:R-DRE-70268|Reactome:R-DRE-75105|Reactome:R-DRE-75876|Reactome:R-DRE-75896|Reactome:R-DRE-77111|Reactome:R-DRE-77346|Reactome:R-DRE-8866904|Reactome:R-DRE-8866907|Reactome:R-DRE-8964539|Reactome:R-DRE-9757110|Reactome:R-DRE-9861718|Reactome:R-GGA-1296052|Reactome:R-GGA-1300642|Reactome:R-GGA-173599|Reactome:R-GGA-352875|Reactome:R-GGA-352882|Reactome:R-GGA-373920|Reactome:R-GGA-5652227|Reactome:R-GGA-5661270|Reactome:R-GGA-70171|Reactome:R-GGA-70263|Reactome:R-GGA-70268|Reactome:R-GGA-9640463|Reactome:R-HSA-112043|Reactome:R-HSA-114608|Reactome:R-HSA-1251985|Reactome:R-HSA-1296052|Reactome:R-HSA-1474151|Reactome:R-HSA-1482798|Reactome:R-HSA-1483166|Reactome:R-HSA-1489509|Reactome:R-HSA-156581|Reactome:R-HSA-1614635|Reactome:R-HSA-163765|Reactome:R-HSA-1660661|Reactome:R-HSA-173599|Reactome:R-HSA-1855183|Reactome:R-HSA-189483|Reactome:R-HSA-191273|Reactome:R-HSA-193048|Reactome:R-HSA-193144|Reactome:R-HSA-193368|Reactome:R-HSA-193775|Reactome:R-HSA-193807|Reactome:R-HSA-193993|Reactome:R-HSA-194002|Reactome:R-HSA-196757|Reactome:R-HSA-1971475|Reactome:R-HSA-1989781|Reactome:R-HSA-199220|Reactome:R-HSA-2029485|Reactome:R-HSA-203615|Reactome:R-HSA-2046106|Reactome:R-HSA-211945|Reactome:R-HSA-2142691|Reactome:R-HSA-2142700|Reactome:R-HSA-2151201|Reactome:R-HSA-2161541|Reactome:R-HSA-2162123|Reactome:R-HSA-2187335|Reactome:R-HSA-2408508|Reactome:R-HSA-2426168|Reactome:R-HSA-2453902|Reactome:R-HSA-2871809|Reactome:R-HSA-3769402|Reactome:R-HSA-389599|Reactome:R-HSA-389661|Reactome:R-HSA-389887|Reactome:R-HSA-3899300|Reactome:R-HSA-390247|Reactome:R-HSA-390471|Reactome:R-HSA-418457|Reactome:R-HSA-422356|Reactome:R-HSA-425381|Reactome:R-HSA-446199|Reactome:R-HSA-4641265|Reactome:R-HSA-499943|Reactome:R-HSA-5218921|Reactome:R-HSA-5339700|Reactome:R-HSA-5365859|Reactome:R-HSA-5578775|Reactome:R-HSA-5578997|Reactome:R-HSA-5607763|Reactome:R-HSA-5609977|Reactome:R-HSA-5628897|Reactome:R-HSA-5652227|Reactome:R-HSA-5661270|Reactome:R-HSA-5662853|Reactome:R-HSA-5689880|Reactome:R-HSA-611105|Reactome:R-HSA-6785470|Reactome:R-HSA-6787450|Reactome:R-HSA-6787639|Reactome:R-HSA-6798695|Reactome:R-HSA-6799198|Reactome:R-HSA-6803204|Reactome:R-HSA-6803205|Reactome:R-HSA-6807062|Reactome:R-HSA-70171|Reactome:R-HSA-70263|Reactome:R-HSA-70268|Reactome:R-HSA-70370|Reactome:R-HSA-70635|Reactome:R-HSA-70895|Reactome:R-HSA-71064|Reactome:R-HSA-71336|Reactome:R-HSA-71384|Reactome:R-HSA-71403|Reactome:R-HSA-75105|Reactome:R-HSA-75876|Reactome:R-HSA-75896|Reactome:R-HSA-77108|Reactome:R-HSA-77111|Reactome:R-HSA-77285|Reactome:R-HSA-77288|Reactome:R-HSA-77305|Reactome:R-HSA-77310|Reactome:R-HSA-77346|Reactome:R-HSA-77348|Reactome:R-HSA-77350|Reactome:R-HSA-77352|Reactome:R-HSA-8866904|Reactome:R-HSA-8866907|Reactome:R-HSA-8868766|Reactome:R-HSA-8964208|Reactome:R-HSA-8964539|Reactome:R-HSA-8964572|Reactome:R-HSA-9013148|Reactome:R-HSA-9013405|Reactome:R-HSA-9013406|Reactome:R-HSA-9013409|Reactome:R-HSA-9018676|Reactome:R-HSA-9018896|Reactome:R-HSA-9029558|Reactome:R-HSA-9033241|Reactome:R-HSA-9033500|Reactome:R-HSA-9035034|Reactome:R-HSA-917977|Reactome:R-HSA-9640463|Reactome:R-HSA-9662360|Reactome:R-HSA-9664323|Reactome:R-HSA-9667769|Reactome:R-HSA-9707564|Reactome:R-HSA-975634|Reactome:R-HSA-9757110|Reactome:R-HSA-9764725|Reactome:R-HSA-977347|Reactome:R-HSA-9818025|Reactome:R-HSA-9818028|Reactome:R-HSA-983695|Reactome:R-HSA-9837999|Reactome:R-HSA-9856872|Reactome:R-HSA-9861718|Reactome:R-HSA-9918438|Reactome:R-HSA-9918440|Reactome:R-MMU-114608|Reactome:R-MMU-1251985|Reactome:R-MMU-1296052|Reactome:R-MMU-1474151|Reactome:R-MMU-1482798|Reactome:R-MMU-1483166|Reactome:R-MMU-156581|Reactome:R-MMU-1614635|Reactome:R-MMU-1660661|Reactome:R-MMU-173599|Reactome:R-MMU-1855183|Reactome:R-MMU-189483|Reactome:R-MMU-191273|Reactome:R-MMU-193048|Reactome:R-MMU-193144|Reactome:R-MMU-193368|Reactome:R-MMU-193775|Reactome:R-MMU-193807|Reactome:R-MMU-193993|Reactome:R-MMU-194002|Reactome:R-MMU-196757|Reactome:R-MMU-1971475|Reactome:R-MMU-199220|Reactome:R-MMU-203615|Reactome:R-MMU-2046106|Reactome:R-MMU-211945|Reactome:R-MMU-2142700|Reactome:R-MMU-2151201|Reactome:R-MMU-2161541|Reactome:R-MMU-2162123|Reactome:R-MMU-2187335|Reactome:R-MMU-2453902|Reactome:R-MMU-3769402|Reactome:R-MMU-389599|Reactome:R-MMU-389661|Reactome:R-MMU-389887|Reactome:R-MMU-3899300|Reactome:R-MMU-390247|Reactome:R-MMU-425381|Reactome:R-MMU-4641265|Reactome:R-MMU-499943|Reactome:R-MMU-5365859|Reactome:R-MMU-5578775|Reactome:R-MMU-5628897|Reactome:R-MMU-5652227|Reactome:R-MMU-5661270|Reactome:R-MMU-5689880|Reactome:R-MMU-611105|Reactome:R-MMU-6787639|Reactome:R-MMU-6798695|Reactome:R-MMU-6799198|Reactome:R-MMU-6803204|Reactome:R-MMU-6807062|Reactome:R-MMU-70171|Reactome:R-MMU-70263|Reactome:R-MMU-70268|Reactome:R-MMU-70370|Reactome:R-MMU-70635|Reactome:R-MMU-70895|Reactome:R-MMU-71064|Reactome:R-MMU-71336|Reactome:R-MMU-71384|Reactome:R-MMU-71403|Reactome:R-MMU-75105|Reactome:R-MMU-75876|Reactome:R-MMU-75896|Reactome:R-MMU-77108|Reactome:R-MMU-77111|Reactome:R-MMU-77285|Reactome:R-MMU-77288|Reactome:R-MMU-77305|Reactome:R-MMU-77310|Reactome:R-MMU-77346|Reactome:R-MMU-77348|Reactome:R-MMU-77350|Reactome:R-MMU-77352|Reactome:R-MMU-8866904|Reactome:R-MMU-8866907|Reactome:R-MMU-8964208|Reactome:R-MMU-8964539|Reactome:R-MMU-8964572|Reactome:R-MMU-9013405|Reactome:R-MMU-9013406|Reactome:R-MMU-9018676|Reactome:R-MMU-9018896|Reactome:R-MMU-9033241|Reactome:R-MMU-9035034|Reactome:R-MMU-917977|Reactome:R-MMU-9640463|Reactome:R-MMU-9707564|Reactome:R-MMU-975634|Reactome:R-MMU-9757110|Reactome:R-MMU-9764725|Reactome:R-MMU-977347|Reactome:R-MMU-9837999|Reactome:R-MMU-9856872|Reactome:R-MMU-9861718|Reactome:R-MTU-879299|Reactome:R-MTU-9635470|Reactome:R-PFA-1855183|Reactome:R-PFA-5628897|Reactome:R-PFA-71336|Reactome:R-RNO-114608|Reactome:R-RNO-1296052|Reactome:R-RNO-1300642|Reactome:R-RNO-1474151|Reactome:R-RNO-1482798|Reactome:R-RNO-1483166|Reactome:R-RNO-156581|Reactome:R-RNO-1614635|Reactome:R-RNO-173599|Reactome:R-RNO-1855183|Reactome:R-RNO-189483|Reactome:R-RNO-191273|Reactome:R-RNO-193048|Reactome:R-RNO-193144|Reactome:R-RNO-193368|Reactome:R-RNO-193775|Reactome:R-RNO-193807|Reactome:R-RNO-193993|Reactome:R-RNO-194002|Reactome:R-RNO-196757|Reactome:R-RNO-1971475|Reactome:R-RNO-199220|Reactome:R-RNO-203615|Reactome:R-RNO-2046106|Reactome:R-RNO-211945|Reactome:R-RNO-2142700|Reactome:R-RNO-2151201|Reactome:R-RNO-2161541|Reactome:R-RNO-2162123|Reactome:R-RNO-2453902|Reactome:R-RNO-3769402|Reactome:R-RNO-389599|Reactome:R-RNO-389887|Reactome:R-RNO-3899300|Reactome:R-RNO-390247|Reactome:R-RNO-4641265|Reactome:R-RNO-5365859|Reactome:R-RNO-5578775|Reactome:R-RNO-5628897|Reactome:R-RNO-5652227|Reactome:R-RNO-5661270|Reactome:R-RNO-5689880|Reactome:R-RNO-611105|Reactome:R-RNO-6798695|Reactome:R-RNO-6799198|Reactome:R-RNO-6803204|Reactome:R-RNO-6807062|Reactome:R-RNO-70171|Reactome:R-RNO-70263|Reactome:R-RNO-70268|Reactome:R-RNO-70370|Reactome:R-RNO-70895|Reactome:R-RNO-71064|Reactome:R-RNO-71336|Reactome:R-RNO-71384|Reactome:R-RNO-71403|Reactome:R-RNO-75105|Reactome:R-RNO-75876|Reactome:R-RNO-75896|Reactome:R-RNO-77108|Reactome:R-RNO-77111|Reactome:R-RNO-77285|Reactome:R-RNO-77288|Reactome:R-RNO-77305|Reactome:R-RNO-77310|Reactome:R-RNO-77346|Reactome:R-RNO-77348|Reactome:R-RNO-77350|Reactome:R-RNO-77352|Reactome:R-RNO-8964208|Reactome:R-RNO-8964539|Reactome:R-RNO-8964572|Reactome:R-RNO-9013405|Reactome:R-RNO-9013406|Reactome:R-RNO-9018676|Reactome:R-RNO-9018896|Reactome:R-RNO-9033241|Reactome:R-RNO-9035034|Reactome:R-RNO-917977|Reactome:R-RNO-9640463|Reactome:R-RNO-9707564|Reactome:R-RNO-9757110|Reactome:R-RNO-9764725|Reactome:R-RNO-977347|Reactome:R-RNO-9837999|Reactome:R-RNO-9856872|Reactome:R-RNO-9861718|Reactome:R-SCE-1483166|Reactome:R-SCE-156581|Reactome:R-SCE-1614635|Reactome:R-SCE-1660661|Reactome:R-SCE-1855183|Reactome:R-SCE-191273|Reactome:R-SCE-193144|Reactome:R-SCE-196757|Reactome:R-SCE-2161541|Reactome:R-SCE-2187335|Reactome:R-SCE-390247|Reactome:R-SCE-5365859|Reactome:R-SCE-5628897|Reactome:R-SCE-5652227|Reactome:R-SCE-5661270|Reactome:R-SCE-6807062|Reactome:R-SCE-70171|Reactome:R-SCE-70263|Reactome:R-SCE-70370|Reactome:R-SCE-70635|Reactome:R-SCE-71064|Reactome:R-SCE-71336|Reactome:R-SCE-71384|Reactome:R-SCE-71403|Reactome:R-SCE-75105|Reactome:R-SCE-77346|Reactome:R-SCE-8964539|Reactome:R-SCE-8964572|Reactome:R-SCE-9033241|Reactome:R-SCE-9837999|Reactome:R-SCE-9856872|Reactome:R-SPO-1483166|Reactome:R-SPO-156581|Reactome:R-SPO-1614635|Reactome:R-SPO-1660661|Reactome:R-SPO-191273|Reactome:R-SPO-193144|Reactome:R-SPO-196757|Reactome:R-SPO-2161541|Reactome:R-SPO-5365859|Reactome:R-SPO-5628897|Reactome:R-SPO-5652227|Reactome:R-SPO-5661270|Reactome:R-SPO-6798695|Reactome:R-SPO-6807062|Reactome:R-SPO-70171|Reactome:R-SPO-70263|Reactome:R-SPO-70370|Reactome:R-SPO-70635|Reactome:R-SPO-71064|Reactome:R-SPO-71336|Reactome:R-SPO-71384|Reactome:R-SPO-71403|Reactome:R-SPO-75105|Reactome:R-SPO-77346|Reactome:R-SPO-8964539|Reactome:R-SPO-9837999|Reactome:R-SPO-9856872|Reactome:R-SSC-1482798|Reactome:R-SSC-193048|Reactome:R-SSC-193993|Reactome:R-SSC-194002|Reactome:R-SSC-2151201|Reactome:R-SSC-5365859|Reactome:R-SSC-70171|Reactome:R-SSC-70263|Reactome:R-SSC-70268|Reactome:R-SSC-71403|Reactome:R-SSC-77285|Reactome:R-SSC-77305|Reactome:R-SSC-77310|Reactome:R-SSC-77346|Reactome:R-SSC-77348|Reactome:R-SSC-77350|Reactome:R-SSC-77352|Reactome:R-SSC-8964539|Reactome:R-SSC-9033241|Reactome:R-SSC-977347|Reactome:R-SSC-9837999|Reactome:R-SSC-9856872|Reactome:R-SSC-9861718|Reactome:R-XTR-1483166|Reactome:R-XTR-156581|Reactome:R-XTR-173599|Reactome:R-XTR-1971475|Reactome:R-XTR-2453902|Reactome:R-XTR-5365859|Reactome:R-XTR-5689880|Reactome:R-XTR-75105|Reactome:R-XTR-75876|Reactome:R-XTR-75896|Reactome:R-XTR-77346|Reactome:R-XTR-9013406|Reactome:R-XTR-9856872
HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	PANTHER	PTHR48106	QUINONE OXIDOREDUCTASE PIG3-RELATED	1	327	0.0	T	02-06-2026	-	-	GO:0016651(PANTHER)|GO:0070402(PANTHER)	-
HORVU.MOREX.r3.6HG0627090.1	5814bf6b7c1f5c70e49d18375ad3e481	327	Pfam	PF00107	Zinc-binding dehydrogenase	153	268	1.6E-28	T	02-06-2026	IPR013149	Alcohol dehydrogenase-like, C-terminal	-	Reactome:R-BTA-5652227|Reactome:R-BTA-5661270|Reactome:R-BTA-71384|Reactome:R-CEL-2161541|Reactome:R-CEL-5365859|Reactome:R-CEL-71384|Reactome:R-CEL-77346|Reactome:R-DDI-2161541|Reactome:R-DDI-5365859|Reactome:R-DDI-71384|Reactome:R-DDI-77346|Reactome:R-DME-2161541|Reactome:R-DME-5365859|Reactome:R-DME-71384|Reactome:R-DME-77346|Reactome:R-DRE-77346|Reactome:R-GGA-5652227|Reactome:R-GGA-5661270|Reactome:R-HSA-163765|Reactome:R-HSA-199220|Reactome:R-HSA-2142691|Reactome:R-HSA-2142700|Reactome:R-HSA-2161541|Reactome:R-HSA-2162123|Reactome:R-HSA-2426168|Reactome:R-HSA-5365859|Reactome:R-HSA-5652227|Reactome:R-HSA-5661270|Reactome:R-HSA-6803205|Reactome:R-HSA-71384|Reactome:R-HSA-75105|Reactome:R-HSA-77346|Reactome:R-HSA-9029558|Reactome:R-MMU-2161541|Reactome:R-MMU-5365859|Reactome:R-MMU-5652227|Reactome:R-MMU-5661270|Reactome:R-MMU-71384|Reactome:R-MMU-77346|Reactome:R-MTU-9635470|Reactome:R-RNO-2161541|Reactome:R-RNO-5365859|Reactome:R-RNO-5652227|Reactome:R-RNO-5661270|Reactome:R-RNO-71384|Reactome:R-RNO-77346|Reactome:R-SCE-2161541|Reactome:R-SCE-5365859|Reactome:R-SCE-5652227|Reactome:R-SCE-5661270|Reactome:R-SCE-71384|Reactome:R-SPO-2161541|Reactome:R-SPO-5365859|Reactome:R-SPO-5652227|Reactome:R-SPO-5661270|Reactome:R-SPO-71384|Reactome:R-SPO-77346|Reactome:R-XTR-77346
