trait	gene_id	region	n_snps	n_samples
betaglucan	HORVU.MOREX.r3.1HG0077680	1H:479331581-479337933	5	290
betaglucan	HORVU.MOREX.r3.1HG0077700	1H:479338892-479342891	17	290
betaglucan	HORVU.MOREX.r3.1HG0077710	1H:479413499-479418111	30	290
betaglucan	HORVU.MOREX.r3.1HG0077720	1H:479456239-479462181	28	290
betaglucan	HORVU.MOREX.r3.1HG0077730	1H:479460831-479466763	2	290
betaglucan	HORVU.MOREX.r3.1HG0077770	1H:479480464-479494245	26	290
betaglucan	HORVU.MOREX.r3.1HG0077790	1H:479500918-479506184	32	290
betaglucan	HORVU.MOREX.r3.1HG0077830	1H:479575955-479580301	10	290
betaglucan	HORVU.MOREX.r3.1HG0077840	1H:479615076-479619391	15	290
betaglucan	HORVU.MOREX.r3.1HG0079180	1H:483208536-483211591	61	290
betaglucan	HORVU.MOREX.r3.1HG0079200	1H:483280192-483283133	3	290
betaglucan	HORVU.MOREX.r3.1HG0079210	1H:483367858-483370844	11	290
betaglucan	HORVU.MOREX.r3.1HG0079220	1H:483373226-483376249	6	290
betaglucan	HORVU.MOREX.r3.1HG0079230	1H:483374220-483379067	18	290
betaglucan	HORVU.MOREX.r3.1HG0079250	1H:483378149-483380969	15	290
betaglucan	HORVU.MOREX.r3.1HG0079280	1H:483495196-483503520	74	290
betaglucan	HORVU.MOREX.r3.1HG0079290	1H:483512680-483515258	23	290
betaglucan	HORVU.MOREX.r3.1HG0079320	1H:483531549-483534037	0	290
betaglucan	HORVU.MOREX.r3.1HG0079340	1H:483566227-483568676	0	290
betaglucan	HORVU.MOREX.r3.2HG0112820	2H:42027291-42031928	35	290
betaglucan	HORVU.MOREX.r3.2HG0112830	2H:42033602-42036177	19	290
betaglucan	HORVU.MOREX.r3.2HG0112840	2H:42034580-42037551	12	290
betaglucan	HORVU.MOREX.r3.2HG0112870	2H:42082114-42085259	0	290
betaglucan	HORVU.MOREX.r3.2HG0112880	2H:42087976-42091440	3	290
betaglucan	HORVU.MOREX.r3.2HG0112890	2H:42172620-42174856	5	290
betaglucan	HORVU.MOREX.r3.2HG0112900	2H:42173233-42178357	9	290
betaglucan	HORVU.MOREX.r3.2HG0112910	2H:42191269-42197145	6	290
betaglucan	HORVU.MOREX.r3.2HG0112920	2H:42194982-42204574	33	290
betaglucan	HORVU.MOREX.r3.2HG0191420	2H:602047259-602053701	27	290
betaglucan	HORVU.MOREX.r3.2HG0191430	2H:602055608-602063165	5	290
betaglucan	HORVU.MOREX.r3.2HG0191440	2H:602060960-602066234	4	290
betaglucan	HORVU.MOREX.r3.2HG0191450	2H:602067722-602071283	6	290
betaglucan	HORVU.MOREX.r3.2HG0191460	2H:602072052-602076282	8	290
betaglucan	HORVU.MOREX.r3.2HG0191470	2H:602097425-602102953	26	290
betaglucan	HORVU.MOREX.r3.2HG0191480	2H:602114545-602119244	14	290
betaglucan	HORVU.MOREX.r3.2HG0191490	2H:602117745-602126713	18	290
betaglucan	HORVU.MOREX.r3.2HG0191510	2H:602173554-602177050	43	290
betaglucan	HORVU.MOREX.r3.2HG0191520	2H:602319039-602322575	11	290
betaglucan	HORVU.MOREX.r3.2HG0191530	2H:602347071-602350788	40	290
betaglucan	HORVU.MOREX.r3.2HG0191540	2H:602352227-602356236	24	290
betaglucan	HORVU.MOREX.r3.2HG0191550	2H:602362492-602366012	1	290
betaglucan	HORVU.MOREX.r3.2HG0191560	2H:602425208-602427417	0	290
betaglucan	HORVU.MOREX.r3.2HG0191570	2H:602445085-602447294	1	290
betaglucan	HORVU.MOREX.r3.3HG0299440	3H:537097183-537102239	16	290
betaglucan	HORVU.MOREX.r3.3HG0299450	3H:537110608-537117152	14	290
betaglucan	HORVU.MOREX.r3.3HG0299460	3H:537116077-537122315	8	290
betaglucan	HORVU.MOREX.r3.4HG0341530	4H:34754668-34757045	0	290
betaglucan	HORVU.MOREX.r3.4HG0341540	4H:34758499-34762914	6	290
betaglucan	HORVU.MOREX.r3.4HG0341560	4H:34973960-34977804	13	290
betaglucan	HORVU.MOREX.r3.4HG0341630	4H:35080977-35092672	199	290
betaglucan	HORVU.MOREX.r3.4HG0341640	4H:35090817-35098562	41	290
betaglucan	HORVU.MOREX.r3.4HG0341660	4H:35151874-35154578	0	290
betaglucan	HORVU.MOREX.r3.4HG0395760	4H:528265382-528268071	0	290
betaglucan	HORVU.MOREX.r3.4HG0395770	4H:528383420-528391071	6	290
betaglucan	HORVU.MOREX.r3.4HG0395810	4H:528408135-528412651	13	290
betaglucan	HORVU.MOREX.r3.4HG0395820	4H:528417603-528422112	7	290
betaglucan	HORVU.MOREX.r3.6HG0609520	6H:475281568-475287989	23	290
betaglucan	HORVU.MOREX.r3.6HG0627000	6H:545854095-545856993	3	290
betaglucan	HORVU.MOREX.r3.6HG0627010	6H:545864221-545868012	22	290
betaglucan	HORVU.MOREX.r3.6HG0627020	6H:545867742-545873814	20	290
betaglucan	HORVU.MOREX.r3.6HG0627040	6H:545875149-545879408	30	290
betaglucan	HORVU.MOREX.r3.6HG0627060	6H:545881309-545884905	12	290
betaglucan	HORVU.MOREX.r3.6HG0627070	6H:545882976-545887745	7	290
betaglucan	HORVU.MOREX.r3.6HG0627080	6H:545888223-545892389	26	290
betaglucan	HORVU.MOREX.r3.6HG0627090	6H:545890735-545896434	12	290
betaglucan	HORVU.MOREX.r3.6HG0627100	6H:545894924-545898592	4	290
betaglucan	HORVU.MOREX.r3.6HG0627110	6H:545896775-545903031	15	290
betaglucan	HORVU.MOREX.r3.6HG0627120	6H:545901046-545909078	40	290
betaglucan	HORVU.MOREX.r3.6HG0627150	6H:546115420-546119763	0	290
betaglucan	HORVU.MOREX.r3.7HG0675560	7H:144563197-144567988	38	290
betaglucan	HORVU.MOREX.r3.7HG0675570	7H:144701710-144704492	10	290
betaglucan	HORVU.MOREX.r3.7HG0675580	7H:144702832-144706436	15	290
fiber	HORVU.MOREX.r3.1HG0051660	1H:344375698-344379853	5	290
fiber	HORVU.MOREX.r3.1HG0051670	1H:344377983-344386900	16	290
