canonical_gene	source_accession	horvu_id	chr	gene_start	gene_end	strand	pct_identity	pct_coverage	evalue	reciprocal_best_hit	tblastn_horvu	tblastn_vs_blastp_agree	trait	nearest_lead_SNP	distance_bp	window_flag	tested_in_candidate_list	haplotype_significant_fdr	haplotype_trait_fdr_p
HvCslF10	B1P2T8	HORVU.MOREX.r3.2HG0136680	2H	180929461	180933086	-	99.43	100	0	Y	HORVU.MOREX.r3.2HG0136680	Y	betaglucan	2H:41996626	138932835	FAR	N	NA	NA
HvCslF10	B1P2T8	HORVU.MOREX.r3.2HG0136680	2H	180929461	180933086	-	99.43	100	0	Y	HORVU.MOREX.r3.2HG0136680	Y	fiber	NA	NA	FAR	N	NA	NA
HvCslF10	B1P2T8	HORVU.MOREX.r3.2HG0136680	2H	180929461	180933086	-	99.43	100	0	Y	HORVU.MOREX.r3.2HG0136680	Y	starch	NA	NA	FAR	N	NA	NA
HvCslF3	B1P2T2	HORVU.MOREX.r3.2HG0136670	2H	180699065	180702418	-	99.65	100	0	Y	HORVU.MOREX.r3.2HG0136670	Y	betaglucan	2H:41996626	138702439	FAR	N	NA	NA
HvCslF3	B1P2T2	HORVU.MOREX.r3.2HG0136670	2H	180699065	180702418	-	99.65	100	0	Y	HORVU.MOREX.r3.2HG0136670	Y	fiber	NA	NA	FAR	N	NA	NA
HvCslF3	B1P2T2	HORVU.MOREX.r3.2HG0136670	2H	180699065	180702418	-	99.65	100	0	Y	HORVU.MOREX.r3.2HG0136670	Y	starch	NA	NA	FAR	N	NA	NA
HvCslF4	B1P2T3	HORVU.MOREX.r3.2HG0136610	2H	180621546	180624785	-	99.83	69	0	Y	HORVU.MOREX.r3.2HG0136610	Y	betaglucan	2H:41996626	138624920	FAR	N	NA	NA
HvCslF4	B1P2T3	HORVU.MOREX.r3.2HG0136610	2H	180621546	180624785	-	99.83	69	0	Y	HORVU.MOREX.r3.2HG0136610	Y	fiber	NA	NA	FAR	N	NA	NA
HvCslF4	B1P2T3	HORVU.MOREX.r3.2HG0136610	2H	180621546	180624785	-	99.83	69	0	Y	HORVU.MOREX.r3.2HG0136610	Y	starch	NA	NA	FAR	N	NA	NA
HvCslF6	B1P2T4	HORVU.MOREX.r3.7HG0698110	7H	366737825	366743758	-	100	100	0	Y	HORVU.MOREX.r3.7HG0698110	Y	betaglucan	7H:144534576	222203249	FAR	N	NA	NA
