trait	gene_id	lead_SNP	lead_SNP_class	final_call	call_source	evidence_tier	sp_vs_interpro_agreement	sp_name	sp_accession	sp_organism	sp_pident	sp_qcovhsp	sp_evalue	sp_status	interpro_status	n_interpro	interpro_ids	interpro_descs	n_pfam	pfam_ids	pfam_descs	n_go	go_terms	nr_title	nr_accession	nr_pident	nr_qcovs	nr_evalue	nr_status	legacy_annotation
betaglucan	HORVU.MOREX.r3.1HG0077700	1H:479493867	significant	Rac-like GTP-binding protein 2	swissprot	HIGH	concordant	Rac-like GTP-binding protein 2	Q68Y52	Oryza sativa subsp. japonica	92.3	97.6	1.01e-137	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	4	IPR001806;IPR003578;IPR005225;IPR027417	IPR001806:Small GTPase; IPR027417:P-loop containing nucleoside triphosphate hydrolase; IPR003578:Small GTPase Rho; IPR005225:Small GTP-binding domain	1	PF00071	PF00071:Ras family	3	GO:0003924;GO:0005525;GO:0007264	NA	NA	NA	NA	NA	NA	rac-like GTP-binding protein 2 | Gene role: likely a ROP/RAC small GTPase, i.e. a general signaling regulator involved in cytoskeleton organization, vesicle trafficking, and cell polarity.
betaglucan	HORVU.MOREX.r3.1HG0077720	1H:479493867	significant	Probable magnesium transporter NIPA5	swissprot	HIGH	concordant	Probable magnesium transporter NIPA5	F4JKQ7	Arabidopsis thaliana	68.6	81.3	4.65e-141	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	2	IPR008521;IPR037185	IPR008521:Magnesium transporter NIPA; IPR037185:Multidrug transporter EmrE superfamily	1	PF05653	PF05653:Magnesium transporter NIPA	3	GO:0015095;GO:0015693;GO:0016020	NA	NA	NA	NA	NA	NA	probable magnesium transporter NIPA6 | Gene role: likely a magnesium transporter involved in ion homeostasis and membrane transport.
betaglucan	HORVU.MOREX.r3.1HG0079220	1H:483379118	significant	antifreeze protein Maxi-like	nr	MEDIUM	none	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	SIGNATURE_ONLY	0			0			0		antifreeze protein Maxi-like	XP_044980484.1	100	100	1.97e-132	CONFIDENT_NR_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.1HG0079230	1H:483379118	significant	PDCD5-like superfamily; PDCD5-like	interpro	MEDIUM	single_source	Uncharacterized protein C23C4.09c	O13929	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	45.3	52.7	3.35e-20	WEAK_OR_NO_HIT	INTERPRO_MATCH	2	IPR002836;IPR036883	IPR036883:PDCD5-like superfamily; IPR002836:PDCD5-like	1	PF01984	PF01984:Double-stranded DNA-binding domain	3	GO:0003677;GO:0005634;GO:0005829	NA	NA	NA	NA	NA	NA	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.1HG0079250	1H:483379118	significant	Histone H2B.2	swissprot	HIGH	concordant	Histone H2B.2	P05621	Triticum aestivum	98	96.7	7e-90	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	4	IPR000558;IPR007125;IPR009072;IPR055333	IPR007125:Core Histone H2A/H2B/H3 domain; IPR009072:Histone-fold; IPR055333:Histone H2B, conserved site; IPR000558:Histone H2B	1	PF00125	PF00125:Core histone H2A/H2B/H3/H4 domain	4	GO:0000786;GO:0003677;GO:0030527;GO:0046982	NA	NA	NA	NA	NA	NA	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.1HG0079280	1H:483379118	significant	Histone H2B.2	swissprot	HIGH	concordant	Histone H2B.2	P05621	Triticum aestivum	72.1	97.6	2.2e-79	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	4	IPR000558;IPR007125;IPR009072;IPR055333	IPR007125:Core Histone H2A/H2B/H3 domain; IPR000558:Histone H2B; IPR009072:Histone-fold; IPR055333:Histone H2B, conserved site	1	PF00125	PF00125:Core histone H2A/H2B/H3/H4 domain	4	GO:0000786;GO:0003677;GO:0030527;GO:0046982	NA	NA	NA	NA	NA	NA	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.1HG0079290	1H:483379118	significant	uncharacterized (conserved, unnamed)	none	LOW	none	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	SIGNATURE_ONLY	0			0			0		uncharacterized protein LOC123416960	XP_044962762.1	100	100	5.02e-90	WEAK_OR_UNCHARACTERIZED_NR_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.2HG0112820	2H:41996626	significant	Large ribosomal subunit protein eL19x	swissprot	HIGH	concordant	Large ribosomal subunit protein eL19x	Q9SRX2	Arabidopsis thaliana	88.8	80.9	5.91e-97	CONFIDENT_SWISSPROT_HIT	INTERPRO_MATCH	8	IPR000196;IPR015972;IPR023638;IPR033935;IPR035970;IPR039547;IPR057259;IPR057260	IPR033935:Large ribosomal subunit protein eL19, eukaryotic; IPR000196:Large ribosomal subunit protein eL19 domain; IPR039547:Large ribosomal subunit protein eL19; IPR023638:Large ribosomal subunit protein eL19, conserved site; IPR057260:Ribosomal protein L19e, C-terminal domain; IPR057259:Ribosomal protein L19e, N-terminal domain; IPR015972:Large ribosomal subunit protein eL19, domain 1; IPR035970:Large ribosomal subunit protein eL19 superfamily	2	PF01280;PF25476	PF25476:Ribosomal protein L19e, C-terminal domain; PF01280:Ribosomal protein L19e, N-terminal domain	5	GO:0003723;GO:0003735;GO:0005840;GO:0006412;GO:0022625	NA	NA	NA	NA	NA	NA	60S ribosomal protein L19-1-like | Gene role: likely a ribosomal protein involved in general protein translation and ribosome function.
betaglucan	HORVU.MOREX.r3.2HG0112840	2H:41996626	significant	uncharacterized (conserved, unnamed)	none	LOW	none	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	SIGNATURE_ONLY	0			0			0		uncharacterized protein LOC123424732	XP_044964341.1	100	100	9.68e-174	WEAK_OR_UNCHARACTERIZED_NR_HIT	Predicted protein
betaglucan	HORVU.MOREX.r3.2HG0112890	2H:41996626	significant	no homolog found	none	LOW	none	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	NO_MATCH	0			0			0		NA	NA	NA	NA	NA	NO_NR_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.2HG0112900	2H:41996626	significant	Peroxiredoxin-like 1; Thioredoxin-like superfamily; Thioredoxin domain; Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	interpro	MEDIUM	single_source	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	INTERPRO_MATCH	4	IPR000866;IPR013766;IPR036249;IPR047262	IPR047262:Peroxiredoxin-like 1; IPR036249:Thioredoxin-like superfamily; IPR013766:Thioredoxin domain; IPR000866:Alkyl hydroperoxide reductase subunit C/ Thiol specific antioxidant	1	PF00578	PF00578:AhpC/TSA family	2	GO:0016209;GO:0016491	NA	NA	NA	NA	NA	NA	Predicted protein -  uncharacterized
