gene	accession	source	note
HvCslF6	B1P2T4	uniprot	major grain (1,3;1,4)-beta-glucan synthase (Burton et al.)
HvCslH1	ACN67534.1	ncbi	cellulose synthase-like H1 (Doblin et al. 2009)
HvCslF9	B1P2T7	uniprot	cellulose synthase-like CslF9 (Burton et al.)
HvCslF7	B1P2T5	uniprot	cellulose synthase-like CslF7 (Burton et al.)
HvCslF3	B1P2T2	uniprot	cellulose synthase-like CslF3 (Burton et al.)
HvCslF4	B1P2T3	uniprot	cellulose synthase-like CslF4 (Burton et al.)
HvCslF8	B1P2T6	uniprot	cellulose synthase-like CslF8 (Burton et al.)
HvCslF10	B1P2T8	uniprot	cellulose synthase-like CslF10 (Burton et al.)
HvGlb1_EI	Q02345	uniprot	(1,3;1,4)-beta-glucanase isoenzyme EI / Glb1
HvGlb2_EII	P12257	uniprot	(1,3;1,4)-beta-glucanase isoenzyme EII / Glb2 (reviewed)
