v3_gene	nearest_ref	identity_dist
HORVU.MOREX.r3.2HG0136680.1	HvCslF10	0.0754
HORVU.MOREX.r3.2HG0136670.1	HvCslF3	0.0594
HORVU.MOREX.r3.2HG0136610.1	HvCslF4	0.262
HORVU.MOREX.r3.7HG0750850.1	HvCslF4	0.3932
HORVU.MOREX.r3.7HG0698110.1	HvCslF6	0
HORVU.MOREX.r3.7HG0638850.1	HvCslF6	0.6898
HORVU.MOREX.r3.5HG0444030.1	HvCslF6	0.6978
HORVU.MOREX.r3.1HG0053630.1	HvCslF6	0.7004
HORVU.MOREX.r3.7HG0711350.1	HvCslF6	0.7055
HORVU.MOREX.r3.2HG0115540.1	HvCslF6	0.709
HORVU.MOREX.r3.5HG0526760.1	HvCslF7	0.1494
HORVU.MOREX.r3.5HG0482670.1	HvCslF7	0.7339
HORVU.MOREX.r3.3HG0288960.1	HvCslF7	0.7372
HORVU.MOREX.r3.6HG0550800.1	HvCslF7	0.739
HORVU.MOREX.r3.2HG0111610.1	HvCslF7	0.7398
HORVU.MOREX.r3.1HG0027850.1	HvCslF7	0.7399
HORVU.MOREX.r3.5HG0522880.1	HvCslF7	0.7403
HORVU.MOREX.r3.2HG0136570.1	HvCslF8	0
HORVU.MOREX.r3.1HG0024140.1	HvCslF9	0.1574
HORVU.MOREX.r3.2HG0136550.1	HvCslF9	0.528
HORVU.MOREX.r3.2HG0168310.1	HvCslH1	0.0516
HORVU.MOREX.r3.5HG0488950.1	HvCslH1	0.8095
HORVU.MOREX.r3.5HG0488970.1	HvCslH1	0.8112
HORVU.MOREX.r3.6HG0611060.1	HvCslH1	0.8147
