trait	gene_id	lead_SNP	sp_name	sp_accession	sp_organism	pident	qcovhsp	evalue	bitscore	characterized_flag	status	legacy_annotation
betaglucan	HORVU.MOREX.r3.1HG0077700	1H:479493867	Rac-like GTP-binding protein 2	Q68Y52	Oryza sativa subsp. japonica	92.3	97.6	1.01e-137	387	TRUE	CONFIDENT_SWISSPROT_HIT	rac-like GTP-binding protein 2 | Gene role: likely a ROP/RAC small GTPase, i.e. a general signaling regulator involved in cytoskeleton organization, vesicle trafficking, and cell polarity.
betaglucan	HORVU.MOREX.r3.1HG0077720	1H:479493867	Probable magnesium transporter NIPA5	F4JKQ7	Arabidopsis thaliana	68.6	81.3	4.65e-141	408	TRUE	CONFIDENT_SWISSPROT_HIT	probable magnesium transporter NIPA6 | Gene role: likely a magnesium transporter involved in ion homeostasis and membrane transport.
betaglucan	HORVU.MOREX.r3.1HG0079220	1H:483379118	NA	NA	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.1HG0079230	1H:483379118	Uncharacterized protein C23C4.09c	O13929	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	45.3	52.7	3.35e-20	86.3	FALSE	WEAK_OR_NO_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.1HG0079250	1H:483379118	Histone H2B.2	P05621	Triticum aestivum	98	96.7	7e-90	261	TRUE	CONFIDENT_SWISSPROT_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.1HG0079280	1H:483379118	Histone H2B.2	P05621	Triticum aestivum	72.1	97.6	2.2e-79	236	TRUE	CONFIDENT_SWISSPROT_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.1HG0079290	1H:483379118	NA	NA	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.2HG0112820	2H:41996626	Large ribosomal subunit protein eL19x	Q9SRX2	Arabidopsis thaliana	88.8	80.9	5.91e-97	283	TRUE	CONFIDENT_SWISSPROT_HIT	60S ribosomal protein L19-1-like | Gene role: likely a ribosomal protein involved in general protein translation and ribosome function.
betaglucan	HORVU.MOREX.r3.2HG0112840	2H:41996626	NA	NA	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	Predicted protein
betaglucan	HORVU.MOREX.r3.2HG0112890	2H:41996626	NA	NA	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.2HG0112900	2H:41996626	NA	NA	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	Predicted protein -  uncharacterized
betaglucan	HORVU.MOREX.r3.2HG0112910	2H:41996626	Pectinesterase 1	O04886	Citrus sinensis	49.2	90.3	1.87e-157	466	TRUE	CONFIDENT_SWISSPROT_HIT	pectinesterase-like | Gene role: likely a cell wall remodeling enzyme (pectin methylesterase/pectinesterase-like) involved in modifying pectin structure and cell wall properties.
betaglucan	HORVU.MOREX.r3.2HG0112920	2H:41996626	Probable acyl-CoA dehydrogenase IBR3	Q8RWZ3	Arabidopsis thaliana	68.8	99.8	0	1155	TRUE	CONFIDENT_SWISSPROT_HIT	probable acyl-CoA dehydrogenase IBR3 / probable acyl-CoA dehydrogenase IBR3 | Gene role: likely a metabolic enzyme involved in fatty acid/peroxisomal metabolism.
betaglucan	HORVU.MOREX.r3.2HG0191420	2H:602246902	Acyclic sesquiterpene synthase	Q84ZW8	Zea mays	67.2	81.5	7.17e-231	654	TRUE	CONFIDENT_SWISSPROT_HIT	cyclic sesquiterpene synthase-like | Gene role: likely a NAC family transcription factor, i.e. a broad transcriptional regulator involved in development and stress-related gene expression.
betaglucan	HORVU.MOREX.r3.2HG0191430	2H:602246902	Probable RNA-binding protein 19	Q9Y4C8	Homo sapiens	33	96.2	1.19e-116	381	TRUE	CONFIDENT_SWISSPROT_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.2HG0191470	2H:602246902	Protein ECERIFERUM 26-like	Q9LIS1	Arabidopsis thaliana	35.3	97.3	7.41e-74	240	TRUE	CONFIDENT_SWISSPROT_HIT	protein ECERIFERUM 26-like | Gene role: likely a wax/VLCFA elongation-related protein involved in cuticular lipid metabolism.
betaglucan	HORVU.MOREX.r3.2HG0191510	2H:602246902	UPF0481 protein At3g47200	Q9SD53	Arabidopsis thaliana	25.6	66.1	1.97e-11	69.7	TRUE	WEAK_OR_NO_HIT	UPF0481 protein At3g47200-like - Uncharacterized protein
betaglucan	HORVU.MOREX.r3.2HG0191520	2H:602246902	UPF0481 protein At3g47200	Q9SD53	Arabidopsis thaliana	28.3	64.2	1.51e-17	88.6	TRUE	WEAK_OR_NO_HIT	UPF0481 protein At3g47200 [Aegilops tauschii subsp. strangulata] | Gene role: likely an uncharacterized DUF247/UPF0481 family protein, with a possible cell wall-associated role based on related family members.
betaglucan	HORVU.MOREX.r3.2HG0191530	2H:602246902	Cytosolic sulfotransferase 8	Q9FX56	Arabidopsis thaliana	42.9	83.9	1.37e-77	244	TRUE	CONFIDENT_SWISSPROT_HIT	cytosolic sulfotransferase 8-like | Gene role: likely a cytosolic sulfotransferase enzyme involved in sulfate conjugation of small molecules in sulfur/secondary metabolism.
betaglucan	HORVU.MOREX.r3.2HG0191540	2H:602246902	UPF0481 protein At3g47200	Q9SD53	Arabidopsis thaliana	25.4	71.8	8.65e-13	73.9	TRUE	WEAK_OR_NO_HIT	Uncharacterized protein
betaglucan	HORVU.MOREX.r3.3HG0299440	3H:537247620	Ethylene-responsive transcription factor ERF110	Q70II3	Arabidopsis thaliana	83.6	19.2	1.48e-34	130	TRUE	WEAK_OR_NO_HIT	APETALA2-like protein 5 | Gene role: AP2/ERF-family transcription factor involved in developmental and regulatory gene-expression programs.
betaglucan	HORVU.MOREX.r3.3HG0299450	3H:537247620	Protein LIKE COV 2	Q9C8C1	Arabidopsis thaliana	72.6	99.2	3.88e-126	361	TRUE	CONFIDENT_SWISSPROT_HIT	protein LIKE COV 2-like | Gene role: likely a COV1/COV-like developmental or cell-wall-associated protein, probably involved in tissue organization and cell wall-related development.
betaglucan	HORVU.MOREX.r3.3HG0299460	3H:537247620	Polypyrimidine tract-binding protein homolog 3	Q6ICX4	Arabidopsis thaliana	69.1	100	6.71e-222	618	TRUE	CONFIDENT_SWISSPROT_HIT	polypyrimidine tract-binding protein homolog 3-like | Gene role: likely an RNA-binding protein involved in pre-mRNA processing and alternative splicing.
betaglucan	HORVU.MOREX.r3.4HG0395770	4H:528254769	NA	NA	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.4HG0395810	4H:528254769	MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 2	O80548	Arabidopsis thaliana	57.8	91.6	3.21e-232	663	TRUE	CONFIDENT_SWISSPROT_HIT	NEED TO ADD ANNOTATION
betaglucan	HORVU.MOREX.r3.6HG0627010	6H:545947347	DNA sliding clamp PCNA	P17070	Oryza sativa subsp. japonica	97.3	100	2.39e-179	496	TRUE	CONFIDENT_SWISSPROT_HIT	proliferating cell nuclear antigen | Gene role: a DNA replication and cell-cycle factor (PCNA) involved in DNA synthesis, replication fork function, and DNA repair.
betaglucan	HORVU.MOREX.r3.6HG0627060	6H:545947347	F-box/kelch-repeat protein At1g16250	Q0WW40	Arabidopsis thaliana	32	51.3	2.54e-21	97.8	TRUE	CONFIDENT_SWISSPROT_HIT	actin-binding protein IPP-like | Gene role: likely an actin-associated cytoskeletal protein involved in cell structure and intracellular organization.
betaglucan	HORVU.MOREX.r3.6HG0627090	6H:545947347	Quinone oxidoreductase PIG3	Q53FA7	Homo sapiens	42.6	99.4	3.15e-77	242	TRUE	CONFIDENT_SWISSPROT_HIT	Gene role: likely a quinone oxidoreductase / redox enzyme involved in quinone detoxification and oxidative stress-related metabolism.
betaglucan	HORVU.MOREX.r3.6HG0627120	6H:545947347	Uncharacterized protein sll0005	Q55680	Synechocystis sp. (strain ATCC 27184 / PCC 6803 / Kazusa)	34.5	53.2	1.09e-86	295	FALSE	WEAK_OR_NO_HIT	protein ACTIVITY OF BC1 COMPLEX KINASE 3, chloroplastic | Gene role: Chloroplast-associated kinase involved in regulation of photosynthetic or energy-related processes.
betaglucan	HORVU.MOREX.r3.7HG0675580	7H:144534576	Disease resistance protein RGA5	F7J0N2	Oryza sativa subsp. japonica	40	99.1	6.21e-108	350	TRUE	CONFIDENT_SWISSPROT_HIT	putative late blight resistance protein-R1B-14-like | disease resistance protein RGA5 / RGA5-like | Gene role: likely an NLR-type disease resistance protein with an NB-ARC domain, involved in pathogen recognition and immune signaling.
fiber	HORVU.MOREX.r3.1HG0051670	1H:344520079	Phospholipase D beta 1	P93733	Arabidopsis thaliana	71.3	72.9	0	1228	TRUE	CONFIDENT_SWISSPROT_HIT	phospholipase D gamma 1-like | Gene role: Phospholipase D family enzyme involved in membrane lipid turnover and signaling.
fiber	HORVU.MOREX.r3.4HG0339140	4H:24707376	NA	NA	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	Uncharacterized protein
fiber	HORVU.MOREX.r3.7HG0642350	7H:14817657	Coniferyl alcohol acyltransferase	A1XWY7	Petunia hybrida	28.3	95.4	9.06e-37	144	TRUE	WEAK_OR_NO_HIT	Putative BAHD Acyltransferase | Gene role: Putative BAHD acyltransferase likely involved in acylation of cell wall-associated or secondary-metabolism compounds.
fiber	HORVU.MOREX.r3.7HG0642360	7H:14817657	BAG family molecular chaperone regulator 1	Q0WUQ1	Arabidopsis thaliana	50.2	57.4	2.73e-58	195	TRUE	CONFIDENT_SWISSPROT_HIT	BAG family molecular chaperone regulator 1-like | Gene role: BAG-family co-chaperone regulator involved in protein folding, stress responses, and general cellular homeostasis.
fiber	HORVU.MOREX.r3.7HG0642460	7H:14817657	Protein LATERAL BRANCHING OXIDOREDUCTASE 1	Q9LIF4	Arabidopsis thaliana	35.2	92.7	3.39e-58	195	TRUE	CONFIDENT_SWISSPROT_HIT	codeine O-demethylase-like | Gene role: Putative O-demethylase-like enzyme likely involved in secondary metabolite modification rather than core structural carbohydrate synthesis.
fiber	HORVU.MOREX.r3.7HG0729020	7H:573606306	Probable high-affinity nitrate transporter 2.4	A2ZU80	Oryza sativa subsp. japonica	80.5	99.6	7.62e-257	711	TRUE	CONFIDENT_SWISSPROT_HIT	probable high-affinity nitrate transporter 2.4 | Gene role: High-affinity nitrate transporter involved in nitrate uptake and nitrogen nutrition.
fiber	HORVU.MOREX.r3.7HG0729090	7H:573606306	Pentatricopeptide repeat-containing protein At3g61360	Q9M2C8	Arabidopsis thaliana	33.3	86.1	2.23e-44	166	TRUE	CONFIDENT_SWISSPROT_HIT	Gene role: PPR/PRORP-domain protein likely involved in organellar RNA processing, including tRNA or other RNA maturation functions.
fiber	HORVU.MOREX.r3.7HG0729100	7H:573606306	NifU-like protein 3, chloroplastic	Q84RQ7	Arabidopsis thaliana	73.3	67.3	2.81e-81	247	TRUE	CONFIDENT_SWISSPROT_HIT	nifU-like protein 3, chloroplastic [view all locations] | Gene role: Chloroplast-associated NifU-like protein likely involved in Fe-S cluster assembly and organellar metabolic maintenance.
fiber	HORVU.MOREX.r3.7HG0729130	7H:573606306	NA	NA	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	NEED TO ADD ANNOTATION
starch	HORVU.MOREX.r3.3HG0301710	3H:546433616	Probable anion transporter 3, chloroplastic	Q8W0H5	Oryza sativa subsp. japonica	84.2	99.8	3.63e-305	836	TRUE	CONFIDENT_SWISSPROT_HIT	Phosphate transporter 43 PHT / Anion transporter | Gene role: Phosphate/anion transporter involved in phosphate movement and general cellular nutrient homeostasis.
starch	HORVU.MOREX.r3.3HG0301720	3H:546433616	Calmodulin-binding receptor-like cytoplasmic kinase 1	Q9FIL7	Arabidopsis thaliana	57.7	70	2.25e-121	364	TRUE	CONFIDENT_SWISSPROT_HIT	Gene role: Calmodulin-binding cytoplasmic kinase involved in calcium-dependent signaling and signal transduction.
starch	HORVU.MOREX.r3.3HG0301750	3H:546433616	Alpha-glucan phosphorylase, H isozyme	Q9LKJ3	Triticum aestivum	97.2	100	0	1640	TRUE	CONFIDENT_SWISSPROT_HIT	alpha-glucan phosphorylase | Gene role: Alpha-glucan phosphorylase catalyzes reversible phosphorolysis of alpha-glucans, linking starch breakdown and glucan metabolism to glucose-1-phosphate production.
starch	HORVU.MOREX.r3.6HG0619820	6H:525776080	Kinesin-like protein KIN-7D, chloroplastic	Q6YZ52	Oryza sativa subsp. japonica	82.8	100	0	1439	TRUE	CONFIDENT_SWISSPROT_HIT	NEED TO ADD ANNOTATION
starch	HORVU.MOREX.r3.7HG0729020	7H:573606460	Probable high-affinity nitrate transporter 2.4	A2ZU80	Oryza sativa subsp. japonica	80.5	99.6	7.62e-257	711	TRUE	CONFIDENT_SWISSPROT_HIT	probable high-affinity nitrate transporter 2.4 | Gene role: High-affinity nitrate transporter involved in nitrate uptake and nitrogen nutrition.
starch	HORVU.MOREX.r3.7HG0729030	7H:573606460	Acetylajmalan esterase	Q3MKY2	Rauvolfia serpentina	45.3	87.2	7.35e-95	291	TRUE	CONFIDENT_SWISSPROT_HIT	GDSL esterase / acetylajmalan esterase-like | Gene role: GDSL esterase/lipase-family enzyme likely involved in deacylation or remodeling of extracellular, lipid-associated, or cell wall-related substrates.
starch	HORVU.MOREX.r3.7HG0729090	7H:573606460	Pentatricopeptide repeat-containing protein At3g61360	Q9M2C8	Arabidopsis thaliana	33.3	86.1	2.23e-44	166	TRUE	CONFIDENT_SWISSPROT_HIT	Gene role: PPR/PRORP-domain protein likely involved in organellar RNA processing, including tRNA or other RNA maturation functions.
starch	HORVU.MOREX.r3.7HG0729100	7H:573606460	NifU-like protein 3, chloroplastic	Q84RQ7	Arabidopsis thaliana	73.3	67.3	2.81e-81	247	TRUE	CONFIDENT_SWISSPROT_HIT	nifU-like protein 3, chloroplastic [view all locations] | Gene role: Chloroplast-associated NifU-like protein likely involved in Fe-S cluster assembly and organellar metabolic maintenance.
starch	HORVU.MOREX.r3.7HG0729110	7H:573606460	NA	NA	NA	NA	NA	NA	NA	NA	WEAK_OR_NO_HIT	Predicted protein
