trait	gene_id	chr	gene_start	gene_end	strand	win_start	win_end	locus_id	class	lead_SNP	lead_pos	lead_neg_log10p	dist_to_lead_bp	description
betaglucan	HORVU.MOREX.r3.1HG0077680	1H	479332581	479336933	+	479331581	479337933	betaglucan_1H_1	significant	1H:479493867	479493867	6.9044	-156934	NA
betaglucan	HORVU.MOREX.r3.1HG0077700	1H	479339892	479341891	-	479338892	479342891	betaglucan_1H_1	significant	1H:479493867	479493867	6.9044	-151976	NA
betaglucan	HORVU.MOREX.r3.1HG0077710	1H	479414499	479417111	+	479413499	479418111	betaglucan_1H_1	significant	1H:479493867	479493867	6.9044	-76756	NA
betaglucan	HORVU.MOREX.r3.1HG0077720	1H	479457239	479461181	-	479456239	479462181	betaglucan_1H_1	significant	1H:479493867	479493867	6.9044	-32686	NA
betaglucan	HORVU.MOREX.r3.1HG0077730	1H	479461831	479465763	-	479460831	479466763	betaglucan_1H_1	significant	1H:479493867	479493867	6.9044	-28104	Hydroxyproline-rich glycoprotein family protein [Source:Projected from Arabidopsis thaliana (AT1G73840) UniProtKB/TrEMBL;Acc:Q8VYM7]
betaglucan	HORVU.MOREX.r3.1HG0077770	1H	479481464	479493245	-	479480464	479494245	betaglucan_1H_1	significant	1H:479493867	479493867	6.9044	-622	NA
betaglucan	HORVU.MOREX.r3.1HG0077790	1H	479501918	479505184	-	479500918	479506184	betaglucan_1H_1	significant	1H:479493867	479493867	6.9044	8051	NA
betaglucan	HORVU.MOREX.r3.1HG0077830	1H	479576955	479579301	-	479575955	479580301	betaglucan_1H_1	significant	1H:479493867	479493867	6.9044	83088	NA
betaglucan	HORVU.MOREX.r3.1HG0077840	1H	479616076	479618391	+	479615076	479619391	betaglucan_1H_1	significant	1H:479493867	479493867	6.9044	122209	NA
betaglucan	HORVU.MOREX.r3.1HG0079180	1H	483209536	483210591	+	483208536	483211591	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	-168527	NA
betaglucan	HORVU.MOREX.r3.1HG0079200	1H	483281192	483282133	+	483280192	483283133	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	-96985	NA
betaglucan	HORVU.MOREX.r3.1HG0079210	1H	483368858	483369844	+	483367858	483370844	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	-9274	NA
betaglucan	HORVU.MOREX.r3.1HG0079220	1H	483374226	483375249	-	483373226	483376249	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	-3869	NA
betaglucan	HORVU.MOREX.r3.1HG0079230	1H	483375220	483378067	+	483374220	483379067	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	-1051	NA
betaglucan	HORVU.MOREX.r3.1HG0079250	1H	483379149	483379969	-	483378149	483380969	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	31	NA
betaglucan	HORVU.MOREX.r3.1HG0079280	1H	483496196	483502520	-	483495196	483503520	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	117078	NA
betaglucan	HORVU.MOREX.r3.1HG0079290	1H	483513680	483514258	-	483512680	483515258	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	134562	NA
betaglucan	HORVU.MOREX.r3.1HG0079320	1H	483532549	483533037	-	483531549	483534037	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	153431	NA
betaglucan	HORVU.MOREX.r3.1HG0079340	1H	483567227	483567676	-	483566227	483568676	betaglucan_1H_2	significant	1H:483379118	483379118	6.886	188109	NA
betaglucan	HORVU.MOREX.r3.2HG0112820	2H	42028291	42030928	+	42027291	42031928	betaglucan_2H_1	significant	2H:41996626	41996626	8.906	31665	NA
betaglucan	HORVU.MOREX.r3.2HG0112830	2H	42034602	42035177	+	42033602	42036177	betaglucan_2H_1	significant	2H:41996626	41996626	8.906	37976	NA
betaglucan	HORVU.MOREX.r3.2HG0112840	2H	42035580	42036551	-	42034580	42037551	betaglucan_2H_1	significant	2H:41996626	41996626	8.906	38954	NA
betaglucan	HORVU.MOREX.r3.2HG0112870	2H	42083114	42084259	-	42082114	42085259	betaglucan_2H_1	significant	2H:41996626	41996626	8.906	86488	NA
betaglucan	HORVU.MOREX.r3.2HG0112880	2H	42088976	42090440	+	42087976	42091440	betaglucan_2H_1	significant	2H:41996626	41996626	8.906	92350	NA
betaglucan	HORVU.MOREX.r3.2HG0112890	2H	42173620	42173856	-	42172620	42174856	betaglucan_2H_1	significant	2H:41996626	41996626	8.906	176994	NA
betaglucan	HORVU.MOREX.r3.2HG0112900	2H	42174233	42177357	-	42173233	42178357	betaglucan_2H_1	significant	2H:41996626	41996626	8.906	177607	NA
betaglucan	HORVU.MOREX.r3.2HG0112910	2H	42192269	42196145	+	42191269	42197145	betaglucan_2H_1	significant	2H:41996626	41996626	8.906	195643	NA
betaglucan	HORVU.MOREX.r3.2HG0112920	2H	42195982	42203574	-	42194982	42204574	betaglucan_2H_1	significant	2H:41996626	41996626	8.906	199356	Probable acyl-CoA dehydrogenase IBR3 [Source:Projected from Arabidopsis thaliana (AT3G06810) UniProtKB/Swiss-Prot;Acc:Q8RWZ3]
betaglucan	HORVU.MOREX.r3.2HG0191420	2H	602048259	602052701	-	602047259	602053701	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	-194201	NA
betaglucan	HORVU.MOREX.r3.2HG0191430	2H	602056608	602062165	+	602055608	602063165	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	-184737	NA
betaglucan	HORVU.MOREX.r3.2HG0191440	2H	602061960	602065234	-	602060960	602066234	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	-181668	NA
betaglucan	HORVU.MOREX.r3.2HG0191450	2H	602068722	602070283	-	602067722	602071283	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	-176619	NA
betaglucan	HORVU.MOREX.r3.2HG0191460	2H	602073052	602075282	-	602072052	602076282	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	-171620	Cationic amino acid transporter 8, vacuolar [Source:Projected from Arabidopsis thaliana (AT1G17120) UniProtKB/Swiss-Prot;Acc:Q9SHH0]
betaglucan	HORVU.MOREX.r3.2HG0191470	2H	602098425	602101953	-	602097425	602102953	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	-144949	NA
betaglucan	HORVU.MOREX.r3.2HG0191480	2H	602115545	602118244	+	602114545	602119244	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	-128658	NA
betaglucan	HORVU.MOREX.r3.2HG0191490	2H	602118745	602125713	-	602117745	602126713	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	-121189	NA
betaglucan	HORVU.MOREX.r3.2HG0191510	2H	602174554	602176050	+	602173554	602177050	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	-70852	NA
betaglucan	HORVU.MOREX.r3.2HG0191520	2H	602320039	602321575	+	602319039	602322575	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	73137	NA
betaglucan	HORVU.MOREX.r3.2HG0191530	2H	602348071	602349788	+	602347071	602350788	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	101169	NA
betaglucan	HORVU.MOREX.r3.2HG0191540	2H	602353227	602355236	-	602352227	602356236	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	106325	NA
betaglucan	HORVU.MOREX.r3.2HG0191550	2H	602363492	602365012	-	602362492	602366012	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	116590	NA
betaglucan	HORVU.MOREX.r3.2HG0191560	2H	602426208	602426417	-	602425208	602427417	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	179306	NA
betaglucan	HORVU.MOREX.r3.2HG0191570	2H	602446085	602446294	-	602445085	602447294	betaglucan_2H_2	significant	2H:602246902	602246902	7.0568	199183	NA
betaglucan	HORVU.MOREX.r3.3HG0299440	3H	537098183	537101239	+	537097183	537102239	betaglucan_3H_1	significant	3H:537247620	537247620	7.9751	-146381	NA
betaglucan	HORVU.MOREX.r3.3HG0299450	3H	537111608	537116152	+	537110608	537117152	betaglucan_3H_1	significant	3H:537247620	537247620	7.9751	-131468	NA
betaglucan	HORVU.MOREX.r3.3HG0299460	3H	537117077	537121315	-	537116077	537122315	betaglucan_3H_1	significant	3H:537247620	537247620	7.9751	-126305	NA
betaglucan	HORVU.MOREX.r3.4HG0341530	4H	34755668	34756045	+	34754668	34757045	betaglucan_4H_1	significant	4H:34858354	34858354	7.9777	-102309	NA
betaglucan	HORVU.MOREX.r3.4HG0341540	4H	34759499	34761914	-	34758499	34762914	betaglucan_4H_1	significant	4H:34858354	34858354	7.9777	-96440	NA
betaglucan	HORVU.MOREX.r3.4HG0341560	4H	34974960	34976804	+	34973960	34977804	betaglucan_4H_1	significant	4H:34858354	34858354	7.9777	116606	NA
betaglucan	HORVU.MOREX.r3.4HG0341630	4H	35081977	35091672	-	35080977	35092672	betaglucan_4H_1	significant	4H:34858354	34858354	7.9777	223623	NA
betaglucan	HORVU.MOREX.r3.4HG0341640	4H	35091817	35097562	+	35090817	35098562	betaglucan_4H_1	significant	4H:34858354	34858354	7.9777	233463	HINT3 [Source:Projected from Arabidopsis thaliana (AT5G48545) UniProtKB/TrEMBL;Acc:A0A178UAY8]
betaglucan	HORVU.MOREX.r3.4HG0341660	4H	35152874	35153578	+	35151874	35154578	betaglucan_4H_1	significant	4H:34858354	34858354	7.9777	294520	NA
betaglucan	HORVU.MOREX.r3.4HG0395760	4H	528266382	528267071	+	528265382	528268071	betaglucan_4H_2	significant	4H:528254769	528254769	6.8965	11613	NA
betaglucan	HORVU.MOREX.r3.4HG0395770	4H	528384420	528390071	+	528383420	528391071	betaglucan_4H_2	significant	4H:528254769	528254769	6.8965	129651	NA
betaglucan	HORVU.MOREX.r3.4HG0395810	4H	528409135	528411651	+	528408135	528412651	betaglucan_4H_2	significant	4H:528254769	528254769	6.8965	154366	NA
betaglucan	HORVU.MOREX.r3.4HG0395820	4H	528418603	528421112	-	528417603	528422112	betaglucan_4H_2	significant	4H:528254769	528254769	6.8965	163834	NA
betaglucan	HORVU.MOREX.r3.6HG0609520	6H	475282568	475286989	+	475281568	475287989	betaglucan_6H_1	significant	6H:475144663	475144663	7.1682	137905	NA
betaglucan	HORVU.MOREX.r3.6HG0627000	6H	545855095	545855993	+	545854095	545856993	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-91354	NA
betaglucan	HORVU.MOREX.r3.6HG0627010	6H	545865221	545867012	+	545864221	545868012	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-80335	NA
betaglucan	HORVU.MOREX.r3.6HG0627020	6H	545868742	545872814	-	545867742	545873814	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-74533	NA
betaglucan	HORVU.MOREX.r3.6HG0627040	6H	545876149	545878408	-	545875149	545879408	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-68939	NA
betaglucan	HORVU.MOREX.r3.6HG0627060	6H	545882309	545883905	+	545881309	545884905	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-63442	NA
betaglucan	HORVU.MOREX.r3.6HG0627070	6H	545883976	545886745	-	545882976	545887745	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-60602	PAP-specific phosphatase HAL2-like [Source:Projected from Arabidopsis thaliana (AT5G54390) UniProtKB/Swiss-Prot;Acc:Q38945]
betaglucan	HORVU.MOREX.r3.6HG0627080	6H	545889223	545891389	+	545888223	545892389	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-55958	NA
betaglucan	HORVU.MOREX.r3.6HG0627090	6H	545891735	545895434	+	545890735	545896434	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-51913	NA
betaglucan	HORVU.MOREX.r3.6HG0627100	6H	545895924	545897592	-	545894924	545898592	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-49755	NA
betaglucan	HORVU.MOREX.r3.6HG0627110	6H	545897775	545902031	+	545896775	545903031	betaglucan_6H_2	marginal	6H:545947347	545947347	6.654	-45316	NA
