gene_id	chr	start	end	strand	description
HORVU.MOREX.r3.1HG0016210	chr1H	46851230	46853626	-	Endoglucanase
HORVU.MOREX.r3.1HG0020180	chr1H	72006510	72008978	+	Endoglucanase
HORVU.MOREX.r3.1HG0020980	chr1H	75615479	75617657	-	Endo-1,31,4-beta-D-glucanase
HORVU.MOREX.r3.1HG0024140	chr1H	95241409	95245532	-	Cellulose synthase-like protein
HORVU.MOREX.r3.1HG0027850	chr1H	126045057	126051060	+	Cellulose synthase
HORVU.MOREX.r3.1HG0041280	chr1H	262442379	262446639	+	Cellulose synthase
HORVU.MOREX.r3.1HG0053630	chr1H	358874761	358879295	+	Cellulose synthase-like protein
HORVU.MOREX.r3.1HG0059470	chr1H	396004386	396008448	+	'putative beta-1,3-glucanase
HORVU.MOREX.r3.1HG0063610	chr1H	419167822	419170342	-	Endo-1,31,4-beta-D-glucanase
HORVU.MOREX.r3.1HG0068970	chr1H	445724455	445728498	-	'putative beta-1,3-glucanase
HORVU.MOREX.r3.1HG0069000	chr1H	445750774	445753436	-	Cellulose synthase-like protein
HORVU.MOREX.r3.1HG0076070	chr1H	473849268	473851068	+	1,4-beta-D-glucanase
HORVU.MOREX.r3.1HG0077960	chr1H	479921233	479925143	-	Cellulose synthase
HORVU.MOREX.r3.1HG0080690	chr1H	486668177	486670681	-	Endoglucanase
HORVU.MOREX.r3.1HG0086330	chr1H	497406366	497408953	+	Endoglucanase
HORVU.MOREX.r3.2HG0111610	chr2H	37735772	37741646	-	Cellulose synthase
HORVU.MOREX.r3.2HG0115540	chr2H	51630930	51634610	-	Cellulose synthase, putative
HORVU.MOREX.r3.2HG0122210	chr2H	81349668	81354627	-	Cellulose synthase-like protein
HORVU.MOREX.r3.2HG0136550	chr2H	180103066	180109923	-	Cellulose synthase-like protein
HORVU.MOREX.r3.2HG0136570	chr2H	180218335	180226887	-	Cellulose synthase-like protein
HORVU.MOREX.r3.2HG0136610	chr2H	180621546	180624785	-	Cellulose synthase-like protein
HORVU.MOREX.r3.2HG0136670	chr2H	180699065	180702418	-	Cellulose synthase-like protein
HORVU.MOREX.r3.2HG0136680	chr2H	180929461	180933086	-	Cellulose synthase-like protein
HORVU.MOREX.r3.2HG0168310	chr2H	475735626	475738921	-	Cellulose synthase family protein, expressed
HORVU.MOREX.r3.2HG0170360	chr2H	490817108	490818948	-	Endoglucanase
HORVU.MOREX.r3.2HG0178520	chr2H	544526691	544530487	-	Endoglucanase
HORVU.MOREX.r3.2HG0210500	chr2H	648111966	648114263	+	Endoglucanase
HORVU.MOREX.r3.2HG0214210	chr2H	656018746	656020062	-	Endoglucanase
HORVU.MOREX.r3.3HG0218330	chr3H	424976	428741	+	Cellulose synthase-like protein
HORVU.MOREX.r3.3HG0220900	chr3H	5278769	5282265	+	Cellulose synthase-like protein
HORVU.MOREX.r3.3HG0221680	chr3H	6884481	6884891	-	Endoglucanase
HORVU.MOREX.r3.3HG0234140	chr3H	35021641	35029489	+	Cellulose synthase, putative
HORVU.MOREX.r3.3HG0245440	chr3H	105391353	105392284	-	Cellulose synthase
HORVU.MOREX.r3.3HG0246790	chr3H	117285864	117288590	-	Endoglucanase
HORVU.MOREX.r3.3HG0283580	chr3H	454574270	454575078	-	Cellulose synthase
HORVU.MOREX.r3.3HG0288960	chr3H	487041659	487046997	+	Cellulose synthase
HORVU.MOREX.r3.3HG0291490	chr3H	500834626	500839121	-	Cellulose synthase
HORVU.MOREX.r3.3HG0294440	chr3H	514351661	514351951	+	Cellulose synthase
HORVU.MOREX.r3.3HG0295200	chr3H	518429465	518431527	-	Beta-1,3-glucanase
HORVU.MOREX.r3.3HG0306740	chr3H	562703657	562704389	+	Cellulose synthase, putative
HORVU.MOREX.r3.3HG0309350	chr3H	569931138	569936546	-	Endo-1,31,4-beta-D-glucanase
HORVU.MOREX.r3.3HG0318590	chr3H	592833485	592835072	-	Endo-1,3-beta-glucanase
HORVU.MOREX.r3.3HG0318610	chr3H	592849080	592850685	-	Beta-1,3-glucanase
HORVU.MOREX.r3.3HG0318620	chr3H	592853280	592854810	-	Endo-1,3-beta-glucanase
HORVU.MOREX.r3.3HG0318820	chr3H	593592505	593594210	+	Beta-1,3-glucanase
HORVU.MOREX.r3.3HG0318840	chr3H	593613410	593614896	+	Endo-1,3-beta-glucanase
HORVU.MOREX.r3.3HG0318900	chr3H	593897080	593898509	-	Beta-1,3-glucanase
HORVU.MOREX.r3.3HG0318990	chr3H	594019620	594020585	-	'putative beta-1,3-glucanase
HORVU.MOREX.r3.3HG0319010	chr3H	594033651	594035163	+	Beta-1,3-glucanase
HORVU.MOREX.r3.3HG0319100	chr3H	594189488	594190669	+	Beta-1,3-glucanase
HORVU.MOREX.r3.3HG0319130	chr3H	594216663	594223182	+	'putative beta-1,3-glucanase
HORVU.MOREX.r3.3HG0319280	chr3H	594622773	594626954	-	Beta-1,3-glucanase
HORVU.MOREX.r3.3HG0319300	chr3H	594699354	594701563	-	Beta-1,3-glucanase
HORVU.MOREX.r3.3HG0319530	chr3H	594995224	594996716	-	Beta-1,3-glucanase
HORVU.MOREX.r3.3HG0320280	chr3H	597042285	597045829	-	Cellulose synthase-like protein
HORVU.MOREX.r3.3HG0322830	chr3H	602423382	602428713	-	Cellulose synthase-like protein
HORVU.MOREX.r3.3HG0324070	chr3H	605061319	605063518	-	Beta-1,3-glucanase
HORVU.MOREX.r3.4HG0331250	chr4H	202709	205159	-	Cellulose synthase-like protein
HORVU.MOREX.r3.4HG0340370	chr4H	29791363	29794930	-	Endoglucanase
HORVU.MOREX.r3.4HG0362500	chr4H	205198822	205199157	-	glucan synthase-like 3
HORVU.MOREX.r3.4HG0379470	chr4H	402118923	402122316	+	Endoglucanase
HORVU.MOREX.r3.4HG0390950	chr4H	494602427	494603056	-	Cellulose synthase
HORVU.MOREX.r3.4HG0392300	chr4H	504710757	504711239	-	Cellulose synthase
HORVU.MOREX.r3.4HG0415720	chr4H	602911030	602912896	+	Endoglucanase
HORVU.MOREX.r3.5HG0425430	chr5H	11512162	11512428	-	Cellulose synthase
HORVU.MOREX.r3.5HG0444030	chr5H	110351050	110355214	+	Cellulose synthase-like protein
HORVU.MOREX.r3.5HG0459100	chr5H	276277237	276277981	-	Cellulose synthase-like protein
HORVU.MOREX.r3.5HG0470780	chr5H	370310877	370312788	+	Endoglucanase
HORVU.MOREX.r3.5HG0477800	chr5H	415022162	415024738	-	Endo-1,3(4)-beta-glucanase 1
HORVU.MOREX.r3.5HG0478650	chr5H	420417142	420425071	-	Endoglucanase
HORVU.MOREX.r3.5HG0481440	chr5H	436092352	436095570	-	glucan synthase-like 10
HORVU.MOREX.r3.5HG0482670	chr5H	441915631	441920070	-	Cellulose synthase
HORVU.MOREX.r3.5HG0488950	chr5H	472721760	472733910	-	Cellulose synthase, putative
HORVU.MOREX.r3.5HG0488970	chr5H	472736389	472742690	-	Cellulose synthase, putative
HORVU.MOREX.r3.5HG0498360	chr5H	498246567	498249262	+	Endoglucanase
HORVU.MOREX.r3.5HG0499440	chr5H	502023800	502027786	-	Endoglucanase
HORVU.MOREX.r3.5HG0513440	chr5H	534994755	534998260	-	Cellulose synthase-like protein
HORVU.MOREX.r3.5HG0522880	chr5H	555069256	555074606	-	Cellulose synthase
HORVU.MOREX.r3.5HG0526760	chr5H	564286875	564290400	-	Cellulose synthase-like protein
HORVU.MOREX.r3.5HG0530450	chr5H	572241720	572247525	+	Cellulose synthase
HORVU.MOREX.r3.5HG0530450	chr5H	572241862	572247525	+	Cellulose synthase
HORVU.MOREX.r3.6HG0550800	chr6H	28747026	28752833	+	Cellulose synthase
HORVU.MOREX.r3.6HG0553900	chr6H	37693128	37706502	-	Endoglucanase 11
HORVU.MOREX.r3.6HG0556240	chr6H	48119545	48124185	-	Cellulose synthase-like protein
HORVU.MOREX.r3.6HG0560140	chr6H	68269909	68274707	+	Endoglucanase
HORVU.MOREX.r3.6HG0574430	chr6H	158435528	158436595	+	Beta-glucan binding protein
HORVU.MOREX.r3.6HG0574510	chr6H	158651549	158657450	+	Cellulose synthase-like protein
HORVU.MOREX.r3.6HG0599640	chr6H	402889116	402889597	+	Cellulose synthase
HORVU.MOREX.r3.6HG0605160	chr6H	448683708	448684190	-	glucan synthase-like 9
HORVU.MOREX.r3.6HG0611060	chr6H	484748553	484753138	+	Cellulose synthase, putative
HORVU.MOREX.r3.6HG0612790	chr6H	492951907	492954777	+	Endoglucanase
HORVU.MOREX.r3.6HG0616240	chr6H	511231186	511234161	-	Endoglucanase
HORVU.MOREX.r3.6HG0620360	chr6H	527752858	527755185	+	Endoglucanase
HORVU.MOREX.r3.7HG0638850	chr7H	7690025	7694554	+	Cellulose synthase-like protein
HORVU.MOREX.r3.7HG0658430	chr7H	55919348	55921330	-	Endoglucanase
HORVU.MOREX.r3.7HG0658440	chr7H	55941457	55943439	-	Endoglucanase
HORVU.MOREX.r3.7HG0658450	chr7H	56044578	56046272	-	Endoglucanase
HORVU.MOREX.r3.7HG0658460	chr7H	56131006	56132988	-	Endoglucanase
HORVU.MOREX.r3.7HG0658470	chr7H	56223207	56225189	-	Endoglucanase
HORVU.MOREX.r3.7HG0658480	chr7H	56311029	56313011	-	Endoglucanase
HORVU.MOREX.r3.7HG0666660	chr7H	94101364	94108370	+	Cellulose synthase-like protein
HORVU.MOREX.r3.7HG0668820	chr7H	105838830	105842110	-	Endoglucanase
HORVU.MOREX.r3.7HG0669790	chr7H	110919821	110923813	-	Endoglucanase
HORVU.MOREX.r3.7HG0698110	chr7H	366737825	366743758	-	Cellulose synthase-like protein
HORVU.MOREX.r3.7HG0704950	chr7H	428085003	428086575	-	Endoglucanase
HORVU.MOREX.r3.7HG0711350	chr7H	471644479	471648192	-	Cellulose synthase family protein
HORVU.MOREX.r3.7HG0713790	chr7H	488756733	488759055	-	Cellulose synthase
HORVU.MOREX.r3.7HG0721690	chr7H	538285044	538290333	-	Endoglucanase
HORVU.MOREX.r3.7HG0723140	chr7H	546283983	546287077	-	Cellulose synthase-like protein
HORVU.MOREX.r3.7HG0723170	chr7H	546339040	546343298	-	Cellulose synthase-like protein
HORVU.MOREX.r3.7HG0727350	chr7H	566223895	566225295	+	Endoglucanase
HORVU.MOREX.r3.7HG0750120	chr7H	624446253	624450551	-	'putative beta-1,3-glucanase
HORVU.MOREX.r3.7HG0750850	chr7H	626456845	626459751	+	Cellulose synthase-like protein
