trait,gene_id,chr,gene_start,gene_end,strand,lead_SNP,class,lead_neg_log10p,dist_to_lead_bp,locus_id,n_snps_window,status,fail_status,best_MGmin,best_epsilon,best_n_ind,best_n_groups,best_group_sizes,best_kw_p_raw,best_kw_p_holm_within_gene,trait_fdr_p,trait_bonferroni_p,significant_fdr,significant_bonferroni,n_unique_valid_tests,n_total_valid_tests_before_collapse,description,combined_pdf_path,heatmap_pdf_path,heatmap_dir,gene_file
betaglucan,HORVU.MOREX.r3.1HG0079280,1H,483496196,483502520,-,1H:483379118,significant,6.886,117078,betaglucan_1H_2,74,SIGNIFICANT_FDR_and_BONF,"",2,0.05,231,2,106|125,1.06904322958048e-10,1.38975619845462e-09,7.22673223196403e-08,7.22673223196403e-08,TRUE,TRUE,13,13,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0079280/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0079280__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079280/MGmin_2/Heatmaps__HORVU.MOREX.r3.1HG0079280__MGmin2__Eps0p05.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079280,HORVU.MOREX.r3.1HG0079280.vcf.gz
betaglucan,HORVU.MOREX.r3.1HG0079290,1H,483513680,483514258,-,1H:483379118,significant,6.886,134562,betaglucan_1H_2,23,SIGNIFICANT_FDR_and_BONF,"",2,0.8,206,4,18|21|59|108,3.54327842644982e-09,2.12596705586989e-08,5.52751434526172e-07,1.10550286905234e-06,TRUE,TRUE,6,11,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0079290/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0079290__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079290/MGmin_2/Heatmaps__HORVU.MOREX.r3.1HG0079290__MGmin2__Eps0p8.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079290,HORVU.MOREX.r3.1HG0079290.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0112900,2H,42174233,42177357,-,2H:41996626,significant,8.906,177607,betaglucan_2H_1,9,SIGNIFICANT_FDR_and_BONF,"",2,0.4,190,3,38|39|113,2.74959557794388e-07,5.49919115588775e-07,9.5319313368721e-06,2.85957940106163e-05,TRUE,TRUE,2,6,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112900/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112900__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112900/MGmin_2/Heatmaps__HORVU.MOREX.r3.2HG0112900__MGmin2__Eps0p4.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112900,HORVU.MOREX.r3.2HG0112900.vcf.gz
betaglucan,HORVU.MOREX.r3.1HG0079230,1H,483375220,483378067,+,1H:483379118,significant,6.886,-1051,betaglucan_1H_2,18,SIGNIFICANT_FDR_and_BONF,"",2,0.6,191,3,31|65|95,6.00387659698609e-07,3.00193829849305e-06,3.12201583043277e-05,0.000156100791521638,TRUE,TRUE,5,9,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0079230/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0079230__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079230/MGmin_2/Heatmaps__HORVU.MOREX.r3.1HG0079230__MGmin2__Eps0p6.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079230,HORVU.MOREX.r3.1HG0079230.vcf.gz
betaglucan,HORVU.MOREX.r3.1HG0079250,1H,483379149,483379969,-,1H:483379118,significant,6.886,31,betaglucan_1H_2,15,SIGNIFICANT_FDR_and_BONF,"",2,0.5,192,3,32|66|94,9.63655580928078e-07,2.89096674278423e-06,3.12201583043277e-05,0.00015033027062478,TRUE,TRUE,3,6,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0079250/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0079250__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079250/MGmin_2/Heatmaps__HORVU.MOREX.r3.1HG0079250__MGmin2__Eps0p5.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079250,HORVU.MOREX.r3.1HG0079250.vcf.gz
betaglucan,HORVU.MOREX.r3.3HG0299460,3H,537117077,537121315,-,3H:537247620,significant,7.9751,-126305,betaglucan_3H_1,8,SIGNIFICANT_FDR_and_BONF,"",2,0.2,234,2,62|172,4.64964777065718e-06,4.64964777065718e-06,4.02969473456956e-05,0.000241781684074173,TRUE,TRUE,1,6,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.3HG0299460/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.3HG0299460__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.3HG0299460/MGmin_2/Heatmaps__HORVU.MOREX.r3.3HG0299460__MGmin2__Eps0p2.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.3HG0299460,HORVU.MOREX.r3.3HG0299460.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0112920,2H,42195982,42203574,-,2H:41996626,significant,8.906,199356,betaglucan_2H_1,33,SIGNIFICANT_FDR_and_BONF,"",2,0.6,147,4,22|26|45|54,1.36271121051785e-06,1.49898233156964e-05,0.000111352973202316,0.000779470812416212,TRUE,TRUE,11,13,Probable acyl-CoA dehydrogenase IBR3 [Source:Projected from Arabidopsis thaliana (AT3G06810) UniProtKB/Swiss-Prot;Acc:Q8RWZ3],/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112920/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112920__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112920/MGmin_2/Heatmaps__HORVU.MOREX.r3.2HG0112920__MGmin2__Eps0p6.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112920,HORVU.MOREX.r3.2HG0112920.vcf.gz
betaglucan,HORVU.MOREX.r3.4HG0395810,4H,528409135,528411651,+,4H:528254769,significant,6.8965,154366,betaglucan_4H_2,13,SIGNIFICANT_FDR_and_BONF,"",3,0.5,255,2,43|212,1.0531201156074e-05,4.21248046242959e-05,0.000273811230057924,0.00219048984046339,TRUE,TRUE,4,12,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.4HG0395810/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.4HG0395810__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.4HG0395810/MGmin_3/Heatmaps__HORVU.MOREX.r3.4HG0395810__MGmin3__Eps0p5.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.4HG0395810,HORVU.MOREX.r3.4HG0395810.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0191420,2H,602048259,602052701,-,2H:602246902,significant,7.0568,-194201,betaglucan_2H_2,27,SIGNIFICANT_FDR_and_BONF,"",2,0.85,148,6,13|15|17|21|39|43,2.03543812175775e-05,0.000183189430958198,0.00105842782331403,0.00952585040982629,TRUE,TRUE,9,13,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191420/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191420__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191420/MGmin_2/Heatmaps__HORVU.MOREX.r3.2HG0191420__MGmin2__Eps0p85.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191420,HORVU.MOREX.r3.2HG0191420.vcf.gz
betaglucan,HORVU.MOREX.r3.2HG0191470,2H,602098425,602101953,-,2H:602246902,significant,7.0568,-144949,betaglucan_2H_2,26,SIGNIFICANT_FDR_and_BONF,"",3,0.85,215,3,12|17|186,4.82190326073848e-05,0.000337533228251694,0.00175517278690881,0.0175517278690881,TRUE,TRUE,7,9,,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191470/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191470__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191470/MGmin_3/Heatmaps__HORVU.MOREX.r3.2HG0191470__MGmin3__Eps0p85.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191470,HORVU.MOREX.r3.2HG0191470.vcf.gz
