HORVU.MOREX.r3.1HG0011900	probable uridine nucleosidase 2 | Gene role: Enzyme involved in uridine/nucleoside catabolism or salvage within general pyrimidine metabolism.
HORVU.MOREX.r3.1HG0011910	cbl-interacting protein kinase 13 [Hordeum vulgare] | Gene role: likely a CBL-interacting protein kinase, i.e. a calcium-dependent signaling regulator involved in stress, nutrient, and developmental signaling.
HORVU.MOREX.r3.1HG0011960	adenylate isopentenyltransferase 5, chloroplastic-like | Gene role: likely a cytokinin biosynthesis enzyme (adenylate isopentenyltransferase/IPT) involved in hormone production and developmental regulation.
HORVU.MOREX.r3.1HG0011970	
HORVU.MOREX.r3.1HG0012020	
HORVU.MOREX.r3.1HG0012100	uncharacterized
HORVU.MOREX.r3.1HG0012110	
HORVU.MOREX.r3.1HG0051650	LysM domain-containing | Gene role: LysM-domain protein likely involved in carbohydrate-binding and extracellular or immune-related signaling functions.
HORVU.MOREX.r3.1HG0051670	phospholipase D gamma 1-like | Gene role: Phospholipase D family enzyme involved in membrane lipid turnover and signaling.
HORVU.MOREX.r3.1HG0077700	rac-like GTP-binding protein 2 | Gene role: likely a ROP/RAC small GTPase, i.e. a general signaling regulator involved in cytoskeleton organization, vesicle trafficking, and cell polarity.
HORVU.MOREX.r3.1HG0077710	
HORVU.MOREX.r3.1HG0077720	probable magnesium transporter NIPA6 | Gene role: likely a magnesium transporter involved in ion homeostasis and membrane transport.
HORVU.MOREX.r3.1HG0077770	
HORVU.MOREX.r3.1HG0077790	
HORVU.MOREX.r3.1HG0077830	
HORVU.MOREX.r3.1HG0077860	No apical meristem-associated C-terminal domain-containing protein | Status | UniProtKB unreviewed (TrEMBL) | Gene role: likely a NAC family transcription factor, i.e. a broad transcriptional regulator involved in development and stress-related gene expression.
HORVU.MOREX.r3.1HG0077870	uncharacterized
HORVU.MOREX.r3.2HG0112770	Plant bHLH transcription factor ACT-like domain-containing protein | Status: UniProtKB unreviewed (TrEMBL) | Gene role: likely a bHLH transcription factor, i.e. a broad transcriptional regulator.
HORVU.MOREX.r3.2HG0112820	60S ribosomal protein L19-1-like | Gene role: likely a ribosomal protein involved in general protein translation and ribosome function.
HORVU.MOREX.r3.2HG0112830	
HORVU.MOREX.r3.2HG0112840	Predicted protein
HORVU.MOREX.r3.2HG0112900	Predicted protein -  uncharacterized
HORVU.MOREX.r3.2HG0112910	pectinesterase-like | Gene role: likely a cell wall remodeling enzyme (pectin methylesterase/pectinesterase-like) involved in modifying pectin structure and cell wall properties.
HORVU.MOREX.r3.2HG0112920	probable acyl-CoA dehydrogenase IBR3 / probable acyl-CoA dehydrogenase IBR3 | Gene role: likely a metabolic enzyme involved in fatty acid/peroxisomal metabolism.
HORVU.MOREX.r3.2HG0179650	calmodulin-binding receptor-like cytoplasmic kinase 3 | Gene role: Calmodulin-binding cytoplasmic kinase involved in calcium-dependent signaling and intracellular signal transduction.
