trait,gene_file,gene_name,title,lead_SNP,class,lead_pos,lead_neg_log10p,dist_to_lead_bp,locus_id,description,n_snps_window,n_total_valid_tests_before_collapse,n_unique_valid_tests,best_MGmin,best_epsilon,best_n_ind,best_n_groups,best_group_sizes,best_kw_p_raw,best_kw_p_holm_within_gene,trait_fdr_p,trait_bonferroni_p,significant_fdr,significant_bonferroni
betaglucan,HORVU.MOREX.r3.1HG0079280.vcf.gz,HORVU.MOREX.r3.1HG0079280,HORVU.MOREX.r3.1HG0079280 | betaglucan | lead 1H:483379118 (significant),1H:483379118,significant,483379118,6.886,117078,betaglucan_1H_2,,74,13,13,2,0.05,231,2,106|125,1.06904322958048e-10,1.38975619845462e-09,7.22673223196403e-08,7.22673223196403e-08,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.1HG0079290.vcf.gz,HORVU.MOREX.r3.1HG0079290,HORVU.MOREX.r3.1HG0079290 | betaglucan | lead 1H:483379118 (significant),1H:483379118,significant,483379118,6.886,134562,betaglucan_1H_2,,23,11,6,2,0.8,206,4,18|21|59|108,3.54327842644982e-09,2.12596705586989e-08,5.52751434526172e-07,1.10550286905234e-06,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.2HG0112900.vcf.gz,HORVU.MOREX.r3.2HG0112900,HORVU.MOREX.r3.2HG0112900 | betaglucan | lead 2H:41996626 (significant),2H:41996626,significant,41996626,8.906,177607,betaglucan_2H_1,,9,6,2,2,0.4,190,3,38|39|113,2.74959557794388e-07,5.49919115588775e-07,9.5319313368721e-06,2.85957940106163e-05,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.1HG0079250.vcf.gz,HORVU.MOREX.r3.1HG0079250,HORVU.MOREX.r3.1HG0079250 | betaglucan | lead 1H:483379118 (significant),1H:483379118,significant,483379118,6.886,31,betaglucan_1H_2,,15,6,3,2,0.5,192,3,32|66|94,9.63655580928078e-07,2.89096674278423e-06,3.12201583043277e-05,0.00015033027062478,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.1HG0079230.vcf.gz,HORVU.MOREX.r3.1HG0079230,HORVU.MOREX.r3.1HG0079230 | betaglucan | lead 1H:483379118 (significant),1H:483379118,significant,483379118,6.886,-1051,betaglucan_1H_2,,18,9,5,2,0.6,191,3,31|65|95,6.00387659698609e-07,3.00193829849305e-06,3.12201583043277e-05,0.000156100791521638,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.3HG0299460.vcf.gz,HORVU.MOREX.r3.3HG0299460,HORVU.MOREX.r3.3HG0299460 | betaglucan | lead 3H:537247620 (significant),3H:537247620,significant,537247620,7.9751,-126305,betaglucan_3H_1,,8,6,1,2,0.2,234,2,62|172,4.64964777065718e-06,4.64964777065718e-06,4.02969473456956e-05,0.000241781684074173,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.2HG0112920.vcf.gz,HORVU.MOREX.r3.2HG0112920,HORVU.MOREX.r3.2HG0112920 | betaglucan | lead 2H:41996626 (significant),2H:41996626,significant,41996626,8.906,199356,betaglucan_2H_1,Probable acyl-CoA dehydrogenase IBR3 [Source:Projected from Arabidopsis thaliana (AT3G06810) UniProtKB/Swiss-Prot;Acc:Q8RWZ3],33,13,11,2,0.6,147,4,22|26|45|54,1.36271121051785e-06,1.49898233156964e-05,0.000111352973202316,0.000779470812416212,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.4HG0395810.vcf.gz,HORVU.MOREX.r3.4HG0395810,HORVU.MOREX.r3.4HG0395810 | betaglucan | lead 4H:528254769 (significant),4H:528254769,significant,528254769,6.8965,154366,betaglucan_4H_2,,13,12,4,3,0.5,255,2,43|212,1.0531201156074e-05,4.21248046242959e-05,0.000273811230057924,0.00219048984046339,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.2HG0191420.vcf.gz,HORVU.MOREX.r3.2HG0191420,HORVU.MOREX.r3.2HG0191420 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,-194201,betaglucan_2H_2,,27,13,9,2,0.85,148,6,13|15|17|21|39|43,2.03543812175775e-05,0.000183189430958198,0.00105842782331403,0.00952585040982629,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.2HG0191470.vcf.gz,HORVU.MOREX.r3.2HG0191470,HORVU.MOREX.r3.2HG0191470 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,-144949,betaglucan_2H_2,,26,9,7,3,0.85,215,3,12|17|186,4.82190326073848e-05,0.000337533228251694,0.00175517278690881,0.0175517278690881,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.2HG0191530.vcf.gz,HORVU.MOREX.r3.2HG0191530,HORVU.MOREX.r3.2HG0191530 | betaglucan | lead 2H:602246902 (significant),2H:602246902,significant,602246902,7.0568,101169,betaglucan_2H_2,,40,13,12,3,0.2,242,2,27|215,7.19988331597603e-05,0.000863985997917123,0.00408429744469913,0.0449272718916904,TRUE,TRUE
betaglucan,HORVU.MOREX.r3.6HG0627010.vcf.gz,HORVU.MOREX.r3.6HG0627010,HORVU.MOREX.r3.6HG0627010 | betaglucan | lead 6H:545947347 (marginal),6H:545947347,marginal,545947347,6.654,-80335,betaglucan_6H_2,,22,9,3,2,0.2,231,2,36|195,0.000432758203861239,0.00129827461158372,0.0056258566501961,0.0675102798023532,TRUE,FALSE
