trait	locus_id	lead_SNP	class	gene_id	biotype	chr	gene_start	gene_end	strand	dist_to_lead_bp	in_cluster_span	description
betaglucan	betaglucan_1H_1	1H:479493867	significant	HORVU.MOREX.r3.1HG0077680	protein_coding	1H	479332581	479336933	+	-156934	FALSE	NA
betaglucan	betaglucan_1H_1	1H:479493867	significant	HORVU.MOREX.r3.1HG0077700	protein_coding	1H	479339892	479341891	-	-151976	FALSE	NA
betaglucan	betaglucan_1H_1	1H:479493867	significant	HORVU.MOREX.r3.1HG0077710	protein_coding	1H	479414499	479417111	+	-76756	FALSE	NA
betaglucan	betaglucan_1H_1	1H:479493867	significant	HORVU.MOREX.r3.1HG0077720	protein_coding	1H	479457239	479461181	-	-32686	FALSE	NA
betaglucan	betaglucan_1H_1	1H:479493867	significant	HORVU.MOREX.r3.1HG0077730	protein_coding	1H	479461831	479465763	-	-28104	FALSE	Hydroxyproline-rich glycoprotein family protein [Source:Projected from Arabidopsis thaliana (AT1G73840) UniProtKB/TrEMBL;Acc:Q8VYM7]
betaglucan	betaglucan_1H_1	1H:479493867	significant	HORVU.MOREX.r3.1HG0077770	protein_coding	1H	479481464	479493245	-	-622	FALSE	NA
betaglucan	betaglucan_1H_1	1H:479493867	significant	HORVU.MOREX.r3.1HG0077790	protein_coding	1H	479501918	479505184	-	8051	FALSE	NA
betaglucan	betaglucan_1H_1	1H:479493867	significant	HORVU.MOREX.r3.1HG0077830	protein_coding	1H	479576955	479579301	-	83088	FALSE	NA
betaglucan	betaglucan_1H_1	1H:479493867	significant	HORVU.MOREX.r3.1HG0077840	protein_coding	1H	479616076	479618391	+	122209	FALSE	NA
betaglucan	betaglucan_1H_2	1H:483379118	significant	HORVU.MOREX.r3.1HG0079180	protein_coding	1H	483209536	483210591	+	-168527	FALSE	NA
betaglucan	betaglucan_1H_2	1H:483379118	significant	HORVU.MOREX.r3.1HG0079200	protein_coding	1H	483281192	483282133	+	-96985	FALSE	NA
betaglucan	betaglucan_1H_2	1H:483379118	significant	HORVU.MOREX.r3.1HG0079210	protein_coding	1H	483368858	483369844	+	-9274	FALSE	NA
