trait,pass_group,filter_status,rank_in_block,gene_id,lead_SNP,class,dist_to_lead_bp,n_snps_window,best_MGmin,best_epsilon,best_n_groups,best_group_sizes,best_kw_p_raw,best_kw_p_holm_within_gene,trait_fdr_p,trait_bonferroni_p,significant_fdr,significant_bonferroni,annotation_status,annotation_source,needs_verification,annotation,combined_pdf_path,heatmap_dir
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,1,HORVU.MOREX.r3.1HG0079280,1H:483379118,significant,117078,74,2,0.05,2,106|125,1.06904322958048e-10,1.38975619845462e-09,7.22673223196403e-08,7.22673223196403e-08,TRUE,TRUE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0079280/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0079280__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079280
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,2,HORVU.MOREX.r3.1HG0079290,1H:483379118,significant,134562,23,2,0.8,4,18|21|59|108,3.54327842644982e-09,2.12596705586989e-08,5.52751434526172e-07,1.10550286905234e-06,TRUE,TRUE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0079290/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0079290__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079290
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,3,HORVU.MOREX.r3.2HG0112900,2H:41996626,significant,177607,9,2,0.4,3,38|39|113,2.74959557794388e-07,5.49919115588775e-07,9.5319313368721e-06,2.85957940106163e-05,TRUE,TRUE,HAVE,curated,FALSE,Predicted protein -  uncharacterized,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112900/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112900__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112900
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,4,HORVU.MOREX.r3.1HG0079230,1H:483379118,significant,-1051,18,2,0.6,3,31|65|95,6.00387659698609e-07,3.00193829849305e-06,3.12201583043277e-05,0.000156100791521638,TRUE,TRUE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0079230/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0079230__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079230
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,5,HORVU.MOREX.r3.1HG0079250,1H:483379118,significant,31,15,2,0.5,3,32|66|94,9.63655580928078e-07,2.89096674278423e-06,3.12201583043277e-05,0.00015033027062478,TRUE,TRUE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.1HG0079250/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.1HG0079250__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.1HG0079250
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,6,HORVU.MOREX.r3.3HG0299460,3H:537247620,significant,-126305,8,2,0.2,2,62|172,4.64964777065718e-06,4.64964777065718e-06,4.02969473456956e-05,0.000241781684074173,TRUE,TRUE,HAVE,curated,FALSE,polypyrimidine tract-binding protein homolog 3-like | Gene role: likely an RNA-binding protein involved in pre-mRNA processing and alternative splicing.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.3HG0299460/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.3HG0299460__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.3HG0299460
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,7,HORVU.MOREX.r3.2HG0112920,2H:41996626,significant,199356,33,2,0.6,4,22|26|45|54,1.36271121051785e-06,1.49898233156964e-05,0.000111352973202316,0.000779470812416212,TRUE,TRUE,HAVE,curated,FALSE,probable acyl-CoA dehydrogenase IBR3 / probable acyl-CoA dehydrogenase IBR3 | Gene role: likely a metabolic enzyme involved in fatty acid/peroxisomal metabolism.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0112920/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0112920__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0112920
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,8,HORVU.MOREX.r3.4HG0395810,4H:528254769,significant,154366,13,3,0.5,2,43|212,1.0531201156074e-05,4.21248046242959e-05,0.000273811230057924,0.00219048984046339,TRUE,TRUE,NEED_ANNOTATION,none,FALSE,NEED TO ADD ANNOTATION,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.4HG0395810/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.4HG0395810__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.4HG0395810
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,9,HORVU.MOREX.r3.2HG0191420,2H:602246902,significant,-194201,27,2,0.85,6,13|15|17|21|39|43,2.03543812175775e-05,0.000183189430958198,0.00105842782331403,0.00952585040982629,TRUE,TRUE,HAVE,curated,FALSE,"cyclic sesquiterpene synthase-like | Gene role: likely a NAC family transcription factor, i.e. a broad transcriptional regulator involved in development and stress-related gene expression.",/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191420/MGmin_2/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191420__MGmin2__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191420
betaglucan,1_PASSED_FDR,PASS_FDR_and_BONF,10,HORVU.MOREX.r3.2HG0191470,2H:602246902,significant,-144949,26,3,0.85,3,12|17|186,4.82190326073848e-05,0.000337533228251694,0.00175517278690881,0.0175517278690881,TRUE,TRUE,HAVE,curated,FALSE,protein ECERIFERUM 26-like | Gene role: likely a wax/VLCFA elongation-related protein involved in cuticular lipid metabolism.,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/CombinedPDF/betaglucan/HORVU.MOREX.r3.2HG0191470/MGmin_3/CrosshapTree+Violin__HORVU.MOREX.r3.2HG0191470__MGmin3__EpsVec7.pdf,/mnt/data/shahar/gwas_barley/morexV3_analysis/04_USED_haplotype_analysis_crosshap/04_runs/candidate_genes_1000bp_V1/Heatmaps/betaglucan/HORVU.MOREX.r3.2HG0191470
