gene_id	trait	annotation	all_traits_identical	chosen_best
HORVU.MOREX.r3.7HG0729010	fiber	peroxidase 45-like | Gene role: Cell wall-associated peroxidase likely involved in oxidative remodeling, cross-linking, or strengthening of cell wall components.	TRUE	peroxidase 45-like | Gene role: Cell wall-associated peroxidase likely involved in oxidative remodeling, cross-linking, or strengthening of cell wall components.
HORVU.MOREX.r3.7HG0729010	starch	peroxidase 45-like | Gene role: Cell wall-associated peroxidase likely involved in oxidative remodeling, cross-linking, or strengthening of cell wall components.	TRUE	peroxidase 45-like | Gene role: Cell wall-associated peroxidase likely involved in oxidative remodeling, cross-linking, or strengthening of cell wall components.
HORVU.MOREX.r3.7HG0729020	fiber	probable high-affinity nitrate transporter 2.4 | Gene role: High-affinity nitrate transporter involved in nitrate uptake and nitrogen nutrition.	TRUE	probable high-affinity nitrate transporter 2.4 | Gene role: High-affinity nitrate transporter involved in nitrate uptake and nitrogen nutrition.
HORVU.MOREX.r3.7HG0729020	starch	probable high-affinity nitrate transporter 2.4 | Gene role: High-affinity nitrate transporter involved in nitrate uptake and nitrogen nutrition.	TRUE	probable high-affinity nitrate transporter 2.4 | Gene role: High-affinity nitrate transporter involved in nitrate uptake and nitrogen nutrition.
HORVU.MOREX.r3.7HG0729030	fiber	GDSL esterase / acetylajmalan esterase-like | Gene role: GDSL esterase/lipase-family enzyme likely involved in deacylation or remodeling of extracellular, lipid-associated, or cell wall-related substrates.	FALSE	GDSL esterase / acetylajmalan esterase-like | Gene role: GDSL esterase/lipase-family enzyme likely involved in deacylation or remodeling of extracellular, lipid-associated, or cell wall-related substrates.
HORVU.MOREX.r3.7HG0729030	starch	Predicted protein	FALSE	GDSL esterase / acetylajmalan esterase-like | Gene role: GDSL esterase/lipase-family enzyme likely involved in deacylation or remodeling of extracellular, lipid-associated, or cell wall-related substrates.
HORVU.MOREX.r3.7HG0729050	fiber		TRUE	
HORVU.MOREX.r3.7HG0729050	starch		TRUE	
HORVU.MOREX.r3.7HG0729090	fiber	Gene role: PPR/PRORP-domain protein likely involved in organellar RNA processing and post-transcriptional regulation.	FALSE	Gene role: PPR/PRORP-domain protein likely involved in organellar RNA processing, including tRNA or other RNA maturation functions.
HORVU.MOREX.r3.7HG0729090	starch	Gene role: PPR/PRORP-domain protein likely involved in organellar RNA processing, including tRNA or other RNA maturation functions.	FALSE	Gene role: PPR/PRORP-domain protein likely involved in organellar RNA processing, including tRNA or other RNA maturation functions.
HORVU.MOREX.r3.7HG0729100	fiber	nifU-like protein 3, chloroplastic | Gene role: Chloroplast-associated NifU-like protein likely involved in Fe-S cluster assembly and organellar metabolic maintenance.	FALSE	nifU-like protein 3, chloroplastic [view all locations] | Gene role: Chloroplast-associated NifU-like protein likely involved in Fe-S cluster assembly and organellar metabolic maintenance.
HORVU.MOREX.r3.7HG0729100	starch	nifU-like protein 3, chloroplastic [view all locations] | Gene role: Chloroplast-associated NifU-like protein likely involved in Fe-S cluster assembly and organellar metabolic maintenance.	FALSE	nifU-like protein 3, chloroplastic [view all locations] | Gene role: Chloroplast-associated NifU-like protein likely involved in Fe-S cluster assembly and organellar metabolic maintenance.
HORVU.MOREX.r3.7HG0729110	fiber		FALSE	Predicted protein
HORVU.MOREX.r3.7HG0729110	starch	Predicted protein	FALSE	Predicted protein
